Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
800	49,49,49,49,49	29,29,29,29,29	42,42,42,42,42	0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523	0.0,0.0,1.0832955740625039E-4,0.0,0.0	6.459642385036801E-8,4.2584561865216974E-8,1.162113873323149E-8,2.1912809635069812E-8,5.6360672120779E-8	5,5,6,6,6	6,6,6,6,6	11,11,12,12,12	8,8,8,8,8	8,8,8,8,8	3.41,6.82,7.02,7.02,7.02	3,3,3,3,3	16,15,17,16,15	8,7,9,10,9	42.0,42.0,44.0,45.0,44.0	16.0,16.0,16.0,16.0,16.0	157.0,155.0,160.0,157.0,154.0	45.0,43.0,43.0,42.0,41.0	58.0,58.0,60.0,61.0,60.0	202.0,198.0,203.0,199.0,195.0	1183.3123,1159.8802,1199.0988,1180.2168,1151.8436	59.0625,56.4375,59.125,59.0625,56.375	69889.38,65460.742,70896.71,69706.555,64935.184	3882.7434,3636.708,3938.706,3872.5864,3607.5103	0.39443743,0.38662675,0.3996996,0.3934056,0.38394788	71.81417083740234,71.91817474365234,71.7452621459961,71.82779693603516,71.95433044433594	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3,3,3,3,3	6,6,6,6,6	0,0,0,0,0	0,0,0,0,0	GunfighterJ,KHobbits,KHobbits,md_5,md_5	0,77,193,469,497	749,826,942,1218,1246	06/04/13-19/03/11,22/06/13-19/03/11,16/10/13-19/03/11,19/07/14-19/03/11,16/08/14-19/03/11	0,1,7,2,2	0,2,14,4,4	0,485,112,33,38	0,18,230,32,7	0,18,230,32,7	0,0,0,0,0	0,0,0,0,1	0,0,0,0,1	801.json	0	good
1388	4,5	3,4	4,5	0.0,0.0	0.4936700165271759,0.025717126205563545	0.9094219460666336,0.4562430774336536	0,0	0,0	0,0	1,1	1,1	3.46,3.92	0,0	1,6	1,5	9.0,14.0	1.0,2.0	11.0,28.0	1.0,4.0	10.0,16.0	12.0,32.0	39.863136,128.0	4.5,14.0	179.38411,1792.0	9.965784,99.55556	0.013287712,0.042666666	129.14767456054688,119.46654510498047	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	snowleo,snowleo	0,3	161,164	27/08/11-19/03/11,30/08/11-19/03/11	0,2	0,3	0,118	0,32	0,32	0,0	0,0	0,0	1781.json	624	ugly
1407	3	3	3	0.0	0.9366090297698975	0.8692330077679516	0	0	0	1	1	1.89	0	0	0	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	KHobbits	0	142	08/08/11-19/03/11	0	0	0	0	0	0	0	0	1139.json	0	good
1437	4,4,4	3,3,3	4,4,4	0.0,0.0,0.0	0.7739533185958862,0.8272207379341125,0.8272207379341125	0.7815674569311712,0.7765990089887028,0.7765990089887028	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.46,3.46,3.46	0,0,0	0,0,0	0,0,0	11.0,10.0,10.0	3.0,4.0,4.0	14.0,13.0,13.0	3.0,4.0,4.0	14.0,14.0,14.0	17.0,17.0,17.0	64.72504,64.72504,64.72504	5.5,5.0,5.0	355.9877,323.62518,323.62518	19.777094,17.979177,17.979177	0.021575011,0.021575011,0.021575011	126.62725830078125,126.62725830078125,126.62725830078125	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	ementalo,ementalo,snowleo	0,8,150	112,120,262	09/07/11-19/03/11,17/07/11-19/03/11,06/12/11-19/03/11	0,1,0	0,2,0	0,4,0	0,17,88	0,17,1	0,0,0	0,0,0	0,0,0	2100.json	382	ugly
1494	4,4,4	3,3,3	4,4,4	0.0,0.0,0.0	0.6456195712089539,0.6456195712089539,0.6456195712089539	0.7985693517838186,0.7985693517838186,0.7985693517838186	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.46,3.46,3.46	0,0,0	0,0,0	0,0,0	11.0,11.0,11.0	3.0,3.0,3.0	14.0,14.0,14.0	3.0,3.0,3.0	14.0,14.0,14.0	17.0,17.0,17.0	64.72504,64.72504,64.72504	5.5,5.5,5.5	355.9877,355.9877,355.9877	19.777094,19.777094,19.777094	0.021575011,0.021575011,0.021575011	126.62725830078125,126.62725830078125,126.62725830078125	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	snowleo,snowleo,snowleo	0,0,207	55,55,262	13/05/11-19/03/11,13/05/11-19/03/11,06/12/11-19/03/11	0,0,0	0,0,0	0,0,0	0,56,88	0,1,1	0,0,0	0,0,0	0,0,0	2080.json	0	good
1292	4,4	3,3	4,4	0.0,0.0	0.5210161209106445,0.5210161209106445	0.8003260604111072,0.8003260604111072	0,0	0,0	0,0	1,1	1,1	3.46,3.46	0,0	1,1	1,1	12.0,12.0	3.0,3.0	14.0,14.0	4.0,4.0	15.0,15.0	18.0,18.0	70.32403,70.32403	8.0,8.0	562.5922,562.5922	31.255123,31.255123	0.023441343,0.023441343	126.19583892822266,126.19583892822266	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	0,0	0,0	0,0	snowleo,snowleo	0,50	256,306	30/11/11-19/03/11,19/01/12-19/03/11	0,0	0,0	0,0	0,33	0,27	0,0	0,0	0,0	2413.json	234	ugly
1188	4	3	4	0.0	0.6385791897773743	0.8890593805109924	0	0	0	1	1	3.46	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	126.62725830078125	0	0	0	1	0	0	1	1	0	0	0	KHobbits	0	361	14/03/12-19/03/11	0	0	0	0	0	0	0	0	1589.json	31	noise
1474	21,36,37,37,37,37,37,37,37,37	17,28,28,28,28,28,28,28,28,28	21,36,37,37,37,37,37,37,37,37	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0013277536490932107,8.664803463034332E-4,9.762936388142407E-4,8.394354372285306E-4,8.124360465444624E-4,6.271738093346357E-4,5.151776713319123E-4,5.457434454001486E-4,5.438336520455778E-4,5.892859771847725E-4	2.98209966885303E-9,5.926599216913286E-13,5.050706559580641E-13,2.716716495220431E-13,1.2360188977512176E-13,8.200016584238868E-14,3.828273473506555E-14,3.811675807057084E-14,3.855166565499772E-14,1.1714433904890473E-13	2,4,4,4,4,4,4,4,4,4	2,4,4,4,4,4,4,4,4,4	4,8,8,8,8,8,8,8,8,8	4,7,7,7,7,7,7,7,7,7	4,7,7,7,7,7,7,7,7,7	10.06,7.97,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86	3,3,3,3,3,3,3,3,3,3	11,12,13,14,14,14,15,15,15,14	11,12,13,14,14,14,15,15,15,14	40.0,52.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0,54.0	17.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0	113.0,162.0,164.0,167.0,168.0,169.0,172.0,172.0,172.0,169.0	39.0,51.0,51.0,51.0,53.0,54.0,54.0,54.0,54.0,53.0	57.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,77.0	152.0,213.0,215.0,218.0,221.0,223.0,226.0,226.0,226.0,222.0	886.5993,1330.8086,1347.3591,1366.1594,1389.0739,1401.6447,1424.6544,1424.6544,1424.6544,1391.2266	45.882355,55.25,56.3125,59.869564,59.624996,60.75,61.875,61.875,61.875,62.21739	40679.266,73527.17,75873.164,81791.37,82823.52,85149.914,88150.49,88150.49,88150.49,86558.484	2259.9592,4084.8428,4215.176,4543.965,4601.3066,4730.551,4897.2495,4897.2495,4897.2495,4808.8047	0.2955331,0.44360286,0.44911972,0.45538646,0.46302462,0.46721488,0.4748848,0.4748848,0.4748848,0.4637422	85.46429443359375,73.93057250976562,73.42243957519531,73.35038757324219,73.26388549804688,73.217041015625,73.13236999511719,73.13236999511719,73.13236999511719,73.2558364868164	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	4,4,4,4,4,4,4,4,4,4	6,10,10,10,10,10,10,10,10,10	1,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	snowleo,snowleo,Léa Gris,snowleo,KHobbits,KHobbits,KHobbits,KHobbits,FearFree,md_5	0,21,237,273,286,721,766,867,1023,1143	75,96,312,348,361,796,841,942,1098,1218	02/06/11-19/03/11,23/06/11-19/03/11,25/01/12-19/03/11,01/03/12-19/03/11,14/03/12-19/03/11,23/05/13-19/03/11,07/07/13-19/03/11,16/10/13-19/03/11,21/03/14-19/03/11,19/07/14-19/03/11	0,26,1,1,1,1,1,1,1,2	0,37,2,2,2,2,2,2,2,4	0,509,30,20,21,8,10,5,2,28	0,1,1,2,1,21,40,230,374,32	0,1,1,2,1,21,40,230,374,32	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,1,0,0,0,0	0,0,0,1,0,1,0,0,0,0	966.json	658	ugly
1385	4	3	4	0.0	0.8564833402633667	0.7683282644324768	0	0	0	1	1	3.46	0	0	0	13.0	4.0	14.0	4.0	17.0	18.0	73.57433	6.5	478.23315	26.568508	0.024524778	125.96089172363281	0	0	0	1	0	0	0	1	0	0	0	snowleo	0	164	30/08/11-19/03/11	0	0	0	0	0	0	0	0	1706.json	0	good
1279	3,3,4	3,3,3	3,3,3	0.0,0.0,0.0	0.6928300261497498,0.5559430122375488,0.9383834600448608	0.7672984739562945,0.7951215859616946,0.8761153569038302	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	1,1,1	11.0,12.0,11.0	3.0,2.0,2.0	14.0,14.0,13.0	4.0,4.0,4.0	14.0,14.0,13.0	18.0,18.0,17.0	68.53239,68.53239,62.907475	7.3333335,12.0,11.0	502.57086,822.3887,691.98224	27.920603,45.68826,38.44346	0.022844128,0.022844128,0.020969158	130.99049377441406,130.99049377441406,131.43582153320312	0,0,0	1,1,1	0,0,0	0,0,0	1,1,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	ElgarL,ElgarL,ElgarL	0,16,393	269,285,662	13/12/11-19/03/11,29/12/11-19/03/11,09/01/13-19/03/11	0,1,1	0,2,2	0,19,8	0,9,31	0,9,31	0,0,0	0,0,0	0,0,0	2743.json	0	good
