Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
1357	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.8218582272529602,0.8132579922676086,0.8263181447982788	0.9306850997452101,0.9342218495316664,0.9747709652118497	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	1,1,1	11.0,11.0,9.0	3.0,3.0,3.0	14.0,14.0,12.0	3.0,3.0,3.0	14.0,14.0,12.0	17.0,17.0,15.0	64.72504,64.72504,53.77444	5.5,5.5,4.5	355.9877,355.9877,241.98499	19.777094,19.777094,13.44361	0.021575011,0.021575011,0.017924814	131.28770446777344,131.28770446777344,132.25152587890625	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	David Karnok,David Karnok,David Karnok	0,974,1032	1675,2649,2707	18/10/16-18/03/12,19/06/19-18/03/12,16/08/19-18/03/12	0,1,1	0,2,2	0,9,17	0,311,7746	0,311,1943	0,0,0	0,1,1	0,1,1	801.json	0	good
1455	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.9773156046867371,0.9773156046867371,0.9756264686584473,0.8943488001823425	0.9615757071210423,0.9615757071210423,0.9356561949886134,0.876432305888751	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	1,1,1,1	11.0,11.0,11.0,12.0	1.0,1.0,1.0,2.0	13.0,13.0,13.0,14.0	1.0,1.0,1.0,2.0	12.0,12.0,12.0,14.0	14.0,14.0,14.0,16.0	50.189476,50.189476,50.189476,60.91768	5.5,5.5,5.5,6.0	276.0421,276.0421,276.0421,365.50607	15.335673,15.335673,15.335673,20.305893	0.016729826,0.016729826,0.016729826,0.020305892	132.61029052734375,132.61029052734375,132.61029052734375,131.60296630859375	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	David Karnok,Jake Wharton,David Karnok,David Karnok	0,28,38,1130	1577,1605,1615,2707	12/07/16-18/03/12,09/08/16-18/03/12,19/08/16-18/03/12,16/08/19-18/03/12	0,0,3,3	0,0,6,6	0,0,12,38	0,274,307,7746	0,21,48,1943	0,0,0,0	0,0,0,1	0,0,0,1	1781.json	624	ugly
1001	57,54,48,48	47,44,38,38	47,44,38,38	0.0,0.0,0.0,0.0	0.08894763141870499,0.012848222628235817,0.0376477986574173,0.0376477986574173	7.557703414917634E-4,1.652684410817738E-6,8.505263346373832E-5,8.505263346373832E-5	6,9,8,8	7,10,9,9	13,19,17,17	10,11,10,10	10,11,10,10	5.19,5.5,5.09,5.09	4,4,4,4	16,11,8,8	11,8,6,6	34.0,42.0,38.0,38.0	20.0,17.0,15.0,15.0	142.0,159.0,136.0,136.0	40.0,42.0,36.0,36.0	54.0,59.0,53.0,53.0	182.0,201.0,172.0,172.0	1047.3895,1182.4113,985.20233,985.20233	34.0,51.88235,45.600002,45.600002	35611.242,61346.277,44925.23,44925.23	1978.4023,3408.1265,2495.8462,2495.8462	0.34912986,0.39413708,0.3284008,0.3284008	70.16651916503906,70.37451171875,73.92829895019531,73.92829895019531	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	4,9,7,7	0,0,0,0	0,0,0,0	Peter Hewitt,David Karnok,David Karnok,David Karnok	0,145,665,676	2031,2176,2696,2707	09/10/17-18/03/12,03/03/18-18/03/12,05/08/19-18/03/12,16/08/19-18/03/12	0,35,2,0	0,73,10,0	0,765,270,0	0,52,130,7746	0,52,130,1943	0,0,0,0	0,0,1,1	0,0,1,1	1139.json	0	good
1332	11,11,11	10,10,10	10,10,10	0.0,0.0,0.0	0.9261628985404968,0.9228675961494446,0.9228675961494446	0.9210313016408166,0.914206334351205,0.914206334351205	1,1,1	1,1,1	2,2,2	3,3,3	3,3,3	4.1,4.1,4.1	2,2,2	3,3,3	3,3,3	16.0,16.0,16.0	7.0,7.0,7.0	31.0,31.0,31.0	10.0,10.0,10.0	23.0,23.0,23.0	41.0,41.0,41.0	185.46603,185.46603,185.46603	11.428572,11.428572,11.428572	2119.6118,2119.6118,2119.6118	117.75621,117.75621,117.75621	0.061822012,0.061822012,0.061822012	105.84918975830078,105.84918975830078,105.84918975830078	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	David Karnok,David Karnok,David Karnok	0,631,1007	1699,2331,2707	11/11/16-18/03/12,05/08/18-18/03/12,16/08/19-18/03/12	0,1,0	0,2,0	0,8,0	0,1804,7746	0,1804,1943	0,0,0	0,0,1	0,0,1	1421.json	168	noise
1384	7,7,7	7,7,7	7,7,7	0.0,0.0,0.0	0.10240939259529114,0.09552828222513199,0.09552828222513199	0.35644713667829697,0.29195405704250593,0.29195405704250593	3,3,3	1,1,1	4,4,4	2,2,2	2,2,2	3.33,3.33,3.33	1,1,1	3,3,3	3,3,3	16.0,16.0,16.0	6.0,7.0,7.0	33.0,33.0,33.0	11.0,11.0,11.0	22.0,23.0,23.0	44.0,44.0,44.0	196.215,199.03673,199.03673	14.666667,12.571428,12.571428	2877.82,2502.176,2502.176	159.87889,139.00978,139.00978	0.065405,0.06634557,0.06634557	111.56436157226562,111.4901123046875,111.4901123046875	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	David Karnok,David Karnok,David Karnok	0,683,1059	1648,2331,2707	21/09/16-18/03/12,05/08/18-18/03/12,16/08/19-18/03/12	0,3,0	0,6,0	0,22,0	0,1804,7746	0,1804,1943	0,0,0	0,0,1	0,0,1	2286.json	135	noise
1773	3,9,7,7,6,6,6,6,6	3,7,7,7,6,6,6,6,6	3,7,7,7,6,6,6,6,6	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.7224659323692322,0.8723592162132263,0.3151763081550598,0.3151763081550598,0.24467691779136658,0.14016447961330414,0.16319984197616577,0.14291900396347046,0.14291900396347046	0.9202100484431421,0.8666129000612902,0.6767892535122304,0.6767892535122304,0.6613473016910578,0.655029574928282,0.6778580600404072,0.5989381684978838,0.5989381684978838	0,3,3,3,3,3,3,3,3	0,1,1,1,1,1,1,1,1	0,4,4,4,4,4,4,4,4	1,2,2,2,2,2,2,2,2	1,2,2,2,2,2,2,2,2	1.89,2.56,2.56,2.56,3.27,3.27,3.27,3.27,3.27	0,1,1,1,1,1,1,1,1	1,2,2,2,2,2,2,2,2	1,2,2,2,2,2,2,2,2	10.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0	3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0	13.0,29.0,29.0,29.0,27.0,28.0,28.0,28.0,28.0	4.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0	13.0,20.0,20.0,20.0,19.0,19.0,19.0,20.0,20.0	17.0,38.0,38.0,38.0,36.0,36.0,36.0,36.0,36.0	62.907475,164.23326,164.23326,164.23326,152.9254,152.9254,152.9254,155.58942,155.58942	6.666667,18.0,18.0,18.0,16.875,15.0,15.0,12.0,12.0	419.38318,2956.1987,2956.1987,2956.1987,2580.6162,2293.881,2293.881,1867.073,1867.073	23.299065,164.23326,164.23326,164.23326,143.36757,127.437836,127.437836,103.72628,103.72628	0.020969158,0.05474442,0.05474442,0.05474442,0.050975133,0.050975133,0.050975133,0.051863138,0.051863138	131.43582153320312,112.48956298828125,112.48956298828125,112.48956298828125,115.35775756835938,115.35775756835938,115.35775756835938,115.26795196533203,115.26795196533203	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	akarnokd,akarnokd,akarnokd,David Karnok,Jake Wharton,David Karnok,David Karnok,David Karnok,David Karnok	0,4,203,297,300,307,308,1072,1448	1259,1263,1462,1556,1559,1566,1567,2331,2707	29/08/15-18/03/12,02/09/15-18/03/12,19/03/16-18/03/12,21/06/16-18/03/12,24/06/16-18/03/12,01/07/16-18/03/12,02/07/16-18/03/12,05/08/18-18/03/12,16/08/19-18/03/12	0,6,0,0,2,1,1,3,0	0,6,2,0,5,2,2,6,0	0,158,26,0,52,3,12,22,0	0,36,2796,1074,54,191,230,1804,7746	0,36,1559,303,54,191,230,1804,1943	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,1	0,0,0,0,0,0,1,0,1	2080.json	0	good
867	6,6,6,6	6,6,6,6	6,6,6,6	0.0,0.0,0.0,0.0	0.032519496977329254,0.040286771953105927,0.040286771953105927,0.04007373005151749	0.04369385638499403,0.0438065042468609,0.0438065042468609,0.06354429661446151	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	3,3,3,3	2,2,2,2	19.0,19.0,19.0,20.0	7.0,7.0,7.0,7.0	37.0,37.0,37.0,35.0	14.0,14.0,14.0,13.0	26.0,26.0,26.0,27.0	51.0,51.0,51.0,48.0	239.72244,239.72244,239.72244,228.2346	19.0,19.0,19.0,18.571428	4554.7266,4554.7266,4554.7266,4238.6426	253.04036,253.04036,253.04036,235.48015	0.079907484,0.079907484,0.079907484,0.0760782	113.25019073486328,113.25019073486328,113.25019073486328,113.50555419921875	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	David Karnok,David Karnok,David Karnok,David Karnok	0,162,542,676	2164,2327,2707,2840	19/02/18-18/03/12,01/08/18-18/03/12,16/08/19-18/03/12,27/12/19-18/03/12	0,3,0,1	0,6,0,2	0,15,0,1	0,199,7746,1007	0,199,1943,1007	0,1,0,0	0,1,1,1	0,1,1,1	2413.json	234	ugly
1749	7,7,7,7,7,4	7,7,7,7,7,4	7,7,7,7,7,4	0.0,0.0,0.0,0.0,0.0,0.0	0.18835456669330597,0.09455200284719467,0.09941097348928452,0.09941097348928452,0.09941097348928452,0.3302006125450134	0.23970974673615852,0.1140916153128479,0.12111845138554336,0.12111845138554336,0.12111845138554336,0.7448521577544375	1,1,1,1,1,0	1,1,1,1,1,0	2,2,2,2,2,0	2,2,2,2,2,1	2,2,2,2,2,1	2.56,2.56,2.56,2.56,2.56,2.0	1,1,1,1,1,0	4,4,4,4,4,2	4,4,4,4,4,2	20.0,20.0,19.0,19.0,19.0,14.0	7.0,7.0,8.0,8.0,8.0,5.0	34.0,38.0,37.0,37.0,37.0,18.0	10.0,11.0,12.0,12.0,12.0,6.0	27.0,27.0,27.0,27.0,27.0,19.0	44.0,49.0,49.0,49.0,49.0,24.0	209.21506,232.98949,232.98949,232.98949,232.98949,101.950264	14.285715,15.714285,14.25,14.25,14.25,8.400001	2988.7866,3661.2632,3320.1,3320.1,3320.1,856.38226	166.0437,203.4035,184.45001,184.45001,184.45001,47.576794	0.06973835,0.07766316,0.07766316,0.07766316,0.07766316,0.03398342	111.23076629638672,110.67108917236328,110.67108917236328,110.67108917236328,110.67108917236328,124.26470947265625	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	akarnokd,akarnokd,akarnokd,David Karnok,David Karnok,David Karnok	0,135,179,273,1424,1547	1283,1418,1462,1556,2707,2830	22/09/15-18/03/12,04/02/16-18/03/12,19/03/16-18/03/12,21/06/16-18/03/12,16/08/19-18/03/12,17/12/19-18/03/12	0,1,1,0,0,3	0,2,2,0,0,9	0,9,6,0,0,142	0,1382,2796,1074,7746,56	0,1382,1559,303,1943,56	0,0,0,0,0,0	0,0,0,0,1,1	0,0,0,0,1,1	1589.json	31	noise
1781	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.5448593497276306,0.47650018334388733,0.47650018334388733	0.7783246039771359,0.857291142618604,0.857291142618604	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	1,1,1	13.0,11.0,11.0	4.0,4.0,4.0	15.0,13.0,13.0	4.0,4.0,4.0	17.0,15.0,15.0	19.0,17.0,17.0	77.6618,66.41714,66.41714	6.5,5.5,5.5	504.80167,365.29425,365.29425	28.044537,20.294125,20.294125	0.025887266,0.022139046,0.022139046	130.34019470214844,131.1535186767578,131.1535186767578	0,0,0	1,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	akarnokd,David Karnok,David Karnok	0,390,1456	1251,1641,2707	21/08/15-18/03/12,14/09/16-18/03/12,16/08/19-18/03/12	0,1,0	0,2,0	0,17,0	0,71,7746	0,59,1943	0,0,0	0,0,1	0,0,1	1058.json	108	noise
1393	3,3	3,3	3,3	0.0,0.0	0.8025031685829163,0.688930332660675	0.9387438084365162,0.9721050230496686	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	1,1	1,1	11.0,10.0	3.0,2.0	13.0,12.0	3.0,2.0	14.0,12.0	16.0,14.0	60.91768,50.189476	5.5,5.0	335.04724,250.94739	18.613735,13.941522	0.020305892,0.016729826	131.60296630859375,132.61029052734375	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,0	0,0	0,0	0,0	David Karnok,David Karnok	0,1068	1639,2707	12/09/16-18/03/12,16/08/19-18/03/12	0,1	0,2	0,18	0,7746	0,1943	0,0	0,1	0,1	3090.json	0	good
