Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
ant	1182.json	23	21	22	0.045454545454545456	0.09883621335029602	0.0011586655320749274	2	2	4	4	4	3.47	2	4	4	31.0	12.0	80.0	25.0	43.0	105.0	569.7578	32.291664	18398.428	1022.1349	0.18991928	87.010009765625	1	0	0	0	0	0	0	1	3	0	0	110	noise
ant	3371.json	7	7	7	0.0	0.05979407578706741	0.3260226190902033	0	0	0	1	1	1.81	0	6	6	17.0	4.0	32.0	9.0	21.0	41.0	180.085	19.125	3444.1257	191.34032	0.060028337	112.24042510986328	0	0	0	1	0	0	0	0	0	0	0	0	good
ant	801.json	3	3	3	0.0	0.9508231282234192	0.9535600664925228	0	0	0	1	1	1.89	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	1	0	0	0	0	0	0	0	0	0	0	6	bad
ant	4804.json	27	19	21	0.2857142857142857	0.021631428971886635	0.008430200597235198	7	7	14	6	6	3.61	4	7	5	25.0	11.0	79.0	26.0	36.0	105.0	542.84216	29.545454	16038.519	891.0288	0.1809474	87.55528259277344	0	1	0	0	0	0	0	0	2	0	0	0	good
ant	9048.json	2	2	2	0.0	0.9081576466560364	0.9139102296763402	0	0	0	1	1	0.0	0	0	0	8.0	2.0	9.0	2.0	10.0	11.0	36.541206	4.0	146.16483	8.120268	0.012180402	140.82913208007812	0	0	0	1	0	0	0	1	0	0	0	49	noise
ant	1781.json	7	6	7	0.0	0.09810061007738113	0.11877821071748935	1	1	2	2	2	3.02	1	6	3	19.0	5.0	38.0	9.0	24.0	47.0	215.49323	17.1	3684.9343	204.71857	0.07183108	111.07701873779297	0	1	0	0	0	0	0	2	0	0	0	49	noise
ant	2809.json	27	15	26	0.0	0.014285032637417316	0.4261514411057787	3	3	6	4	4	9.41	1	2	1	21.0	14.0	62.0	23.0	35.0	85.0	435.98904	17.25	7520.811	417.82285	0.14532968	85.69522857666016	0	0	0	0	0	0	0	0	3	0	0	115	noise
ant	6035.json	18	19	16	0.0625	0.2877890169620514	0.003997251994734981	2	2	4	5	5	3.05	3	3	3	27.0	10.0	73.0	20.0	37.0	93.0	484.4792	27.0	13080.938	726.7188	0.16149306	92.78207397460938	0	0	0	1	0	0	0	1	1	0	0	598	ugly
ant	1139.json	3	3	3	0.0	0.8720149993896484	0.9745012874571232	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
ant	8754.json	3	3	3	0.0	0.6753640174865723	0.9214105895360646	0	0	0	1	1	1.89	0	2	2	12.0	1.0	15.0	1.0	13.0	16.0	59.207035	6.0	355.24222	19.73568	0.019735679	131.75106811523438	0	1	0	0	0	0	0	0	0	0	0	10	bad
ant	2838.json	49	27	43	0.0	1.3893781579099596E-4	3.362377092064948E-6	6	6	12	7	7	10.42	1	16	9	29.0	18.0	140.0	50.0	47.0	190.0	1055.3718	40.277775	42508.027	2361.5571	0.3517906	72.25798797607422	0	0	0	1	1	0	0	3	6	0	0	0	good
