Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
argouml	11972.json	9	10	8	0.0	0.7357280850410461	0.001314750341986843	3	2	5	3	3	0.87	0	4	4	28.0	9.0	54.0	14.0	37.0	68.0	354.24286	21.777779	7714.6226	428.59015	0.11808095	106.09913635253906	0	0	0	1	0	0	0	2	3	2	1	155	noise
argouml	1182.json	9	7	9	0.0	0.1072002723813057	0.018476166795949003	1	2	3	2	2	7.49	1	4	4	27.0	8.0	46.0	13.0	35.0	59.0	302.6277	21.9375	6638.895	368.8275	0.10087589	105.23994445800781	0	0	0	1	0	0	0	1	1	1	1	394	ugly
argouml	11749.json	6	7	6	0.0	0.9338278770446777	0.5047783032362925	1	1	2	2	2	2.75	1	1	1	16.0	5.0	26.0	7.0	21.0	33.0	144.94647	11.2	1623.4005	90.18892	0.04831549	115.63639831542969	1	0	0	0	0	0	0	1	0	0	0	26	noise
argouml	801.json	3	3	3	0.0	0.6978434920310974	0.930001558258762	0	0	0	1	1	1.89	0	0	0	10.0	2.0	12.0	2.0	12.0	14.0	50.189476	5.0	250.94739	13.941522	0.016729826	132.61029052734375	0	0	0	1	0	0	1	0	0	0	0	0	good
argouml	14173.json	4	3	3	0.3333333333333333	0.786766767501831	0.8117258117608807	0	0	0	1	1	2.0	0	0	0	11.0	5.0	15.0	5.0	16.0	20.0	80.0	5.5	440.0	24.444445	0.026666667	130.18594360351562	0	0	0	1	0	0	0	3	0	0	0	47	noise
argouml	9048.json	1	3	1	0.0	0.982174813747406	0.8828728009413339	0	0	0	1	1	0.0	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	151.39474487304688	0	0	0	1	0	0	1	0	0	0	0	13	bad
argouml	12156.json	17	15	15	0.13333333333333333	0.5514779090881348	0.07840391909181132	2	2	4	4	3	4.99	4	5	5	29.0	9.0	56.0	15.0	38.0	71.0	372.60287	24.166666	9004.569	500.25385	0.124200955	95.42292022705078	0	0	0	1	0	0	0	1	3	0	0	19	bad
argouml	1781.json	3	3	3	0.0	0.9518932104110718	0.9561398161317443	0	0	0	1	1	1.89	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	0	1	0	0	0	0	0	0	0	0	0	0	good
argouml	2809.json	3	3	3	0.0	0.3040443956851959	0.9452303664362437	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
argouml	6035.json	4	3	3	0.0	0.9820969104766846	0.9416596776124517	0	0	0	1	1	1.89	0	1	1	9.0	2.0	12.0	2.0	11.0	14.0	48.432045	4.5	217.9442	12.108011	0.016144015	132.79563903808594	0	0	0	1	0	0	0	1	0	0	0	9	bad
