Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
atmosphere	801.json	7	7	7	0.0	0.1416398584842682	0.5621211446386937	0	0	0	2	2	2.56	1	3	2	17.0	4.0	30.0	7.0	21.0	37.0	162.51575	14.875	2417.4216	134.30121	0.054171916	112.54422760009766	0	0	0	1	0	0	0	1	1	0	0	66	noise
atmosphere	2809.json	4	4	4	0.0	0.26008930802345276	0.7409756986749403	0	0	0	1	1	2.0	0	3	3	12.0	3.0	20.0	3.0	15.0	23.0	89.85848	6.0	539.1509	29.952827	0.029952828	124.92120361328125	0	0	0	1	0	0	0	0	0	0	0	26	noise
atmosphere	2838.json	21	17	17	0.0	0.2622670829296112	0.05557631477001017	2	4	6	5	5	2.58	1	4	4	24.0	11.0	62.0	20.0	35.0	82.0	420.6012	21.818182	9176.754	509.81967	0.14020039	92.5351791381836	1	0	0	0	0	0	0	2	0	0	0	185	noise
atmosphere	1421.json	8	8	8	0.0	0.1797625571489334	0.0803672902905144	1	1	2	2	2	2.4	1	5	5	20.0	7.0	38.0	13.0	27.0	51.0	242.49927	18.571428	4503.5576	250.19765	0.08083309	108.29985046386719	0	0	0	1	0	0	0	1	1	0	0	63	noise
atmosphere	711.json	3	3	3	0.0	0.6808509230613708	0.8554589583152653	0	0	0	1	1	1.89	0	1	1	11.0	2.0	14.0	2.0	13.0	16.0	59.207035	5.5	325.6387	18.09104	0.019735679	131.75106811523438	0	0	0	1	0	0	0	0	0	0	0	610	ugly
atmosphere	2286.json	3	3	3	0.0	0.8382989168167114	0.9947996701008416	0	0	0	1	1	1.89	0	1	1	9.0	2.0	12.0	2.0	11.0	14.0	48.432045	4.5	217.9442	12.108011	0.016144015	132.79563903808594	0	0	0	1	0	0	0	0	0	0	0	0	good
atmosphere	1359.json	5	5	5	0.0	0.08296491950750351	0.5724893076918748	0	0	0	2	2	2.99	1	1	1	17.0	4.0	23.0	6.0	21.0	29.0	127.377205	12.75	1624.0593	90.22552	0.042459067	119.26190948486328	0	0	0	0	0	0	0	1	1	0	0	41	noise
atmosphere	2080.json	3	3	3	0.0	0.8270229697227478	0.902940523195443	0	0	0	1	1	1.89	0	0	0	9.0	2.0	11.0	3.0	11.0	14.0	48.432045	6.75	326.9163	18.162016	0.016144015	132.79563903808594	0	0	0	1	0	0	0	1	0	0	0	0	good
atmosphere	2413.json	49	30	30	0.0	0.0	1.14277331645143E-20	0	0	0	1	1	1.0	0	43	8	33.0	22.0	242.0	109.0	55.0	351.0	2029.2572	81.75	165891.78	9216.21	0.6764191	76.07038879394531	1	0	0	0	1	0	0	0	2	0	0	0	good
atmosphere	1589.json	6	6	6	0.0	0.00381613802164793	0.057933510145356526	3	1	4	2	2	3.27	1	4	4	20.0	5.0	38.0	12.0	25.0	50.0	232.19281	24.0	5572.6274	309.59042	0.0773976	113.18614196777344	0	1	0	0	0	0	0	2	0	0	0	0	good
