Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
cassandra	1182.json	4	3	4	0.0	0.9151791930198669	0.972248076117198	0	0	0	1	1	1.73	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	128.335205078125	0	0	0	1	0	0	1	0	0	0	0	0	good
cassandra	23415.json	18	12	13	0.0	0.018316233530640602	2.6552452277099804E-5	1	3	4	4	4	2.72	0	14	4	21.0	11.0	80.0	38.0	32.0	118.0	590.0	36.272728	21400.91	1188.9395	0.19666667	95.35118103027344	0	1	0	0	0	0	0	0	2	0	0	121	noise
cassandra	4804.json	18	14	16	0.0	0.0	2.869902467355264E-10	6	4	10	5	5	3.73	1	10	7	34.0	19.0	118.0	48.0	53.0	166.0	950.83484	42.947365	40835.85	2268.6584	0.31694496	89.27589416503906	1	0	0	0	0	0	0	1	5	1	1	1989	ugly
cassandra	1139.json	4	3	4	0.0	0.20258362591266632	0.7515569645255327	0	0	0	1	1	1.73	0	1	1	13.0	5.0	17.0	6.0	18.0	23.0	95.90828	7.8	748.0846	41.560257	0.031969428	124.58238983154297	0	0	0	1	0	0	0	2	0	0	0	14	bad
cassandra	711.json	16	11	16	0.0	0.038408856838941574	0.3478472360428673	1	3	4	4	1	11.29	2	5	5	20.0	12.0	45.0	17.0	32.0	62.0	310.0	14.166666	4391.6665	243.98148	0.10333333	95.3338851928711	0	0	0	1	0	0	0	0	0	0	0	0	good
cassandra	7648.json	5	4	5	0.0	0.5596225261688232	0.7625069152873544	0	0	0	1	1	1.96	0	2	2	15.0	3.0	20.0	6.0	18.0	26.0	108.41805	15.0	1626.2708	90.34837	0.03613935	120.3299331665039	0	1	0	0	1	0	0	1	1	0	0	20	bad
cassandra	23333.json	4	3	4	0.0	0.326935350894928	0.9881095806162437	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	0	0	0	0	0	0	good
cassandra	1170.json	5	4	5	0.0	0.0905638188123703	0.4347211891960808	0	0	0	1	1	1.96	0	2	2	17.0	6.0	27.0	9.0	23.0	36.0	162.84824	12.75	2076.315	115.35083	0.054282747	118.21444702148438	0	0	0	1	0	0	0	1	1	0	0	1133	ugly
cassandra	23163.json	4	3	4	0.0	0.7764812707901001	0.977096800139556	0	0	0	1	1	1.73	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	128.335205078125	0	0	0	1	0	0	0	0	0	0	0	2	bad
cassandra	17014.json	23	19	22	0.045454545454545456	0.22457599639892578	0.018357143545685625	3	5	8	5	5	2.38	1	0	0	27.0	10.0	70.0	31.0	37.0	101.0	526.1548	41.85	22019.576	1223.3098	0.17538492	87.19401550292969	0	0	0	1	0	0	0	1	3	3	1	512	ugly
