Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
checkstyle	801.json	4	3	4	0.0	0.8495808839797974	0.9847576142045438	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	1781.json	23	3	23	0.0	0.0	0.07981667891257209	0	0	0	1	1	2.79	0	0	0	13.0	20.0	50.0	37.0	33.0	87.0	438.86227	12.025001	5277.3193	293.18442	0.14628743	88.33722686767578	0	0	0	1	0	0	1	0	0	0	0	624	ugly
checkstyle	1139.json	4	3	4	0.0	0.2287008911371231	0.5912591303057719	0	0	0	1	1	1.73	0	0	0	13.0	4.0	18.0	5.0	17.0	23.0	94.01165	8.125	763.84467	42.435814	0.031337216	124.6862564086914	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	1421.json	53	25	45	0.13333333333333333	0.0	1.3425868770070938E-15	10	15	25	13	13	4.86	8	37	8	34.0	18.0	230.0	78.0	52.0	308.0	1755.7355	73.66667	129339.19	7185.5103	0.58524513	67.49472045898438	0	1	0	0	0	0	0	2	2	10	3	168	noise
checkstyle	2286.json	27	14	25	0.04	0.00845977384597063	1.536161043181792E-7	15	13	28	4	4	4.4	1	21	16	37.0	13.0	112.0	41.0	50.0	153.0	863.50995	58.346157	50382.49	2799.027	0.28783664	82.77698516845703	0	0	0	1	0	0	0	1	6	1	1	135	noise
checkstyle	2100.json	34	30	34	0.0	0.0040038470178842545	1.6031878070111388E-7	4	3	7	6	6	5.12	4	13	12	43.0	18.0	123.0	42.0	61.0	165.0	978.5717	50.166664	49091.68	2727.3154	0.32619056	76.68527221679688	0	0	0	1	0	0	0	1	8	0	0	382	ugly
checkstyle	2080.json	5	4	5	0.0	0.753632664680481	0.9493072953396094	0	0	0	1	1	1.96	0	0	0	12.0	3.0	14.0	4.0	15.0	18.0	70.32403	8.0	562.5922	31.255123	0.023441343	122.58091735839844	0	0	0	1	0	0	0	1	0	0	0	0	good
checkstyle	2413.json	12	8	11	0.0	0.07232934981584549	0.08673242571754547	5	2	7	3	3	4.91	2	7	6	23.0	8.0	46.0	13.0	31.0	59.0	292.29758	18.6875	5462.311	303.46173	0.097432524	101.93968200683594	1	0	0	0	0	0	0	2	1	0	0	234	ugly
checkstyle	1589.json	4	3	4	0.0	0.5987047553062439	0.7954549459533814	0	0	0	1	1	1.73	0	0	0	12.0	3.0	16.0	3.0	15.0	19.0	74.23092	6.0	445.3855	24.743639	0.024743639	125.91468811035156	0	0	0	1	0	0	1	0	0	0	0	31	noise
checkstyle	1058.json	4	3	4	0.0	0.2979620099067688	0.93573552537822	0	0	0	1	1	1.73	0	1	1	11.0	1.0	13.0	1.0	12.0	14.0	50.189476	5.5	276.0421	15.335673	0.016729826	127.94984436035156	0	0	0	1	0	0	1	0	0	0	0	108	noise
checkstyle	3090.json	4	3	4	0.0	0.7466023564338684	0.9066133460053004	0	0	0	1	1	1.73	0	0	0	10.0	3.0	11.0	4.0	13.0	15.0	55.506596	6.666667	370.04398	20.557999	0.018502198	127.42622375488281	0	0	0	1	0	0	1	1	0	0	0	0	good
checkstyle	966.json	12	8	12	0.0	0.14739078283309937	0.298924460512406	1	3	4	3	3	3.04	2	6	4	17.0	7.0	44.0	10.0	24.0	54.0	247.58797	12.142858	3006.4253	167.02362	0.08252932	101.39332580566406	0	0	0	1	0	0	0	1	0	2	1	658	ugly
checkstyle	1706.json	4	3	4	0.0	0.2979620099067688	0.93573552537822	0	0	0	1	1	1.73	0	1	1	11.0	1.0	13.0	1.0	12.0	14.0	50.189476	5.5	276.0421	15.335673	0.016729826	127.94984436035156	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	2743.json	5	4	5	0.0	0.1857309192419052	0.9436635909680501	0	0	0	1	1	1.96	0	2	2	11.0	1.0	16.0	1.0	12.0	17.0	60.944363	5.5	335.194	18.62189	0.020314788	123.32530975341797	0	0	0	1	0	0	0	0	0	0	0	0	good
checkstyle	2638.json	9	6	7	0.2857142857142857	0.24203090369701385	0.9788528061787478	1	1	2	2	2	2.51	1	2	2	13.0	1.0	21.0	1.0	14.0	22.0	83.76181	6.5	544.4518	30.247322	0.027920604	115.99077606201172	0	0	0	1	0	0	0	0	0	0	0	0	good
checkstyle	1931.json	4	3	4	0.0	0.0042875660583376884	0.8489532118254466	0	0	0	1	1	1.73	0	0	0	13.0	2.0	14.0	4.0	15.0	18.0	70.32403	13.0	914.21234	50.789574	0.023441343	126.19583892822266	0	0	0	1	0	0	1	1	0	0	0	0	good
checkstyle	1779.json	23	3	23	0.0	0.0	0.08033769041910258	0	0	0	1	1	2.79	0	0	0	13.0	20.0	50.0	37.0	33.0	87.0	438.86227	12.025001	5277.3193	293.18442	0.14628743	88.33722686767578	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	1318.json	8	7	8	0.0	0.6764518618583679	0.6150060165176815	1	1	2	2	2	2.65	1	2	2	16.0	4.0	27.0	9.0	20.0	36.0	155.58942	18.0	2800.6094	155.58942	0.051863138	110.60749816894531	0	0	0	1	1	0	0	1	1	0	0	6	bad
checkstyle	3280.json	7	3	7	0.0	0.24674421548843384	0.8951272828656459	0	0	0	1	1	3.33	0	0	0	13.0	4.0	18.0	5.0	17.0	23.0	94.01165	8.125	763.84467	42.435814	0.031337216	115.62047576904297	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	2373.json	22	13	21	0.047619047619047616	0.0013105033431202173	0.010336937693075792	3	6	9	4	4	5.86	3	9	5	23.0	13.0	71.0	23.0	36.0	94.0	485.97296	20.346153	9887.681	549.3156	0.16199099	88.59074401855469	0	0	0	1	0	0	0	1	1	3	2	217	ugly
checkstyle	1198.json	14	9	14	0.0	0.08459978550672531	0.019562108186368794	2	2	4	2	2	3.83	1	5	5	21.0	10.0	52.0	20.0	31.0	72.0	356.70215	21.0	7490.745	416.1525	0.11890072	97.22738647460938	1	0	0	0	0	0	0	1	3	4	1	155	noise
checkstyle	3165.json	14	8	14	0.0	0.03449850156903267	0.014158771547174383	4	5	9	3	3	3.33	2	8	5	22.0	8.0	58.0	14.0	30.0	72.0	353.2961	19.25	6800.95	377.83057	0.11776537	97.04727935791016	0	0	0	1	0	0	0	1	1	0	0	208	ugly
checkstyle	3786.json	4	3	4	0.0	0.8469845652580261	0.972659188790826	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	1875.json	4	3	4	0.0	0.5876257419586182	0.7645199751713745	0	0	0	1	1	1.73	0	0	0	12.0	3.0	16.0	3.0	15.0	19.0	74.23092	6.0	445.3855	24.743639	0.024743639	125.91468811035156	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	2954.json	4	3	4	0.0	0.5001775622367859	0.6017454944699884	0	0	0	1	1	1.73	0	2	2	12.0	5.0	16.0	6.0	17.0	22.0	89.92419	7.2000003	647.45416	35.969677	0.029974729	124.91740417480469	1	0	0	0	0	0	0	1	0	0	0	6	bad
checkstyle	3198.json	4	3	4	0.0	0.6935140490531921	0.885791077693601	0	0	0	1	1	1.73	0	0	0	13.0	3.0	14.0	3.0	16.0	17.0	68.0	6.5	442.0	24.555555	0.022666667	126.37059020996094	0	0	0	1	0	0	1	1	0	0	0	41	noise
checkstyle	796.json	4	3	4	0.0	0.9395503997802734	0.9906108193986265	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
checkstyle	3039.json	4	3	4	0.0	0.7472668886184692	0.9521936418097148	0	0	0	1	1	1.73	0	1	1	10.0	3.0	13.0	4.0	13.0	17.0	62.907475	6.666667	419.38318	23.299065	0.020969158	126.77537536621094	1	0	0	0	0	0	0	1	0	0	0	0	good
checkstyle	3382.json	17	12	16	0.0	0.021514147520065308	0.009462502302716001	5	4	9	3	3	4.47	2	9	5	23.0	6.0	65.0	23.0	29.0	88.0	427.50235	44.083332	18845.729	1046.9849	0.14250079	93.89266967773438	1	0	0	0	0	0	0	1	3	1	1	39	noise
checkstyle	940.json	16	15	16	0.0	0.1459917426109314	0.08439672242645199	3	3	6	4	4	3.32	2	7	7	26.0	6.0	59.0	11.0	32.0	70.0	350.0	23.833334	8341.667	463.42593	0.11666667	94.70281219482422	1	0	0	0	0	0	0	0	3	0	0	146	noise
checkstyle	2965.json	4	3	4	0.0	0.9287307858467102	0.9893464761688558	0	0	0	1	1	1.73	0	0	0	8.0	2.0	9.0	2.0	10.0	11.0	36.541206	4.0	146.16483	8.120268	0.012180402	129.6001434326172	0	0	0	0	0	0	0	0	0	0	0	0	good
checkstyle	3695.json	3	2	3	0.0	0.9371213912963867	0.980513624838186	0	0	0	1	1	0.0	0	0	0	9.0	1.0	10.0	1.0	10.0	11.0	36.541206	4.5	164.43542	9.135302	0.012180402	134.26058959960938	0	0	0	1	0	0	0	1	0	0	0	0	good
checkstyle	976.json	4	3	4	0.0	0.8180599212646484	0.9508910891104029	0	0	0	1	1	1.73	0	0	0	10.0	3.0	11.0	4.0	13.0	15.0	55.506596	6.666667	370.04398	20.557999	0.018502198	127.42622375488281	0	0	0	1	0	0	1	1	0	0	0	19	noise
checkstyle	3734.json	5	3	5	0.0	0.9771715998649597	0.6299132904502929	0	0	0	1	1	3.2	0	0	0	10.0	7.0	18.0	15.0	17.0	33.0	134.88628	10.714285	1445.21	80.289444	0.044962093	119.19406127929688	0	0	0	1	0	0	0	0	0	0	0	0	good
checkstyle	990.json	6	5	6	0.0	0.5800948143005371	0.7612303565751901	1	1	2	2	2	2.98	1	2	2	14.0	5.0	21.0	7.0	19.0	28.0	118.94197	9.8	1165.6313	64.75729	0.039647322	116.66458892822266	1	0	0	0	0	0	0	1	0	0	0	675	ugly
checkstyle	2637.json	15	4	15	0.0	0.001597053138539195	0.12798763506456892	0	0	0	1	1	3.22	0	2	2	16.0	14.0	51.0	15.0	30.0	66.0	323.85477	8.571428	2775.898	154.21655	0.10795159	96.84204864501953	1	0	0	0	0	0	0	0	1	0	0	94	noise
checkstyle	2909.json	12	6	11	0.0	0.04829457402229309	0.12567475177115014	2	2	4	2	2	3.74	1	4	4	21.0	11.0	38.0	15.0	32.0	53.0	265.0	14.318182	3794.318	210.79546	0.08833333	102.67950439453125	1	0	0	0	0	0	0	1	1	0	0	0	good
checkstyle	1068.json	5	4	5	0.0	0.6729023456573486	0.7112811711074227	0	0	0	1	1	1.96	0	2	2	13.0	5.0	19.0	7.0	18.0	26.0	108.41805	9.099999	986.6042	54.811344	0.03613935	120.3299331665039	1	0	0	0	0	0	0	1	0	0	0	10	bad
checkstyle	2999.json	19	14	17	0.0	0.04040800407528877	0.0010723194547331164	5	3	8	4	4	5.73	3	9	9	30.0	12.0	70.0	25.0	42.0	95.0	512.27014	31.249998	16008.441	889.35785	0.17075671	91.73991394042969	1	0	0	0	0	0	0	1	4	0	0	242	ugly
checkstyle	3386.json	51	26	33	0.36363636363636365	0.009682211093604565	7.2672074324826516E-6	10	10	20	7	7	2.02	1	15	8	25.0	22.0	138.0	49.0	47.0	187.0	1038.7081	27.84091	28918.58	1606.5878	0.34623605	76.62876892089844	1	0	0	0	0	0	0	1	5	8	1	21	noise
checkstyle	752.json	5	3	5	0.0	0.358219712972641	0.8344810880177727	0	0	0	1	1	1.96	0	1	1	15.0	3.0	17.0	4.0	18.0	21.0	87.56843	10.0	875.68427	48.649124	0.029189477	121.44052124023438	0	1	0	0	0	0	0	1	0	0	0	7	bad
