Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
commons-lang	1182.json	3	3	3	0.0	0.7764579057693481	0.9624479894134674	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	12	noise
commons-lang	801.json	3	3	3	0.0	0.4671535789966583	0.9751791798322754	0	0	0	1	1	1.89	0	0	0	11.0	1.0	14.0	1.0	12.0	15.0	53.77444	5.5	295.75943	16.43108	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	0	good
commons-lang	1781.json	33	31	31	0.03225806451612903	0.010975358076393604	6.856654770906975E-8	8	9	17	7	7	4.27	3	8	6	36.0	16.0	126.0	47.0	52.0	173.0	986.1761	52.875	52144.062	2896.8923	0.32872537	77.91146850585938	1	0	0	0	1	0	0	3	6	1	1	32	noise
commons-lang	2809.json	11	9	11	0.0	0.2667098343372345	0.667404165149508	2	2	4	3	3	2.67	2	3	2	17.0	9.0	38.0	9.0	26.0	47.0	220.92067	8.5	1877.8257	104.32365	0.07364022	103.39551544189453	0	0	0	1	0	0	0	0	0	0	0	252	ugly
commons-lang	1139.json	26	25	23	0.0	0.24170513451099396	0.012114936199844143	4	3	7	4	4	4.57	2	3	2	34.0	11.0	82.0	17.0	45.0	99.0	543.6935	26.272726	14284.31	793.57275	0.18123116	86.53338623046875	0	0	0	1	0	0	0	3	1	0	0	92	ugly
commons-lang	2838.json	21	20	20	0.0	0.0490870364010334	3.815270794645763E-7	7	6	13	5	5	3.44	2	5	5	40.0	13.0	103.0	34.0	53.0	137.0	784.7251	52.307693	41047.16	2280.3977	0.26157504	86.6594009399414	0	0	0	1	1	0	0	2	4	0	0	0	good
commons-lang	711.json	3	3	3	0.0	0.6806105375289917	0.7466678164246593	0	0	0	1	1	1.89	0	2	2	13.0	3.0	16.0	4.0	16.0	20.0	80.0	8.666667	693.3334	38.51852	0.026666667	130.18594360351562	0	0	0	1	0	0	0	1	0	0	0	0	good
commons-lang	2286.json	16	13	13	0.0	0.15382066369056702	9.842975765057913E-5	1	2	3	3	3	2.22	1	5	5	29.0	10.0	74.0	29.0	39.0	103.0	544.3964	42.050003	22891.871	1271.7706	0.18146548	95.99949645996094	0	0	0	1	1	0	0	2	3	1	1	416	ugly
commons-lang	1170.json	3	3	3	0.0	0.5981337428092957	0.943598471923757	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	10	noise
commons-lang	1359.json	5	5	5	0.0	0.5008763670921326	0.3963048320806669	1	1	2	2	2	2.99	1	0	0	19.0	4.0	26.0	7.0	23.0	33.0	149.27754	16.625	2481.7393	137.8744	0.04975918	118.43690490722656	0	0	0	1	1	0	0	3	0	0	0	0	good
commons-lang	2100.json	11	11	11	0.0	1.0649288742570207E-4	5.400784449364991E-4	2	2	4	3	3	2.41	2	4	2	22.0	7.0	65.0	25.0	29.0	90.0	437.21832	39.285713	17176.434	954.24634	0.14573944	99.8458480834961	0	0	0	1	1	0	0	2	1	0	0	3	bad
commons-lang	2080.json	15	14	14	0.07142857142857142	1.2751967005897313E-4	1.6120510367852084E-5	2	2	4	3	3	2.72	1	7	5	26.0	11.0	79.0	34.0	37.0	113.0	588.6683	40.181816	23653.76	1314.0978	0.19622275	94.39238739013672	0	0	0	1	1	0	0	2	2	0	0	529	ugly
commons-lang	2413.json	13	13	13	0.0	0.11090505868196487	2.3677178560422757E-4	4	4	8	5	5	2.65	2	1	1	28.0	10.0	69.0	24.0	38.0	93.0	488.05728	33.600002	16398.727	911.04034	0.16268577	96.1075668334961	0	0	0	1	1	0	0	2	3	1	1	12	noise
commons-lang	1589.json	28	28	28	0.0	0.0	1.8780709702300123E-9	4	8	12	9	9	2.23	1	11	4	27.0	12.0	143.0	51.0	39.0	194.0	1025.368	57.375	58830.492	3268.3606	0.34178934	78.89768981933594	0	0	0	1	1	0	0	3	1	6	2	20	noise
commons-lang	1058.json	6	6	6	0.0	0.16620922088623047	0.8580029439031945	1	1	2	2	2	2.75	1	0	0	14.0	4.0	20.0	8.0	18.0	28.0	116.757904	14.0	1634.6106	90.8117	0.0389193	116.7609634399414	0	1	0	0	0	0	0	1	0	0	0	0	good
commons-lang	213.json	3	3	3	0.0	0.8612674474716187	0.8782455971677148	0	0	0	1	1	1.89	0	0	0	12.0	3.0	13.0	3.0	15.0	16.0	62.51025	6.0	375.0615	20.83675	0.02083675	131.46876525878906	0	0	0	1	0	0	0	1	0	0	0	0	good
commons-lang	966.json	3	3	3	0.0	0.8733535408973694	0.943959769552274	0	0	0	1	1	1.89	0	1	1	10.0	1.0	12.0	1.0	11.0	13.0	44.97261	5.0	224.86305	12.492392	0.01499087	133.18099975585938	0	0	0	1	0	0	0	0	0	0	0	0	good
commons-lang	1706.json	6	6	6	0.0	0.08753441274166107	0.2010252395329186	2	2	4	2	2	2.75	1	1	1	17.0	6.0	30.0	10.0	23.0	40.0	180.94247	14.166666	2563.3516	142.40842	0.06031416	114.48296356201172	0	0	0	1	1	0	0	3	0	0	0	36	noise
commons-lang	2893.json	3	3	3	0.0	0.5917430520057678	0.9135768629117568	0	0	0	1	1	1.89	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	0	good
commons-lang	944.json	4	4	4	0.0	0.8958131074905396	0.534582041004755	1	1	2	2	2	2.0	0	0	0	16.0	6.0	20.0	8.0	22.0	28.0	124.86409	10.666667	1331.8837	73.99354	0.041621365	122.98045349121094	0	0	0	1	0	0	0	1	0	1	1	0	good
commons-lang	2743.json	9	9	9	0.0	0.420558899641037	0.10021912678069587	4	2	6	3	3	3.66	2	1	1	23.0	9.0	39.0	14.0	32.0	53.0	265.0	17.88889	4740.5557	263.3642	0.08833333	105.70036315917969	0	0	0	0	1	0	0	2	2	0	0	0	good
commons-lang	2638.json	3	3	3	0.0	0.011618169955909252	0.5831662004398678	0	0	0	1	1	1.89	0	1	1	17.0	2.0	21.0	2.0	19.0	23.0	97.70234	8.5	830.4699	46.13722	0.032567445	129.14646911621094	0	0	0	1	0	0	1	0	0	0	0	0	good
commons-lang	1931.json	3	3	3	0.0	0.7788553833961487	0.8024466198311998	0	0	0	1	1	1.89	0	1	1	13.0	3.0	15.0	4.0	16.0	19.0	76.0	8.666667	658.6667	36.592594	0.025333334	130.45266723632812	0	0	0	1	1	0	0	1	0	0	0	105	ugly
commons-lang	1779.json	3	3	3	0.0	0.0028171087615191936	0.41749783896775694	0	0	0	1	1	1.89	0	1	1	14.0	5.0	21.0	7.0	19.0	28.0	118.94197	9.8	1165.6313	64.75729	0.039647322	128.1235809326172	0	0	0	1	1	0	0	2	0	0	0	12	noise
commons-lang	2233.json	18	18	18	0.0	0.030349502339959145	6.441319988500912E-5	6	7	13	6	6	2.92	2	0	0	29.0	11.0	81.0	31.0	40.0	112.0	596.0559	40.863636	24357.012	1353.1674	0.1986853	89.56623840332031	0	0	0	1	1	0	0	4	3	0	0	84	noise
commons-lang	391.json	28	25	27	0.037037037037037035	0.0	4.826135519890871E-9	3	5	8	7	4	6.61	4	21	11	43.0	12.0	139.0	37.0	55.0	176.0	1017.5193	66.291664	67453.05	3747.3916	0.3391731	79.98680114746094	1	0	0	0	0	0	0	2	3	0	0	799	ugly
commons-lang	2330.json	15	15	15	0.0	0.057915445417165756	0.001090770841402549	4	3	7	4	4	2.72	1	1	1	29.0	11.0	59.0	30.0	40.0	89.0	473.65158	39.545456	18730.768	1040.5981	0.15788387	94.17513275146484	0	0	0	1	1	0	0	3	3	0	0	12	noise
commons-lang	847.json	4	4	4	0.0	0.057574376463890076	0.6255346600812679	0	0	0	1	1	2.0	0	1	1	14.0	5.0	20.0	6.0	19.0	26.0	110.44612	8.400001	927.7475	51.541527	0.036815375	123.8484878540039	0	0	0	1	0	0	0	1	0	0	0	0	good
commons-lang	1318.json	6	6	6	0.0	0.34512656927108765	0.4631370075963153	2	2	4	3	3	2.75	1	1	1	16.0	6.0	28.0	9.0	22.0	37.0	164.99898	12.0	1979.9878	109.99932	0.05499966	114.73261260986328	0	0	0	1	1	0	0	1	0	1	1	0	good
commons-lang	1198.json	3	3	3	0.0	0.8420180082321167	0.9452373474571263	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	11	noise
commons-lang	2898.json	3	3	3	0.0	0.5641464591026306	0.9149465044002436	0	0	0	1	1	1.89	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	0	good
commons-lang	2924.json	3	3	3	0.0	0.8663607835769653	0.8743329329664113	0	0	0	1	1	1.89	0	1	1	11.0	3.0	13.0	3.0	14.0	16.0	60.91768	5.5	335.04724	18.613735	0.020305892	131.60296630859375	0	0	0	1	0	0	0	0	0	0	0	287	ugly
commons-lang	1875.json	3	3	3	0.0	0.8308448791503906	0.8609587148577544	0	0	0	1	1	1.89	0	1	1	12.0	2.0	16.0	3.0	14.0	19.0	72.339745	9.0	651.0577	36.169872	0.024113249	130.70933532714844	0	0	0	1	0	0	0	1	0	0	0	6	bad
commons-lang	101.json	3	3	3	0.0	0.9421270489692688	0.967352312587159	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
commons-lang	462.json	34	28	28	0.07142857142857142	0.015795446932315826	6.8855754148517656E-9	7	7	14	7	7	3.77	3	11	5	39.0	19.0	129.0	53.0	58.0	182.0	1066.1526	54.394737	57993.09	3221.8384	0.3553842	79.15486907958984	0	0	0	1	0	0	0	3	5	2	1	1692	ugly
commons-lang	2954.json	51	35	43	0.0	3.053103864658624E-4	8.142560038945138E-9	3	4	7	8	8	3.76	2	8	7	39.0	18.0	164.0	54.0	57.0	218.0	1271.5701	58.5	74386.85	4132.603	0.42385668	71.05892181396484	0	0	0	1	1	0	0	4	5	3	1	879	ugly
commons-lang	454.json	16	14	14	0.14285714285714285	0.012265002354979515	1.2473477774491035E-4	1	4	5	5	5	2.73	4	10	2	21.0	13.0	75.0	32.0	34.0	107.0	544.3585	25.846155	14069.575	781.64307	0.18145284	94.33930969238281	0	0	0	1	0	0	0	2	0	0	0	974	ugly
commons-lang	796.json	3	3	3	0.0	0.7490929365158081	0.7162660267831599	0	0	0	1	1	1.89	0	2	2	13.0	3.0	17.0	4.0	16.0	21.0	84.0	8.666667	728.0	40.444443	0.028	129.93223571777344	0	0	0	1	1	0	0	1	0	0	0	0	good
