Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
cucumber-jvm	940.json	3	3	3	0.0	0.06658723205327988	0.6631408055814512	0	0	0	1	1	1.89	0	2	2	11.0	5.0	18.0	6.0	16.0	24.0	96.0	6.6000004	633.60004	35.2	0.032	129.2378692626953	1	0	0	0	0	0	0	1	0	0	0	68	noise
cucumber-jvm	8.json	2	2	2	0.0	0.7713577151298523	0.897936689824008	0	0	0	1	1	0.0	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	139.0139617919922	0	0	0	1	0	0	0	1	0	0	0	27	bad
cucumber-jvm	1068.json	16	16	16	0.0	0.0013918636832386255	1.1090101677947816E-6	3	3	6	5	5	3.12	2	11	8	33.0	14.0	90.0	34.0	47.0	124.0	688.769	40.07143	27599.959	1533.331	0.22958966	90.95255279541016	1	0	0	0	0	0	0	3	4	0	0	84	noise
cucumber-jvm	382.json	6	3	6	0.0	0.8292338252067566	0.9010090667247364	0	0	0	1	1	5.5	0	0	0	10.0	5.0	14.0	12.0	15.0	26.0	101.579155	12.0	1218.9498	67.71944	0.03385972	117.71513366699219	0	0	0	1	0	0	0	0	0	0	0	131	noise
cucumber-jvm	296.json	3	3	3	0.0	0.8476499319076538	0.9151106614805777	0	0	0	1	1	1.89	0	1	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	132.086669921875	0	0	0	1	0	0	0	0	0	0	0	0	good
cucumber-jvm	1032.json	7	7	7	0.0	0.035624969750642776	0.15770869334861068	0	0	0	2	2	3.02	1	1	1	19.0	7.0	35.0	10.0	26.0	45.0	211.51979	13.571429	2870.626	159.47922	0.070506595	111.17379760742188	1	0	0	0	0	0	0	2	0	0	0	204	noise
cucumber-jvm	613.json	6	6	6	0.0	0.06915432959794998	0.26267613823371105	0	0	0	2	2	2.75	1	3	3	19.0	7.0	28.0	9.0	26.0	37.0	173.91628	12.214286	2124.2632	118.01462	0.057972092	114.68891143798828	0	0	0	1	0	0	0	0	1	0	0	0	good
cucumber-jvm	1106.json	16	17	16	0.0	0.002327708760276437	1.4501265671397455E-7	2	2	4	3	3	4.41	2	11	8	35.0	10.0	114.0	21.0	45.0	135.0	741.4002	36.75	27246.457	1513.692	0.2471334	91.02965545654297	1	0	0	0	0	0	0	1	2	0	0	0	good
cucumber-jvm	1256.json	3	3	3	0.0	0.8714024424552917	0.9612640214151162	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
cucumber-jvm	69.json	3	3	3	0.0	0.2313121259212494	0.777047301914064	0	0	0	1	1	1.89	0	1	1	13.0	3.0	15.0	5.0	16.0	20.0	80.0	10.833333	866.6666	48.148148	0.026666667	130.18594360351562	0	1	0	0	0	0	0	2	0	0	0	0	good
cucumber-jvm	611.json	8	7	8	0.0	0.10228119045495987	0.037021040736125506	1	1	2	2	2	4.8	1	3	3	25.0	7.0	41.0	13.0	32.0	54.0	270.0	23.214285	6267.857	348.21426	0.09	107.74124908447266	1	0	0	0	0	0	0	1	1	0	0	0	good
cucumber-jvm	386.json	14	14	13	0.0	0.5773541927337646	0.17380602099690454	1	1	2	2	2	5.17	2	3	3	27.0	7.0	51.0	10.0	34.0	61.0	310.33524	19.285715	5985.037	332.50208	0.103445075	99.15202331542969	0	0	0	1	0	0	0	1	0	0	0	378	ugly
