Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
eclipseJdt	11972.json	13	13	13	0.0	0.28323444724082947	0.03934926570597075	3	3	6	4	4	4.92	1	4	2	20.0	7.0	53.0	12.0	27.0	65.0	309.0677	17.142857	5298.303	294.3502	0.10302256	98.71331024169922	0	0	0	1	0	0	0	1	1	0	0	0	good
eclipseJdt	1182.json	3	3	3	0.0	0.7039428949356079	0.7922770971571144	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	1	0	0	0	0	0	0	0	0	0	0	good
eclipseJdt	20958.json	22	21	21	0.047619047619047616	4.7131229075603187E-4	1.0916833977179188E-8	5	4	9	4	4	10.44	3	4	4	33.0	16.0	105.0	48.0	49.0	153.0	859.0506	49.5	42523.004	2362.3892	0.2863502	85.62843322753906	0	0	0	1	0	0	0	0	6	0	0	453	ugly
eclipseJdt	11749.json	14	13	13	0.07692307692307693	0.6135779023170471	0.09768667460300315	2	1	3	3	3	5.11	1	3	3	22.0	10.0	41.0	13.0	32.0	54.0	270.0	14.299999	3860.9998	214.49998	0.09	99.64602661132812	0	0	0	1	0	0	0	0	0	0	0	276	noise
eclipseJdt	801.json	2	2	2	0.0	0.15477505326271057	0.9118660081437617	0	0	0	1	1	0.0	0	0	0	7.0	1.0	8.0	1.0	8.0	9.0	27.0	3.5	94.5	5.25	0.009	142.4026641845703	0	0	0	1	0	0	0	0	0	0	0	32	noise
eclipseJdt	14173.json	12	11	11	0.0	0.0019054217264056206	3.514163696919509E-4	1	1	2	2	2	4.11	1	8	7	24.0	13.0	59.0	26.0	37.0	85.0	442.80356	24.0	10627.285	590.4047	0.14760119	100.00984191894531	0	0	0	1	0	0	0	1	1	0	0	4265	ugly
eclipseJdt	25565.json	7	7	7	0.0	0.7001058459281921	0.19817493498997074	1	2	3	2	2	5.11	1	0	0	19.0	7.0	27.0	9.0	26.0	36.0	169.21584	12.214286	2066.8506	114.825035	0.05640528	112.33414459228516	0	1	0	0	0	0	0	0	1	0	0	0	good
eclipseJdt	17951.json	7	7	7	0.0	0.043007683008909225	0.41707611252483595	1	1	2	2	2	6.05	1	1	1	16.0	2.0	32.0	5.0	18.0	37.0	154.28723	20.0	3085.7446	171.43025	0.051429078	112.81441497802734	0	0	0	1	0	0	0	0	0	0	0	39	noise
eclipseJdt	4804.json	2	2	2	0.0	0.9170687794685364	0.8957303642750506	0	0	0	1	1	0.0	0	0	0	8.0	2.0	9.0	2.0	10.0	11.0	36.541206	4.0	146.16483	8.120268	0.012180402	140.82913208007812	0	0	0	1	0	0	0	1	0	0	0	39	noise
eclipseJdt	17104.json	6	6	6	0.16666666666666666	0.031150665134191513	0.059619008954446905	0	0	0	1	1	3.77	0	3	3	19.0	8.0	31.0	12.0	27.0	43.0	204.46016	14.25	2913.5574	161.8643	0.06815339	114.07755279541016	0	0	0	1	0	0	0	2	1	0	0	456	ugly
eclipseJdt	15992.json	3	3	3	0.0	0.9150625467300415	0.7311288193216613	0	0	0	1	1	3.77	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	1	1	0	0	1	0	0	0	0	good
eclipseJdt	26984.json	3	3	3	0.0	0.7952362895011902	0.8312748696191109	0	0	0	1	1	3.77	0	1	1	10.0	3.0	12.0	3.0	13.0	15.0	55.506596	5.0	277.533	15.418499	0.018502198	132.086669921875	0	1	0	0	0	0	0	0	0	0	0	0	good
eclipseJdt	12156.json	55	40	48	0.20833333333333334	0.0	7.431920194212232E-10	8	13	21	12	12	6.49	2	2	1	33.0	19.0	164.0	74.0	52.0	238.0	1356.7047	64.26315	87186.125	4843.674	0.4522349	68.01991271972656	0	0	0	1	1	0	0	3	7	8	1	847	ugly
eclipseJdt	1781.json	2	2	2	0.0	0.5585306286811829	0.8910111462458952	0	0	0	1	1	0.0	0	0	0	8.0	2.0	9.0	2.0	10.0	11.0	36.541206	4.0	146.16483	8.120268	0.012180402	140.82913208007812	0	0	0	1	0	0	0	1	0	0	0	34	noise
eclipseJdt	6035.json	3	3	3	0.0	0.23304322361946106	0.9019048480873376	0	0	0	1	1	3.77	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	0	0	0	0	0	0	0	0	0	0	0	0	good
eclipseJdt	1139.json	13	13	12	0.0	0.08662016689777374	1.0205149849114302E-4	8	6	14	6	6	5.77	1	0	0	22.0	16.0	63.0	28.0	38.0	91.0	477.56143	19.25	9193.058	510.72543	0.15918714	97.28730773925781	0	1	0	0	0	0	0	1	4	0	0	31	noise
eclipseJdt	12585.json	29	28	27	0.14814814814814814	0.004454656969755888	1.100266167537002E-9	7	4	11	6	6	13.84	4	4	4	43.0	18.0	120.0	51.0	61.0	171.0	1014.1561	60.916664	61779.008	3432.167	0.33805203	80.23401641845703	1	0	0	0	1	0	0	2	3	1	1	118	noise
eclipseJdt	25352.json	4	4	4	0.0	0.707883358001709	0.6909923753025855	0	0	0	1	1	4.0	0	2	2	13.0	2.0	17.0	3.0	15.0	20.0	78.13781	9.75	761.8436	42.324646	0.026045937	125.64796447753906	0	1	0	0	0	0	0	1	0	0	0	239	noise
eclipseJdt	20544.json	53	49	49	0.20408163265306123	0.0	1.3112945772766456E-16	6	12	18	13	13	7.72	4	21	13	51.0	23.0	213.0	74.0	74.0	287.0	1782.1132	82.04348	146210.77	8122.8203	0.5940377	66.03762817382812	1	0	0	0	1	0	0	1	8	1	1	210	noise
eclipseJdt	27572.json	3	3	3	0.0	5.169035284779966E-4	0.45022196486890353	0	0	0	1	1	3.77	0	1	1	11.0	4.0	18.0	8.0	15.0	26.0	101.579155	11.0	1117.3707	62.076153	0.03385972	128.94412231445312	0	0	0	1	0	0	0	2	0	0	0	0	good
eclipseJdt	1421.json	6	6	6	0.0	0.006803331431001425	0.008083596890354594	2	1	3	2	2	5.5	1	4	4	25.0	8.0	41.0	12.0	33.0	53.0	267.35287	18.75	5012.866	278.49255	0.089117624	112.45293426513672	0	0	0	1	0	0	0	5	1	0	0	1576	ugly
eclipseJdt	18353.json	7	7	7	0.0	0.002509230049327016	0.3589803301385663	0	0	0	1	1	3.61	0	5	2	13.0	6.0	30.0	11.0	19.0	41.0	174.16504	11.916667	2075.4668	115.30371	0.058055013	112.41423797607422	0	1	0	0	0	0	0	1	0	0	0	0	good
eclipseJdt	711.json	8	8	8	0.0	0.012833603657782078	0.00906633025810991	3	2	5	3	3	5.66	1	1	1	20.0	9.0	42.0	19.0	29.0	61.0	296.33685	21.11111	6256.0	347.55554	0.09877895	107.02725982666016	1	0	0	0	0	0	0	3	2	0	0	0	good
eclipseJdt	16864.json	32	27	28	0.0	0.0	1.9123318762971477E-12	10	10	20	8	8	6.78	3	19	14	44.0	20.0	158.0	50.0	64.0	208.0	1248.0	55.0	68640.0	3813.3333	0.416	78.10594177246094	0	1	0	0	0	0	0	2	3	1	1	13	bad
eclipseJdt	20840.json	5	5	5	0.0	0.0946776270866394	0.24279614738694644	0	0	0	1	1	3.92	0	0	0	16.0	5.0	27.0	8.0	21.0	35.0	153.73111	12.8	1967.7582	109.3199	0.051243704	118.5140380859375	0	0	0	1	0	0	0	0	1	0	0	0	good
eclipseJdt	20489.json	3	3	3	0.0	0.7698116302490234	0.8952893105639552	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
eclipseJdt	1170.json	16	17	16	0.0	0.002073531271889806	1.4553458813637294E-4	3	3	6	5	5	9.17	3	4	4	26.0	9.0	79.0	20.0	35.0	99.0	507.799	28.88889	14669.749	814.9861	0.16926634	92.5376205444336	1	0	0	0	0	0	0	0	3	1	1	309	ugly
eclipseJdt	21196.json	3	3	3	0.0	0.14933310449123383	0.8795496509875413	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
eclipseJdt	21947.json	3	3	3	0.0	0.2576477825641632	0.8045327291883073	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	2.0	14.0	15.0	57.110325	6.0	342.66196	19.036776	0.019036775	131.9385528564453	0	0	0	1	0	0	1	0	0	0	0	0	good
eclipseJdt	17159.json	12	7	12	0.0	0.0	1.8881585998680998E-4	1	1	2	2	2	9.31	0	7	6	24.0	13.0	65.0	23.0	37.0	88.0	458.43192	21.230768	9732.861	540.71454	0.15281063	98.41989135742188	1	0	0	0	0	0	0	1	0	0	0	0	good
eclipseJdt	17014.json	3	3	3	0.0	4.055794852320105E-4	0.38081854001811716	0	0	0	1	1	3.77	0	2	2	15.0	4.0	20.0	5.0	19.0	25.0	106.19819	9.375	995.60803	55.311558	0.035399396	128.712890625	1	0	0	0	0	0	0	1	0	0	0	0	good
eclipseJdt	18575.json	11	11	11	0.0	0.0015415400266647339	8.573153733919708E-4	2	4	6	4	4	5.73	3	4	4	22.0	7.0	60.0	21.0	29.0	81.0	393.4965	33.0	12985.384	721.4102	0.13116549	100.1637191772461	1	0	0	0	1	0	0	4	0	0	0	217	noise
eclipseJdt	1359.json	5	5	5	0.0	0.7283725738525391	0.39546554407471624	0	0	0	1	1	3.92	0	1	1	14.0	3.0	22.0	4.0	17.0	26.0	106.27403	9.333334	991.89105	55.105057	0.035424676	120.43379974365234	0	1	0	0	0	0	0	0	0	0	0	234	noise
eclipseJdt	4868.json	12	10	10	0.1	0.2737441956996918	0.21173816166008189	2	2	4	3	3	5.6	1	5	5	19.0	4.0	42.0	10.0	23.0	52.0	235.22522	23.75	5586.599	310.3666	0.078408405	104.61329650878906	0	0	0	1	0	0	0	1	0	0	0	237	noise
eclipseJdt	14031.json	8	7	7	0.14285714285714285	0.21080681681632996	0.18300940119395204	1	1	2	2	2	4.8	1	1	1	20.0	3.0	35.0	8.0	23.0	43.0	194.51317	26.666668	5187.018	288.16766	0.064837724	111.60965728759766	0	0	0	1	0	0	0	1	0	0	0	189	noise
eclipseJdt	6465.json	7	6	6	0.16666666666666666	0.6357710957527161	0.6630321767741364	1	1	2	2	2	6.05	1	1	1	15.0	3.0	26.0	3.0	18.0	29.0	120.92783	7.5	906.95874	50.386597	0.040309276	116.5784912109375	0	0	0	1	0	0	0	0	0	0	0	22	bad
eclipseJdt	20100.json	6	3	6	0.0	0.04096769914031029	0.11140437028177805	0	0	0	1	1	7.18	0	2	2	22.0	6.0	30.0	8.0	28.0	38.0	182.67949	14.666667	2679.2993	148.84996	0.060893163	114.66328430175781	0	0	0	1	0	0	0	3	0	0	0	143	noise
eclipseJdt	18560.json	11	10	11	0.0	0.04285783693194389	1.2922787922908005E-4	2	2	4	3	3	7.05	1	4	3	27.0	8.0	66.0	23.0	35.0	89.0	456.5062	38.8125	17718.146	984.3415	0.15216874	99.62136840820312	0	0	0	1	0	0	0	1	3	1	1	0	good
eclipseJdt	17087.json	3	3	3	0.0	0.8507426977157593	0.8827770375172314	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	1	0	0	0	0	0	0	0	0	0	0	good
eclipseJdt	14974.json	3	3	3	0.0	0.7516452074050903	0.8245800808368725	0	0	0	1	1	3.77	0	1	1	11.0	2.0	13.0	3.0	13.0	16.0	59.207035	8.25	488.45804	27.136559	0.019735679	131.75106811523438	0	0	0	0	0	0	0	1	0	0	0	0	good
eclipseJdt	11241.json	12	9	10	0.1	0.10318174213171005	6.977096020214456E-4	1	2	3	3	3	6.65	0	1	1	24.0	10.0	57.0	24.0	34.0	81.0	412.0845	28.800001	11868.034	659.3352	0.1373615	101.6977310180664	1	0	0	0	0	0	0	0	3	1	1	20	bad
eclipseJdt	17183.json	5	5	5	0.0	0.665549099445343	0.7293690216017995	0	0	0	1	1	3.92	0	2	2	13.0	2.0	23.0	4.0	15.0	27.0	105.486046	13.0	1371.3186	76.184364	0.035162017	120.47249603271484	0	0	0	1	0	0	0	0	1	0	0	0	good
eclipseJdt	18320.json	16	15	16	0.0	0.05092218145728111	0.0034166686120842994	2	3	5	4	4	8.59	3	4	3	28.0	9.0	62.0	17.0	37.0	79.0	411.54684	26.444443	10883.127	604.61816	0.13718228	93.86046600341797	0	0	0	1	0	0	0	1	2	1	1	213	noise
