Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
flink	1182.json	3	3	3	0.0	0.43764975666999817	0.7871943205601777	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	18	bad
flink	42060.json	4	4	4	0.0	0.0015335808275267482	0.03608907294822954	0	0	0	1	1	4.0	0	1	1	18.0	6.0	31.0	12.0	24.0	43.0	197.15338	18.0	3548.7607	197.15338	0.065717794	120.8353271484375	0	0	0	1	0	0	0	2	1	0	0	188	noise
flink	14173.json	3	3	3	0.0	0.7143481969833374	0.8281672096869498	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
flink	17951.json	4	4	4	0.0	0.1328308880329132	0.31930208969758084	0	0	0	1	1	4.0	0	2	1	14.0	4.0	24.0	6.0	18.0	30.0	125.097755	10.5	1313.5265	72.973694	0.041699253	123.20073699951172	0	0	0	1	0	0	0	1	0	0	0	38	noise
flink	1139.json	3	3	3	0.0	0.0034975907765328884	0.8649374573064582	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
flink	1421.json	5	5	5	0.0	9.835748933255672E-4	0.01053808988008482	0	0	0	1	1	3.92	0	0	0	18.0	7.0	41.0	11.0	25.0	52.0	241.48051	14.142857	3415.2244	189.73468	0.0804935	116.16580200195312	0	0	0	1	0	0	0	0	1	0	0	91	noise
flink	36441.json	10	8	8	0.125	0.08819441497325897	0.0781782264054107	1	1	2	2	2	6.29	1	4	3	18.0	4.0	48.0	8.0	22.0	56.0	249.72818	18.0	4495.1074	249.7282	0.08324273	108.14710998535156	0	0	0	1	0	0	0	0	0	0	0	0	good
flink	20489.json	3	3	3	0.0	0.7212510108947754	0.9330217155764822	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	1	0	0	0	0	0	0	0	0	0	9	bad
flink	1170.json	25	15	16	0.375	0.03684641048312187	9.969654912439776E-4	1	2	3	4	1	4.93	2	3	3	35.0	12.0	84.0	16.0	47.0	100.0	555.45886	23.333334	12960.707	720.0393	0.18515295	92.30113220214844	1	0	0	0	0	0	0	0	2	0	0	14765	ugly
flink	36821.json	3	3	3	0.0	0.4411501884460449	0.8725330572527809	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	19	bad
flink	21947.json	3	3	3	0.0	0.5231271982192993	0.604908310423144	0	0	0	1	1	3.77	0	0	0	12.0	4.0	17.0	5.0	16.0	22.0	88.0	7.5	660.0	36.666668	0.029333333	129.69032287597656	0	0	0	1	0	0	0	0	0	0	0	31	noise
flink	37029.json	3	3	3	0.0	0.7425670623779297	0.7595678930560609	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	73	noise
flink	1359.json	18	13	13	0.15384615384615385	0.5704970955848694	0.016699239334476788	1	1	2	3	3	5.99	2	5	5	27.0	10.0	57.0	18.0	37.0	75.0	390.709	24.3	9494.229	527.45715	0.13023634	97.72441101074219	0	0	0	1	0	0	0	0	2	0	0	1576	ugly
flink	41947.json	8	5	6	0.0	0.003642106195911765	1.6807385300972476E-4	0	0	0	1	1	8.0	0	5	5	25.0	9.0	60.0	19.0	34.0	79.0	401.90958	26.38889	10605.947	589.2193	0.13396986	110.56311798095703	0	0	0	1	0	0	0	1	1	0	0	2418	ugly
flink	8631.json	3	3	3	0.0	0.33551713824272156	0.6706368643928442	0	0	0	1	1	0.94	0	0	0	14.0	3.0	15.0	3.0	17.0	18.0	73.57433	7.0	515.0203	28.61224	0.024524778	130.621337890625	0	0	0	1	1	0	0	0	0	0	0	40	noise
flink	36804.json	3	3	3	0.0	0.40661323070526123	0.8381477227720697	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
flink	22883.json	9	9	9	0.0	0.0	7.84585850128252E-6	1	1	2	2	2	3.33	0	0	0	20.0	11.0	74.0	32.0	31.0	106.0	525.14484	29.09091	15276.941	848.719	0.17504828	102.37385559082031	1	0	0	0	1	0	0	1	0	13	1	20	bad
flink	15547.json	3	3	3	0.0	0.47097474336624146	0.7129213930862899	0	0	0	1	1	3.77	0	1	1	13.0	2.0	16.0	2.0	15.0	18.0	70.32403	6.5	457.10617	25.394787	0.023441343	130.85629272460938	0	0	0	1	0	0	0	0	0	0	0	0	good
flink	25937.json	3	3	3	0.0	0.3539184331893921	0.88811581588048	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	5	bad
flink	18128.json	3	3	3	0.0	0.8887816667556763	0.8472164013627361	0	0	0	1	1	3.77	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	0	0	0	1	1	0	1	0	0	0	0	8	bad
flink	1058.json	3	3	3	0.0	0.14305379986763	0.8909063590554142	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	1	bad
flink	21707.json	3	3	3	0.0	0.6011539697647095	0.6094733338833342	0	0	0	1	1	3.77	0	2	2	13.0	3.0	17.0	4.0	16.0	21.0	84.0	8.666667	728.0	40.444443	0.028	129.93223571777344	0	0	0	1	0	0	0	1	0	0	0	0	good
flink	18776.json	3	3	3	0.0	7.021110504865646E-4	0.26133321981738805	0	0	0	1	1	3.77	0	1	1	15.0	5.0	21.0	7.0	20.0	28.0	121.013985	10.5	1270.6469	70.59149	0.040337995	128.0337677001953	0	0	0	1	0	0	0	2	0	0	0	26	bad
flink	10574.json	3	3	3	0.0	0.3586718738079071	0.637286626034417	0	0	0	1	1	3.77	0	1	1	14.0	3.0	17.0	4.0	17.0	21.0	85.83672	9.333334	801.1428	44.507935	0.028612241	129.81976318359375	0	0	0	1	0	0	0	1	0	0	0	0	good
flink	39934.json	3	3	3	0.0	0.9306550025939941	0.9032974227184974	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	78	noise
flink	25943.json	3	3	3	0.0	0.7075097560882568	0.8947319339403593	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	1	0	0	0	0	0	0	0	0	0	7	bad
flink	26529.json	7	6	6	0.0	0.2680896818637848	0.04793330811944707	2	2	4	2	2	5.5	1	1	1	23.0	7.0	38.0	9.0	30.0	47.0	230.62386	14.785714	3409.9385	189.44102	0.07687462	113.22139739990234	0	0	0	1	0	0	0	2	0	0	0	160	noise
flink	11078.json	3	3	3	0.0	0.20002344250679016	0.6743692252951505	0	0	0	1	1	3.77	0	1	1	13.0	3.0	16.0	3.0	16.0	19.0	76.0	6.5	494.0	27.444445	0.025333334	130.45266723632812	0	0	0	1	0	0	0	0	0	0	0	0	good
flink	36818.json	3	3	3	0.0	0.7356423139572144	0.7658896880976098	0	0	0	1	1	3.77	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	1	0	0	0	0	0	0	0	0	good
flink	36461.json	3	3	3	0.0	0.0297712292522192	0.842391553334099	0	0	0	1	1	3.77	0	1	1	12.0	1.0	14.0	1.0	13.0	15.0	55.506596	6.0	333.03958	18.5022	0.018502198	132.086669921875	0	1	0	0	0	0	0	0	0	0	0	0	good
flink	19702.json	40	27	28	0.17857142857142858	0.011374926194548607	1.8516388460356381E-7	6	5	11	7	7	7.4	3	12	9	42.0	17.0	128.0	42.0	59.0	170.0	1000.0494	51.88235	51884.914	2882.495	0.3333498	79.48770141601562	0	1	0	0	0	0	0	4	6	0	0	1693	ugly
flink	18395.json	4	3	3	0.0	0.9828375577926636	0.7936267895480486	0	0	0	1	1	3.77	0	0	0	14.0	2.0	15.0	2.0	16.0	17.0	68.0	7.0	476.0	26.444445	0.022666667	131.03103637695312	0	0	0	1	0	0	1	0	0	0	0	0	good
flink	21874.json	3	3	3	0.0	0.3428625166416168	0.7361417254741286	0	0	0	1	1	3.77	0	0	0	11.0	3.0	12.0	4.0	14.0	16.0	60.91768	7.3333335	446.72964	24.818314	0.020305892	131.60296630859375	0	0	0	1	0	0	0	1	0	0	0	20	bad
flink	19647.json	3	3	3	0.0	0.08416686952114105	0.8787284411956245	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
flink	22755.json	3	3	3	0.0	0.12456168234348297	0.5668171807539124	0	0	0	1	1	3.77	0	1	1	13.0	5.0	16.0	6.0	18.0	22.0	91.73836	7.8	715.5592	39.75329	0.030579453	129.47398376464844	0	0	0	1	1	0	0	1	0	0	0	6	bad
flink	1706.json	5	4	5	0.0	0.18004120886325836	0.40503090169353345	0	0	0	1	1	3.92	0	2	2	16.0	4.0	25.0	5.0	20.0	30.0	129.65784	10.0	1296.5784	72.032135	0.04321928	119.39962768554688	0	0	0	1	0	0	0	0	1	0	0	90	noise
flink	2893.json	7	6	6	0.0	0.5695491433143616	0.2260137528932749	1	1	2	2	2	5.5	1	3	3	19.0	5.0	30.0	8.0	24.0	38.0	174.22858	15.2	2648.2744	147.12636	0.05807619	114.67958068847656	0	0	0	1	0	0	0	1	1	0	0	668	ugly
