Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
guava	11972.json	3	4	3	0.0	0.0010375253623351455	0.1660051833921662	0	0	0	1	1	0.94	0	2	2	21.0	3.0	27.0	4.0	24.0	31.0	142.13383	14.0	1989.8737	110.54854	0.047377944	127.19728088378906	0	0	0	1	0	0	0	0	0	0	0	0	good
guava	11749.json	7	7	7	0.0	0.40915247797966003	0.6198460865371693	1	1	2	2	2	1.51	1	1	1	17.0	3.0	31.0	5.0	20.0	36.0	155.58942	14.166666	2204.1833	122.45463	0.051863138	112.77070617675781	0	0	0	0	0	0	0	1	0	0	0	3	bad
guava	14173.json	18	18	18	0.05555555555555555	0.0851881355047226	4.9222581804341104E-5	5	4	9	5	5	2.39	3	5	4	31.0	14.0	82.0	26.0	45.0	108.0	593.1202	28.785713	17073.387	948.5215	0.19770673	89.82191467285156	0	0	0	1	0	0	0	1	2	0	0	506	ugly
guava	17951.json	3	3	3	0.0	0.9107882380485535	0.8461308706413239	0	0	0	1	1	0.94	0	0	0	12.0	3.0	13.0	4.0	15.0	17.0	66.41714	8.0	531.3371	29.518728	0.022139046	131.1535186767578	0	0	0	1	1	0	0	1	0	0	0	13	noise
guava	17104.json	3	3	3	0.0	0.54287189245224	0.902571330271996	0	0	0	1	1	0.94	0	1	1	12.0	4.0	14.0	4.0	16.0	18.0	72.0	6.0	432.0	24.0	0.024	130.7338104248047	0	0	0	1	0	0	0	0	0	0	0	6	bad
guava	12156.json	3	3	3	0.0	0.22416895627975464	0.5018631861002851	0	0	0	1	1	0.94	0	3	3	14.0	4.0	21.0	6.0	18.0	27.0	112.58798	10.5	1182.1738	65.67632	0.037529327	128.4090576171875	0	0	0	1	0	0	0	1	0	0	0	0	good
guava	12585.json	10	10	10	0.0	0.0782364159822464	0.15911594790504174	2	2	4	3	3	1.83	2	3	3	17.0	7.0	40.0	16.0	24.0	56.0	256.7579	19.428572	4988.4395	277.13553	0.08558597	104.15782928466797	0	0	0	1	0	0	0	0	2	0	0	249	ugly
guava	11122.json	3	3	3	0.0	0.7707116007804871	0.7271100883033601	0	0	0	1	1	0.94	0	0	0	10.0	5.0	14.0	9.0	15.0	23.0	89.85848	9.0	808.7263	44.92924	0.029952828	129.58164978027344	0	0	0	1	0	0	0	0	0	0	0	33	noise
guava	18353.json	8	9	8	0.0	0.02283352054655552	4.7160850996394953E-4	2	1	3	2	2	1.2	1	7	3	23.0	12.0	55.0	22.0	35.0	77.0	394.95477	21.083334	8326.964	462.6091	0.1316516	105.76343536376953	0	0	0	1	0	0	0	0	2	0	0	0	good
guava	13558.json	3	4	3	0.0	0.04226650670170784	0.3960236880676346	0	0	0	1	1	0.94	0	1	1	15.0	5.0	20.0	5.0	20.0	25.0	108.0482	7.5	810.3615	45.020084	0.03601607	128.62307739257812	0	0	0	1	0	0	0	0	0	0	0	35	noise
