Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
hazelcast	3371.json	3	3	3	0.0	0.6916416883468628	0.7845547638414192	0	0	0	1	1	1.89	0	0	0	12.0	3.0	16.0	3.0	15.0	19.0	74.23092	6.0	445.3855	24.743639	0.024743639	130.57513427734375	0	0	0	1	0	0	1	0	0	0	0	0	good
hazelcast	23415.json	7	7	7	0.0	0.47437891364097595	0.6384358141860441	1	1	2	2	2	2.56	1	2	2	17.0	4.0	27.0	8.0	21.0	35.0	153.73111	17.0	2613.429	145.19049	0.051243704	112.83319091796875	0	0	0	1	0	0	0	1	1	0	0	230	noise
hazelcast	20958.json	10	10	10	0.0	0.15170225501060486	0.005437927080228849	2	1	3	2	2	2.15	1	4	3	24.0	8.0	54.0	18.0	32.0	72.0	360.0	27.0	9720.0	540.0	0.12	102.63037872314453	0	0	0	1	0	0	0	1	4	0	0	661	ugly
hazelcast	17951.json	3	3	3	0.0	0.15353521704673767	0.7500343679813781	0	0	0	1	1	1.89	0	2	2	12.0	2.0	16.0	2.0	14.0	18.0	68.53239	6.0	411.19434	22.84413	0.022844128	130.99049377441406	0	0	0	1	0	0	1	0	0	0	0	21	bad
hazelcast	4804.json	3	3	3	0.0	0.7696537971496582	0.8660261915167367	0	0	0	1	1	1.89	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
hazelcast	32169.json	35	28	28	0.0	0.0012225068639963865	2.924822820204792E-10	5	6	11	6	6	3.48	2	16	14	44.0	23.0	134.0	58.0	67.0	192.0	1164.6891	55.478264	64614.93	3589.7183	0.3882297	78.92520141601562	0	0	0	1	0	0	0	3	5	0	0	869	ugly
hazelcast	28601.json	11	7	7	0.0	0.9651684165000916	0.923734287663678	0	0	0	1	1	1.81	0	4	4	19.0	3.0	28.0	3.0	22.0	31.0	138.24239	9.5	1313.3026	72.96126	0.046080794	113.61540985107422	1	0	0	0	0	0	0	0	0	0	0	242	noise
hazelcast	31032.json	3	3	3	0.0	0.7712420225143433	0.8645041451811334	0	0	0	1	1	1.89	0	0	0	13.0	2.0	16.0	2.0	15.0	18.0	70.32403	6.5	457.10617	25.394787	0.023441343	130.85629272460938	0	0	0	1	0	0	0	0	0	0	0	0	good
hazelcast	30045.json	3	3	3	0.0	0.013267717324197292	0.678877415582531	0	0	0	1	1	1.89	0	0	0	14.0	4.0	20.0	6.0	18.0	26.0	108.41805	10.5	1138.3895	63.243862	0.03613935	128.60531616210938	0	0	0	1	0	0	0	2	0	0	0	75	noise
hazelcast	11122.json	61	52	55	0.03636363636363636	0.0	8.015558665283404E-26	13	12	25	12	12	4.86	4	35	30	67.0	29.0	297.0	92.0	96.0	389.0	2561.5503	106.27586	272230.97	15123.942	0.8538501	62.50968933105469	0	0	0	1	0	0	0	0	13	0	0	7914	ugly
