Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
hibernate-search	1182.json	4	4	4	0.0	0.28509795665740967	0.3188054531952279	0	0	0	1	1	4.0	0	2	2	19.0	4.0	25.0	5.0	23.0	30.0	135.70686	11.875	1611.519	89.52884	0.045235623	122.7774429321289	0	0	0	1	0	0	0	1	1	0	0	677	ugly
hibernate-search	2809.json	4	4	4	0.0	0.4677131474018097	0.570667849091931	0	0	0	1	1	4.0	0	1	1	14.0	5.0	17.0	6.0	19.0	23.0	97.70234	8.400001	820.6997	45.59443	0.032567445	124.48601531982422	0	0	0	1	0	0	0	1	0	0	0	11	bad
hibernate-search	2838.json	3	3	3	0.0	0.03664866089820862	0.18755827206993225	0	0	0	1	1	3.77	0	0	0	17.0	5.0	23.0	7.0	22.0	30.0	133.78294	11.9	1592.017	88.44539	0.044594314	127.51214599609375	0	0	0	1	0	0	0	2	0	0	0	37	noise
hibernate-search	711.json	3	3	3	0.0	0.4773508906364441	0.8324909705527145	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	4.0	13.0	16.0	59.207035	11.0	651.2774	36.18208	0.019735679	131.75106811523438	0	0	0	0	0	0	0	1	0	0	0	54	noise
hibernate-search	1359.json	3	3	3	0.0	0.180308535695076	0.8501970976274281	0	0	0	1	1	3.77	0	1	1	9.0	1.0	11.0	1.0	10.0	12.0	39.863136	4.5	179.38411	9.965784	0.013287712	133.80813598632812	0	0	0	1	0	0	0	0	0	0	0	131	noise
hibernate-search	6465.json	3	3	3	0.0	0.6809645295143127	0.875491863134017	0	0	0	1	1	3.77	0	1	1	10.0	2.0	12.0	3.0	12.0	15.0	53.77444	7.5	403.30832	22.406017	0.017924814	132.25152587890625	0	0	0	1	0	0	0	1	0	0	0	0	good
hibernate-search	6633.json	3	3	3	0.0	0.6949987411499023	0.7259293828409338	0	0	0	1	1	3.77	0	0	0	12.0	4.0	13.0	4.0	16.0	17.0	68.0	6.0	408.0	22.666666	0.022666667	131.03103637695312	0	0	0	1	0	0	0	2	0	0	0	97	noise
hibernate-search	2413.json	3	3	3	0.0	0.9558959603309631	0.9120925903683024	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
hibernate-search	1589.json	3	3	3	0.0	0.7973781824111938	0.8854060990350318	0	0	0	1	1	3.77	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	5	bad
hibernate-search	1058.json	8	7	7	0.0	0.019231442362070084	0.003556871392352395	0	0	0	2	2	5.11	1	5	5	27.0	6.0	53.0	11.0	33.0	64.0	322.84122	24.75	7990.3203	443.90668	0.10761374	108.97502136230469	1	0	0	0	0	0	0	1	2	0	0	62	noise
