Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
javaparser	1182.json	8	8	8	0.0	7.794052362442017E-4	0.0013767082241213987	1	1	2	2	2	2.4	1	10	7	24.0	4.0	62.0	15.0	28.0	77.0	370.16632	45.0	16657.484	925.4158	0.123388775	106.10049438476562	0	0	0	1	0	0	0	2	0	0	0	552	ugly
javaparser	1170.json	5	5	5	0.0	0.001693052239716053	0.03295365339980712	0	0	0	1	1	1.96	0	6	5	20.0	4.0	40.0	11.0	24.0	51.0	233.83308	27.5	6430.4097	357.245	0.07794436	116.33314514160156	0	0	0	1	0	0	0	2	0	0	0	244	noise
javaparser	2100.json	17	13	13	0.0	0.18825599551200867	0.006965483833983542	9	3	12	4	4	2.46	1	9	4	21.0	7.0	70.0	19.0	28.0	89.0	427.85458	28.499998	12193.8545	677.43634	0.1426182	97.02214813232422	0	0	0	1	0	0	0	2	1	0	0	172	noise
javaparser	2080.json	9	7	7	0.0	0.7528141736984253	0.190405091134469	3	1	4	2	2	2.56	1	3	2	19.0	7.0	36.0	11.0	26.0	47.0	220.92067	14.928571	3298.0298	183.22388	0.07364022	110.94767761230469	0	0	0	1	0	0	0	2	1	0	0	92	noise
javaparser	1058.json	9	5	8	0.0	0.005590875633060932	0.0014541421727879912	0	0	0	1	1	8.72	0	9	8	25.0	5.0	56.0	16.0	30.0	72.0	353.2961	40.0	14131.845	785.1025	0.11776537	106.57305145263672	0	0	0	1	0	0	0	2	2	0	0	567	ugly
javaparser	3090.json	3	3	3	0.0	0.3099808096885681	0.8774999110594265	0	0	0	1	1	1.89	0	0	0	11.0	2.0	14.0	2.0	13.0	16.0	59.207035	5.5	325.6387	18.09104	0.019735679	131.75106811523438	0	0	0	1	0	0	1	0	0	0	0	146	noise
javaparser	2743.json	3	3	3	0.0	1.059714995790273E-4	0.2828839427919332	0	0	0	1	1	1.89	0	1	1	15.0	5.0	22.0	11.0	20.0	33.0	142.62363	16.5	2353.2898	130.73833	0.04754121	127.17938995361328	0	0	0	1	0	0	0	2	0	0	0	0	good
javaparser	1318.json	12	12	12	0.0	0.015760743990540504	0.0115928068978784	1	1	2	4	4	3.32	2	7	4	22.0	8.0	58.0	17.0	30.0	75.0	368.01678	23.375	8602.393	477.9107	0.12267226	99.10224151611328	0	0	0	1	0	0	0	2	2	0	0	463	ugly
javaparser	1198.json	12	12	12	0.0	6.629833369515836E-4	4.131266667108294E-6	3	2	5	3	3	3.32	2	12	10	36.0	7.0	85.0	25.0	43.0	110.0	596.8891	64.28571	38371.44	2131.7468	0.19896303	96.81751251220703	0	0	0	1	0	0	0	2	2	0	0	538	ugly
javaparser	3301.json	3	3	3	0.0	0.6827170252799988	0.8669391088856276	0	0	0	1	1	1.89	0	2	2	12.0	1.0	16.0	1.0	13.0	17.0	62.907475	6.0	377.44485	20.969158	0.020969158	131.43582153320312	0	0	0	1	0	0	0	0	0	0	0	22	bad
javaparser	3462.json	3	3	3	0.0	0.8428696990013123	0.9624740589195816	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	36	bad
javaparser	462.json	7	7	7	0.0	0.0020335055887699127	0.018047521781674188	0	0	0	1	1	1.81	0	8	5	18.0	6.0	46.0	15.0	24.0	61.0	279.6827	22.5	6292.861	349.6034	0.09322757	109.95124816894531	0	0	0	1	0	0	0	2	0	0	0	114	noise
javaparser	2954.json	3	3	3	0.0	0.9408955574035645	0.965106288670043	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
javaparser	4174.json	3	3	3	0.0	0.005118012893944979	0.4922307735849459	0	0	0	1	1	1.89	0	1	1	15.0	4.0	20.0	8.0	19.0	28.0	118.94197	15.0	1784.1295	99.11831	0.039647322	128.1235809326172	0	0	0	1	0	0	0	2	0	0	0	0	good
javaparser	1449.json	7	7	7	0.0	0.14201995730400085	0.4280098240165738	1	1	2	3	3	4.12	2	3	2	19.0	5.0	33.0	9.0	24.0	42.0	192.56842	17.1	3292.9202	182.94	0.06418947	111.4319076538086	0	0	0	1	0	0	0	2	1	0	0	129	noise
javaparser	488.json	5	5	5	0.0	0.022532228380441666	0.1678938530121799	0	0	0	1	1	1.96	0	5	4	17.0	6.0	31.0	10.0	23.0	41.0	185.46603	14.166666	2627.4353	145.96863	0.061822012	117.53816986083984	0	0	0	1	0	0	0	2	0	0	0	98	noise
javaparser	541.json	7	7	7	0.0	0.8405223488807678	0.9287530711820216	1	1	2	2	2	3.02	1	2	2	15.0	5.0	23.0	7.0	20.0	30.0	129.65784	10.5	1361.4072	75.633736	0.04321928	113.71878051757812	0	0	0	1	0	0	0	1	0	0	0	90	noise
javaparser	1068.json	7	6	6	0.0	0.6216192245483398	0.12455153568452124	0	0	0	1	1	3.77	0	3	3	19.0	5.0	33.0	10.0	24.0	43.0	197.15338	19.0	3745.9143	208.10635	0.065717794	114.26679229736328	0	0	0	1	0	0	0	2	2	0	0	343	noise
javaparser	3068.json	3	3	3	0.0	0.6777171492576599	0.8996565615933669	0	0	0	1	1	1.89	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	1	0	0	1	0	0	0	0	96	noise
