Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
jclouds	11972.json	3	3	3	0.0	0.9424975514411926	0.9473540299483362	0	0	0	1	1	1.41	0	1	1	12.0	4.0	15.0	6.0	16.0	21.0	84.0	9.0	756.0	42.0	0.028	129.93223571777344	0	0	0	1	0	0	0	0	0	0	0	15	noise
jclouds	1182.json	4	4	4	0.0	0.7682478427886963	0.9321925268002013	0	0	0	1	1	1.5	0	1	1	13.0	3.0	16.0	5.0	16.0	21.0	84.0	10.833333	910.0	50.555557	0.028	125.27178192138672	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	27259.json	5	4	5	0.0	0.5717105865478516	0.41026120579767417	0	0	0	1	1	2.99	0	1	1	17.0	3.0	25.0	4.0	20.0	29.0	125.335915	11.333334	1420.4738	78.91521	0.04177864	119.57592010498047	0	0	0	1	1	0	0	1	1	0	0	125	ugly
jclouds	20958.json	4	4	4	0.0	0.16603292524814606	0.8470756578449861	0	0	0	1	1	1.5	0	1	1	13.0	3.0	16.0	5.0	16.0	21.0	84.0	10.833333	910.0	50.555557	0.028	125.27178192138672	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	23502.json	3	3	3	0.0	0.06205090507864952	0.9343343305272191	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	14173.json	8	3	8	0.0	0.0066802725195884705	0.15264306273981518	0	0	0	1	1	3.97	0	10	10	20.0	3.0	41.0	8.0	23.0	49.0	221.65454	26.666668	5910.788	328.3771	0.073884845	108.99722290039062	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	17951.json	4	4	4	0.0	0.6865412592887878	0.9216799997324113	0	0	0	1	1	1.5	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	17104.json	4	3	4	0.0	0.020834647119045258	0.4521259690086766	0	0	0	1	1	3.67	0	3	2	14.0	4.0	23.0	7.0	18.0	30.0	125.097755	12.25	1532.4475	85.13597	0.041699253	123.20073699951172	0	1	0	0	0	0	0	0	0	0	0	8	noise
jclouds	28260.json	3	3	3	0.0	0.7925545573234558	0.8743137585675315	0	0	0	1	1	1.89	0	1	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	132.086669921875	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	15992.json	4	4	4	0.0	0.7483770251274109	0.5775175937455931	0	0	0	1	1	1.5	0	1	1	14.0	3.0	22.0	5.0	17.0	27.0	110.361496	11.666666	1287.5507	71.530594	0.036787163	123.85247039794922	0	0	0	1	1	0	0	1	1	0	0	57	ugly
jclouds	28274.json	3	3	3	0.0	0.10814760625362396	0.378082849524077	0	0	0	1	1	1.41	0	2	2	14.0	4.0	21.0	6.0	18.0	27.0	112.58798	10.5	1182.1738	65.67632	0.037529327	128.4090576171875	1	0	0	0	0	0	0	1	0	0	0	0	good
jclouds	26984.json	10	9	8	0.0	0.754399836063385	0.6733705850527502	0	0	0	1	1	2.98	1	0	0	15.0	4.0	34.0	10.0	19.0	44.0	186.90881	18.75	3504.5403	194.69669	0.06230294	109.88381958007812	0	0	0	1	1	0	0	1	0	0	0	99	ugly
jclouds	12156.json	3	3	3	0.0	0.5957807898521423	0.5505001628355665	0	0	0	1	1	1.41	0	1	1	13.0	5.0	18.0	6.0	18.0	24.0	100.0782	7.8	780.61	43.36722	0.0333594	129.0215301513672	0	0	0	1	1	0	0	1	0	0	0	40	noise
jclouds	6035.json	3	3	3	0.0	0.2856465280056	0.8634971153717386	0	0	0	1	1	1.41	0	0	0	13.0	2.0	14.0	3.0	15.0	17.0	66.41714	9.75	647.5671	35.97595	0.022139046	131.1535186767578	0	1	0	0	0	0	0	0	0	0	0	0	good
jclouds	1139.json	6	7	6	0.0	0.18296469748020172	0.2551711702421701	3	1	4	3	3	2.75	1	3	3	18.0	4.0	31.0	8.0	22.0	39.0	173.91783	18.0	3130.521	173.91783	0.05797261	114.4588623046875	0	0	0	1	1	0	0	1	1	0	0	8	noise
jclouds	8754.json	12	14	9	0.0	0.5797097086906433	0.0025662652013386227	9	6	15	6	6	1.25	0	4	2	21.0	8.0	63.0	19.0	29.0	82.0	398.35446	24.9375	9933.965	551.88696	0.13278481	102.89078521728516	0	0	0	1	0	0	0	1	1	0	0	141	ugly
jclouds	11122.json	3	3	3	0.0	0.8819847702980042	0.9184221680623841	0	0	0	1	1	1.41	0	0	0	11.0	1.0	15.0	1.0	12.0	16.0	57.3594	5.5	315.4767	17.526484	0.019119801	131.91592407226562	0	0	0	1	1	0	0	0	0	0	0	22	noise
jclouds	25352.json	4	4	4	0.0	0.14076904952526093	0.7375522997109898	0	0	0	1	1	1.5	0	0	0	17.0	2.0	21.0	4.0	19.0	25.0	106.19819	17.0	1805.3693	100.298294	0.035399396	124.05243682861328	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	20544.json	3	3	3	0.0	0.8357557654380798	0.9199868163879557	0	0	0	1	1	1.41	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	27572.json	3	3	3	0.0	0.5347726941108704	0.7202665088658599	0	0	0	1	1	1.41	0	0	0	13.0	4.0	14.0	4.0	17.0	18.0	73.57433	6.5	478.23315	26.568508	0.024524778	130.621337890625	0	0	0	1	1	0	0	0	0	0	0	0	good
jclouds	1421.json	7	7	7	0.0	0.15033352375030518	0.17196082441254712	0	0	0	2	2	3.02	1	3	3	19.0	8.0	31.0	9.0	27.0	40.0	190.1955	10.6875	2032.7144	112.92857	0.063398495	111.72637939453125	0	0	0	1	1	0	0	1	0	0	0	8	noise
jclouds	18353.json	3	3	3	0.0	0.8793350458145142	0.9390938189706836	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	711.json	12	9	11	0.0	0.02547251060605049	0.03992102719152207	0	0	0	1	1	26.01	1	3	3	25.0	7.0	57.0	11.0	32.0	68.0	340.0	19.642857	6678.5713	371.03174	0.11333334	101.61357879638672	0	1	0	0	0	0	0	3	0	0	0	621	ugly
jclouds	7648.json	3	3	3	0.0	0.9108041524887085	0.9464598723448928	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	13558.json	4	4	4	0.0	5.623731412924826E-4	0.8598235374777711	0	0	0	1	1	1.5	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	13	noise
jclouds	16864.json	3	3	3	0.0	0.0861697569489479	0.38836464510991997	0	0	0	1	1	1.41	0	2	2	16.0	5.0	22.0	5.0	21.0	27.0	118.59257	8.0	948.74054	52.70781	0.039530855	128.1388702392578	0	0	0	1	0	0	0	0	0	0	0	86	ugly
jclouds	2286.json	3	3	3	0.0	0.8094772696495056	0.8926341277106408	0	0	0	1	1	1.41	0	1	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	132.086669921875	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	23333.json	3	3	3	0.0	0.9320765733718872	0.9676705872852325	0	0	0	1	1	1.41	0	0	0	9.0	3.0	10.0	3.0	12.0	13.0	46.604515	4.5	209.72032	11.651129	0.015534839	132.9956512451172	0	0	0	1	0	0	0	0	0	0	0	0	good
jclouds	20840.json	3	3	3	0.0	0.8987720608711243	0.9358024513214748	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	12	noise
jclouds	1170.json	3	3	3	0.0	0.6107066869735718	0.8967382525384536	0	0	0	1	1	1.41	0	0	0	11.0	3.0	15.0	3.0	14.0	18.0	68.53239	5.5	376.92813	20.940453	0.022844128	130.99049377441406	0	0	0	1	0	0	0	0	0	0	0	0	good
jclouds	21196.json	3	3	3	0.0	0.41595029830932617	0.8888855394331001	0	0	0	1	1	1.41	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	23163.json	3	3	3	0.0	0.9569166302680969	0.9626360435274621	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	21947.json	4	4	4	0.0	0.19342775642871857	0.37796472298607064	0	0	0	1	1	1.5	0	1	1	17.0	4.0	26.0	6.0	21.0	32.0	140.55415	12.75	1792.0654	99.55919	0.046851385	122.5949478149414	0	0	0	1	1	0	0	2	1	0	0	96	ugly
jclouds	17159.json	3	3	3	0.0	0.477759450674057	0.7264324264348481	0	0	0	1	1	1.41	0	1	1	13.0	2.0	19.0	3.0	15.0	22.0	85.95159	9.75	838.028	46.557114	0.02865053	129.81280517578125	0	0	0	1	1	0	0	1	0	0	0	0	good
jclouds	17014.json	3	3	3	0.0	0.7098435163497925	0.917231059777253	0	0	0	1	1	1.41	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	18575.json	8	8	8	0.0	0.35168325901031494	0.043811848621796635	1	1	2	2	2	1.8	0	6	6	22.0	9.0	41.0	14.0	31.0	55.0	272.4808	17.11111	4662.449	259.02496	0.090826936	107.69369506835938	0	0	0	1	0	0	0	1	2	0	0	10	noise
jclouds	1359.json	4	4	4	0.0	0.6864482760429382	0.9046320624238405	0	0	0	1	1	1.5	0	1	1	13.0	3.0	16.0	5.0	16.0	21.0	84.0	10.833333	910.0	50.555557	0.028	125.27178192138672	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	14031.json	3	3	3	0.0	0.9395173192024231	0.9561258478442347	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	5	noise
jclouds	23005.json	4	4	4	0.0	0.38458752632141113	0.6043351152490604	0	0	0	1	1	1.5	0	1	1	16.0	3.0	19.0	5.0	19.0	24.0	101.950264	13.333333	1359.3368	75.51871	0.03398342	124.26470947265625	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	14527.json	3	3	3	0.0	0.8387292623519897	0.9456609107574235	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	5	noise
jclouds	18560.json	3	3	3	0.0	0.049827929586172104	0.42113810123424944	0	0	0	1	1	1.41	0	1	1	15.0	3.0	23.0	5.0	18.0	28.0	116.757904	12.5	1459.4738	81.08188	0.0389193	128.21994018554688	0	0	0	1	0	0	0	2	0	0	0	60	ugly
jclouds	7316.json	3	3	3	0.0	0.09733704477548599	0.7467585998261468	0	0	0	1	1	1.41	0	0	0	11.0	4.0	16.0	4.0	15.0	20.0	78.13781	5.5	429.75797	23.875443	0.026045937	130.30841064453125	0	0	0	1	0	0	1	0	0	0	0	289	ugly
jclouds	17087.json	3	3	3	0.0	0.10318654030561447	0.783429076224919	0	0	0	1	1	1.41	0	0	0	14.0	3.0	16.0	3.0	17.0	19.0	77.6618	7.0	543.63257	30.201809	0.025887266	130.34019470214844	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	14974.json	3	3	3	0.0	0.24448475241661072	0.7932838004728027	0	0	0	1	1	1.41	0	0	0	11.0	3.0	15.0	3.0	14.0	18.0	68.53239	5.5	376.92813	20.940453	0.022844128	130.99049377441406	0	0	0	1	0	0	0	0	0	0	0	0	good
jclouds	11241.json	7	5	7	0.0	0.004147246014326811	0.004238169994731038	0	0	0	2	2	3.02	0	2	2	24.0	6.0	49.0	12.0	30.0	61.0	299.3203	24.0	7183.6875	399.09375	0.09977344	109.36837768554688	0	0	0	1	0	0	0	0	2	0	0	14868	ugly
jclouds	17183.json	6	4	5	0.0	0.0025579221546649933	0.00773288554329647	0	0	0	1	1	2.24	0	0	0	20.0	10.0	41.0	16.0	30.0	57.0	279.69275	16.0	4475.084	248.61578	0.09323092	115.40190887451172	0	0	0	1	1	0	0	4	1	0	0	75	ugly
jclouds	18320.json	3	3	3	0.0	0.39208924770355225	0.8035609503916749	0	0	0	1	1	1.41	0	0	0	13.0	3.0	14.0	3.0	16.0	17.0	68.0	6.5	442.0	24.555555	0.022666667	131.03103637695312	0	0	0	1	0	0	1	0	0	0	0	36	noise
jclouds	13882.json	4	4	4	0.0	0.5580765008926392	0.9318142419640486	0	0	0	1	1	1.5	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	13	noise
jclouds	20336.json	3	3	3	0.0	0.9228288531303406	0.9334753536310817	0	0	0	1	1	1.41	0	0	0	8.0	3.0	9.0	3.0	11.0	12.0	41.51318	4.0	166.05272	9.225151	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	5	noise
jclouds	19901.json	4	3	4	0.0	0.0	0.00741360996409773	0	0	0	1	1	4.92	0	10	4	14.0	5.0	45.0	18.0	19.0	63.0	267.61945	25.199999	6744.01	374.6672	0.08920648	119.24628448486328	0	0	0	1	0	0	0	0	0	0	0	181	ugly
jclouds	5358.json	3	3	3	0.0	0.6669530868530273	0.9403988696315594	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	10043.json	28	24	25	0.12	0.0068314289674162865	3.6381527525448294E-5	7	7	14	4	3	5.85	5	10	8	37.0	16.0	97.0	31.0	53.0	128.0	733.1738	35.84375	26279.7	1459.9833	0.24439128	83.62782287597656	0	0	0	1	0	0	0	2	3	0	0	1469	ugly
jclouds	23490.json	5	3	5	0.0	0.0	0.23075137893458975	0	0	0	1	1	4.07	0	0	0	11.0	12.0	24.0	12.0	23.0	36.0	162.84824	5.5	895.6653	49.759182	0.054282747	118.21444702148438	0	0	0	1	0	0	0	0	0	0	0	0	good
jclouds	8631.json	4	4	4	0.0	0.6120743155479431	0.9102720759167995	0	0	0	1	1	1.5	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	13	noise
jclouds	8839.json	3	3	3	0.0	0.8819847702980042	0.9184221680623841	0	0	0	1	1	1.41	0	0	0	11.0	1.0	15.0	1.0	12.0	16.0	57.3594	5.5	315.4767	17.526484	0.019119801	131.91592407226562	0	0	0	1	1	0	0	0	0	0	0	22	noise
jclouds	21642.json	3	3	3	0.0	0.06975250691175461	0.34237850284246335	0	0	0	1	1	1.41	0	2	2	16.0	6.0	23.0	7.0	22.0	30.0	133.78294	9.333333	1248.6407	69.36893	0.044594314	127.51214599609375	0	0	0	1	0	0	0	1	0	0	0	0	good
jclouds	11075.json	3	3	3	0.0	0.8303338289260864	0.9027374936670046	0	0	0	1	1	1.41	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	1	0	0	1	0	0	0	0	0	good
jclouds	5893.json	3	3	3	0.0	0.09157375246286392	0.5284307641836544	0	0	0	1	1	1.41	0	2	2	14.0	3.0	24.0	4.0	17.0	28.0	114.44896	9.333334	1068.1903	59.343906	0.038149655	128.3238067626953	0	0	0	1	1	0	0	1	0	0	0	18	noise
jclouds	18822.json	9	9	9	0.0	0.00910682138055563	0.003646778295374162	1	1	2	2	2	1.7	1	8	7	25.0	7.0	52.0	17.0	32.0	69.0	345.0	30.357143	10473.215	581.8453	0.115	104.55853271484375	0	0	0	1	0	0	0	1	2	0	0	16	noise
jclouds	13257.json	3	3	3	0.0	0.0	0.1880183149286127	0	0	0	1	1	1.41	0	0	0	11.0	12.0	24.0	12.0	23.0	36.0	162.84824	5.5	895.6653	49.759182	0.054282747	126.48982238769531	0	0	0	1	0	0	0	0	0	0	0	0	good
jclouds	22883.json	3	3	3	0.0	0.8466559052467346	0.9488265124849374	0	0	0	1	1	1.41	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
