Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
jetty	11972.json	8	6	8	0.0	0.4392038881778717	0.8667387274416712	1	1	2	2	2	2.65	1	1	1	16.0	4.0	23.0	7.0	20.0	30.0	129.65784	14.0	1815.2097	100.844986	0.04321928	111.55557250976562	0	0	0	1	0	0	0	2	0	0	0	0	good
jetty	3371.json	4	3	4	0.0	0.3589109182357788	0.9603001692219109	0	0	0	1	1	1.73	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	128.335205078125	0	0	0	1	1	0	1	0	0	0	0	0	good
jetty	11749.json	3	2	3	0.0	0.8722400069236755	0.965747925155816	0	0	0	1	1	0.0	0	0	0	8.0	2.0	9.0	2.0	10.0	11.0	36.541206	4.0	146.16483	8.120268	0.012180402	134.26058959960938	0	0	0	1	0	0	0	1	0	0	0	0	good
jetty	801.json	23	15	20	0.0	0.00520588643848896	2.904501098908813E-4	8	6	14	7	7	6.7	2	10	6	26.0	9.0	91.0	31.0	35.0	122.0	625.7725	44.77778	28020.703	1556.7057	0.20859084	87.37640380859375	0	0	0	1	1	0	0	2	1	1	1	0	good
jetty	4804.json	4	3	4	0.0	0.8453430533409119	0.9332691171274661	0	0	0	1	1	1.73	0	0	0	10.0	3.0	11.0	4.0	13.0	15.0	55.506596	6.666667	370.04398	20.557999	0.018502198	127.42622375488281	0	0	0	1	0	0	1	1	0	0	0	0	good
jetty	2809.json	4	3	4	0.0	0.4091022312641144	0.8877029934664881	0	0	0	1	1	1.73	0	0	0	13.0	1.0	16.0	1.0	14.0	17.0	64.72504	6.5	420.71274	23.37293	0.021575011	126.62725830078125	0	0	0	1	0	0	0	0	0	0	0	0	good
jetty	6035.json	4	3	4	0.0	0.2695092558860779	0.7639587261877493	0	0	0	1	1	3.46	0	1	1	12.0	3.0	17.0	5.0	15.0	22.0	85.95159	10.0	859.5159	47.750885	0.02865053	125.15235137939453	0	0	0	1	0	0	0	2	0	0	0	0	good
jetty	12585.json	9	12	9	0.0	0.34937894344329834	0.1295648974030764	2	2	4	4	4	2.95	2	4	4	19.0	7.0	40.0	12.0	26.0	52.0	244.42288	16.285715	3980.6013	221.14452	0.0814743	105.89068603515625	1	0	0	0	0	0	0	0	0	0	0	6	bad
jetty	11122.json	4	2	3	0.3333333333333333	0.9936105608940125	0.9727446943127385	0	0	0	1	1	1.73	0	0	0	7.0	1.0	8.0	1.0	8.0	9.0	27.0	3.5	94.5	5.25	0.009	135.83412170410156	0	0	0	1	0	0	0	0	0	0	0	344	ugly
jetty	711.json	6	5	6	0.0	0.6020022630691528	0.7463933188994307	0	0	0	1	1	2.0	0	2	2	16.0	3.0	26.0	6.0	19.0	32.0	135.93369	16.0	2174.939	120.82994	0.045311227	116.20022583007812	0	0	0	1	0	0	0	1	1	0	0	0	good
jetty	6661.json	4	3	4	0.0	0.9551515579223633	0.9595832409557449	0	0	0	1	1	1.73	0	0	0	10.0	3.0	11.0	4.0	13.0	15.0	55.506596	6.666667	370.04398	20.557999	0.018502198	127.42622375488281	0	0	0	1	0	0	1	1	0	0	0	30	noise
jetty	4868.json	11	7	11	0.0	0.00264111184515059	0.009638475891335548	2	2	4	2	2	7.24	0	5	5	28.0	8.0	50.0	17.0	36.0	67.0	346.38498	29.75	10304.953	572.4974	0.11546166	101.28683471679688	0	0	0	1	0	0	0	3	1	1	1	0	good
jetty	6465.json	4	3	4	0.0	0.16549471020698547	0.7586781587870441	0	0	0	1	1	1.73	0	1	1	13.0	4.0	16.0	6.0	17.0	22.0	89.92419	9.75	876.7608	48.708935	0.029974729	124.91740417480469	0	0	0	1	0	0	0	2	0	0	0	0	good
jetty	6633.json	4	3	4	0.0	0.9045456051826477	0.9877646509883761	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	16	bad
jetty	8378.json	4	3	4	0.0	0.548323392868042	0.8708636265311572	0	0	0	1	1	1.73	0	1	1	12.0	3.0	14.0	3.0	15.0	17.0	66.41714	6.0	398.5028	22.139046	0.022139046	126.4930648803711	0	0	0	1	0	0	1	0	0	0	0	8	bad
jetty	11241.json	32	24	29	0.0	0.01944723352789879	1.403127983109998E-6	3	5	8	6	6	3.56	2	13	6	33.0	13.0	120.0	40.0	46.0	160.0	883.7699	50.76923	44868.316	2492.6843	0.29458997	79.79198455810547	0	0	0	1	1	0	0	1	5	2	1	36	noise
jetty	4857.json	5	4	5	0.0	0.0014023800613358617	0.002021928829164949	0	0	0	1	1	1.96	0	7	3	19.0	9.0	43.0	21.0	28.0	64.0	307.67072	22.166666	6820.034	378.89078	0.10255691	114.9061508178711	1	0	0	0	0	0	0	2	1	1	1	0	good
jetty	5358.json	72	46	61	0.13114754098360656	0.0	2.9299098901389117E-12	18	18	36	15	15	7.1	6	24	13	47.0	25.0	215.0	73.0	72.0	288.0	1776.9385	68.62	121933.52	6774.0845	0.5923128	62.0440788269043	0	0	0	1	0	0	0	1	7	2	1	8	bad
jetty	10043.json	5	3	5	0.0	0.5632483959197998	0.9112061721265143	0	0	0	1	1	1.6	0	1	1	13.0	2.0	16.0	3.0	15.0	19.0	74.23092	9.75	723.75146	40.208416	0.024743639	122.29976654052734	0	0	0	1	0	0	0	1	0	0	0	1581	ugly
jetty	8839.json	4	3	4	0.0	0.7552318572998047	0.9632749763464433	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
jetty	5205.json	45	26	34	0.17647058823529413	0.008121573366224766	1.1741562486123483E-9	11	9	20	9	9	3.73	3	13	6	34.0	17.0	164.0	58.0	51.0	222.0	1259.2784	58.0	73038.15	4057.6748	0.41975948	74.68383026123047	0	0	0	1	0	0	0	1	4	0	0	961	ugly
jetty	5959.json	17	12	17	0.0	0.5950071215629578	0.5693989333736217	1	1	2	3	3	3.23	2	3	3	24.0	9.0	46.0	12.0	33.0	58.0	292.57486	16.0	4681.1978	260.06653	0.097524956	94.88259887695312	0	0	0	1	0	0	0	1	0	0	0	2	bad
jetty	11687.json	8	6	8	0.0	0.10515637695789337	0.22083775872539885	1	1	2	2	2	2.65	1	4	4	18.0	7.0	32.0	10.0	25.0	42.0	195.04196	12.857143	2507.6824	139.31569	0.06501399	109.43232727050781	0	0	0	1	0	0	0	1	0	0	0	0	good
jetty	5382.json	4	3	4	0.0	0.8000668287277222	0.8826393595252969	0	0	0	1	1	1.73	0	0	0	13.0	3.0	14.0	4.0	16.0	18.0	72.0	8.666667	624.0	34.666668	0.024	126.0733642578125	0	0	0	1	0	0	1	1	0	0	0	0	good
jetty	4217.json	4	3	4	0.0	0.9572799801826477	0.8283821399516705	0	0	0	1	1	1.73	0	0	0	10.0	5.0	14.0	9.0	15.0	23.0	89.85848	9.0	808.7263	44.92924	0.029952828	124.92120361328125	0	0	0	1	0	0	0	0	0	0	0	0	good
jetty	11078.json	4	3	4	0.0	0.7923347353935242	0.9676202826958382	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	0	0	0	0	0	19	bad
jetty	213.json	4	3	4	0.0	0.3337680399417877	0.9496318098323491	0	0	0	1	1	1.73	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	127.59107971191406	0	0	0	1	0	0	1	0	0	0	0	0	good
jetty	6413.json	12	10	12	0.0	0.33444395661354065	0.010748714409276777	3	3	6	3	3	3.45	1	4	4	23.0	13.0	52.0	18.0	36.0	70.0	361.89478	15.923078	5762.4785	320.1377	0.12063159	99.41947174072266	0	0	0	1	0	0	0	0	3	1	1	0	good
jetty	9736.json	4	3	4	0.0	0.7313173413276672	0.9338643643082334	0	0	0	1	1	1.73	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	127.27810668945312	0	0	0	1	0	0	1	0	0	0	0	48	noise
jetty	10924.json	4	3	4	0.0	0.6999751925468445	0.9409350990648169	0	0	0	1	1	1.73	0	1	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	127.42622375488281	0	0	0	1	0	0	0	0	0	0	0	22	noise
jetty	3090.json	8	6	8	0.0	0.6563231945037842	0.9055562660512699	2	1	3	2	2	2.65	1	1	1	16.0	4.0	23.0	7.0	20.0	30.0	129.65784	14.0	1815.2097	100.844986	0.04321928	111.55557250976562	0	0	0	1	0	0	0	1	0	0	0	0	good
jetty	5323.json	4	3	4	0.0	0.9753884077072144	0.9639260212513161	0	0	0	1	1	1.73	0	0	0	11.0	3.0	12.0	4.0	14.0	16.0	60.91768	7.3333335	446.72964	24.818314	0.020305892	126.94251251220703	0	0	0	1	1	0	1	1	0	0	0	0	good
jetty	7207.json	5	3	4	0.25	0.48606500029563904	0.9405061799095904	0	0	0	1	1	1.96	0	1	1	11.0	3.0	14.0	5.0	14.0	19.0	72.339745	9.166666	663.11426	36.83968	0.024113249	126.04888916015625	0	0	0	1	0	0	0	1	0	0	0	620	ugly
jetty	8727.json	4	3	4	0.0	0.6451845169067383	0.975466236464548	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	34	noise
jetty	3557.json	4	3	4	0.0	0.8567458391189575	0.9652396841588696	0	0	0	1	1	1.73	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	127.59107971191406	0	0	0	1	0	0	0	0	0	0	0	59	noise
jetty	2743.json	4	3	4	0.0	0.8716583847999573	0.9675174235862265	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
jetty	11792.json	4	2	3	0.3333333333333333	0.9902282953262329	0.9781883599826386	0	0	0	1	1	1.73	0	0	0	8.0	2.0	9.0	2.0	10.0	11.0	36.541206	4.0	146.16483	8.120268	0.012180402	134.26058959960938	0	0	0	1	0	0	0	1	0	0	0	0	good
jetty	2638.json	6	2	4	0.0	0.9901702404022217	0.9937522403719753	0	0	0	1	1	1.73	0	0	0	9.0	1.0	10.0	1.0	10.0	11.0	36.541206	4.5	164.43542	9.135302	0.012180402	129.6001434326172	0	0	0	1	0	0	0	0	0	0	0	0	good
jetty	14093.json	4	3	4	0.0	0.2541491985321045	0.3964584920061333	2	1	3	2	2	1.73	0	1	1	17.0	5.0	21.0	8.0	22.0	29.0	129.32352	13.6	1758.7999	97.711105	0.043107837	122.79798126220703	0	1	0	0	0	0	0	2	0	0	0	134	noise
jetty	391.json	5	4	5	0.0	0.008981660008430481	0.1512650252764008	0	0	0	1	1	1.96	0	2	2	18.0	8.0	27.0	11.0	26.0	38.0	178.61671	12.375	2210.3818	122.79899	0.059538905	117.73384857177734	0	0	0	1	0	0	0	3	0	0	0	0	good
jetty	7887.json	4	3	4	0.0	0.777504026889801	0.9519228688940036	0	0	0	1	1	1.73	0	0	0	13.0	1.0	16.0	1.0	14.0	17.0	64.72504	6.5	420.71274	23.37293	0.021575011	126.62725830078125	0	0	0	1	0	0	0	0	0	0	0	35	noise
jetty	8122.json	4	3	4	0.0	0.9125570058822632	0.9740930306954337	0	0	0	1	1	1.73	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	127.78498840332031	0	0	0	1	0	0	0	1	0	0	0	13	bad
jetty	3280.json	4	3	4	0.0	0.9471510052680969	0.9915515753642188	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	2	bad
jetty	8745.json	4	3	4	0.0	0.8955616354942322	0.9868737217167971	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	83	noise
jetty	10228.json	4	3	4	0.0	0.48108938336372375	0.8223855636593967	0	0	0	1	1	1.73	0	2	2	12.0	4.0	16.0	5.0	16.0	21.0	84.0	7.5	630.0	35.0	0.028	125.27178192138672	0	1	0	0	0	0	0	1	0	0	0	0	good
jetty	7534.json	4	3	4	0.0	0.1319253146648407	0.936143904543813	0	0	0	1	1	1.73	0	0	0	10.0	3.0	11.0	4.0	13.0	15.0	55.506596	6.666667	370.04398	20.557999	0.018502198	127.42622375488281	0	0	0	1	0	0	1	1	0	0	0	0	good
jetty	4298.json	4	3	4	0.0	0.6651369333267212	0.9180139947246092	0	0	0	1	1	1.73	0	1	1	10.0	4.0	13.0	5.0	14.0	18.0	68.53239	6.25	428.32742	23.795967	0.022844128	126.33003997802734	0	0	0	1	0	0	0	1	0	0	0	0	good
jetty	8709.json	4	3	4	0.0	0.12229345738887787	0.9544085332784815	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	0	0	0	0	0	0	good
jetty	3462.json	4	3	4	0.0	0.22487153112888336	0.6868473968505396	0	0	0	1	1	1.73	0	1	1	13.0	4.0	16.0	5.0	17.0	21.0	85.83672	8.125	697.4234	38.745743	0.028612241	125.15930938720703	0	0	0	1	1	0	0	1	0	0	0	23	noise
jetty	13664.json	12	8	12	0.0	0.015316937118768692	0.36539839161331045	1	1	2	3	3	3.45	1	2	2	21.0	9.0	36.0	15.0	30.0	51.0	250.2514	17.5	4379.3994	243.29997	0.08341713	101.33769226074219	1	0	0	0	0	0	0	3	0	0	0	109	noise
jetty	3165.json	12	9	12	0.0	0.6541664004325867	0.8863867209836294	2	1	3	3	3	4.11	2	0	0	20.0	7.0	32.0	9.0	27.0	41.0	194.9504	12.857142	2506.505	139.25027	0.064983465	102.63623809814453	0	0	0	1	0	0	0	1	1	0	0	706	ugly
