Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
jgit	1182.json	3	3	3	0.0	0.9220659136772156	0.4936942744138006	1	1	2	2	2	3.77	0	1	1	15.0	4.0	18.0	6.0	19.0	24.0	101.950264	11.25	1146.9404	63.718914	0.03398342	128.69515991210938	1	0	0	0	1	0	0	1	0	0	0	14	noise
jgit	3371.json	7	6	7	0.0	0.031992241740226746	0.01701842477458054	0	0	0	2	2	5.11	0	3	3	22.0	6.0	43.0	11.0	28.0	54.0	259.59717	20.166668	5235.21	290.845	0.08653239	110.10877227783203	1	0	0	0	0	0	0	0	3	0	0	98	ugly
jgit	9048.json	3	3	3	0.0	0.9269831776618958	0.9267478669663027	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
jgit	1781.json	7	7	7	0.0	0.7531607747077942	0.5476484418090574	1	1	2	2	2	5.11	0	2	2	16.0	5.0	26.0	5.0	21.0	31.0	136.16183	8.0	1089.2947	60.516373	0.04538728	113.46426391601562	0	0	0	1	0	0	0	0	0	0	0	4	bad
jgit	1139.json	3	3	3	0.0	0.31774789094924927	0.5281810400236966	0	0	0	1	1	3.77	0	1	1	14.0	4.0	17.0	5.0	18.0	22.0	91.73836	8.75	802.71063	44.595036	0.030579453	129.47398376464844	0	0	0	1	0	0	0	1	0	0	0	0	good
jgit	8541.json	17	17	17	0.0	0.17627041041851044	2.3438858763324686E-4	3	4	7	5	5	7.29	1	1	1	25.0	11.0	70.0	30.0	36.0	100.0	516.9925	34.090908	17624.744	979.15247	0.17233083	91.46219635009766	0	0	0	1	0	0	0	1	4	2	1	0	good
jgit	1421.json	3	3	3	0.0	0.9019673466682434	0.3614217368883933	1	1	2	2	2	3.77	0	0	0	16.0	4.0	20.0	6.0	20.0	26.0	112.37013	12.0	1348.4417	74.91342	0.03745671	128.1891326904297	0	0	0	1	0	0	1	1	0	0	0	335	ugly
jgit	2286.json	3	3	3	0.0	0.9837012887001038	0.8368615466251917	0	0	0	1	1	3.77	0	0	0	10.0	2.0	14.0	2.0	12.0	16.0	57.3594	5.0	286.797	15.9331665	0.019119801	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	good
jgit	6661.json	3	3	3	0.0	0.936991274356842	0.7273018755509074	0	0	0	1	1	3.77	0	0	0	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	1	0	0	0	1	0	0	1	0	0	0	0	good
jgit	1170.json	27	23	24	0.0	0.022051112726330757	1.3526765089007947E-7	3	5	8	6	6	7.05	2	7	5	36.0	11.0	111.0	43.0	47.0	154.0	855.4067	70.36364	60189.527	3343.8625	0.28513557	83.02732849121094	0	0	0	0	0	0	0	3	1	1	1	95	ugly
