Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
jna	1421.json	3	3	3	0.0	0.3606453835964203	0.5261969873563084	0	0	0	1	1	0.94	0	2	2	14.0	3.0	18.0	4.0	17.0	22.0	89.92419	9.333334	839.2925	46.62736	0.029974729	129.57785034179688	0	0	0	1	1	0	0	1	0	0	0	0	good
jna	3874.json	3	3	3	0.0	0.6835629343986511	0.7476093223644223	0	0	0	1	1	1.89	0	0	0	15.0	3.0	17.0	3.0	18.0	20.0	83.398506	7.5	625.4888	34.749374	0.027799502	129.9696044921875	0	0	0	1	0	0	0	2	0	0	0	23	noise
jna	2413.json	12	11	12	0.0	0.058067142963409424	5.220992159049325E-4	3	3	6	3	3	8.08	1	4	4	27.0	9.0	65.0	16.0	36.0	81.0	418.76395	24.0	10050.335	558.3519	0.13958798	98.66051483154297	0	0	0	0	0	0	0	1	2	0	0	16	bad
jna	1589.json	3	3	3	0.0	0.877632200717926	0.3174441702075882	0	0	0	1	1	3.77	0	0	0	15.0	4.0	20.0	5.0	19.0	25.0	106.19819	9.375	995.60803	55.311558	0.035399396	128.712890625	0	0	0	1	1	0	0	1	0	2	2	0	good
jna	4217.json	15	15	15	0.0	0.07154998183250427	2.9306126687967185E-4	6	6	12	5	5	5.96	4	6	5	28.0	13.0	71.0	28.0	41.0	99.0	530.39764	30.153847	15993.529	888.5294	0.17679921	93.35672760009766	1	0	0	0	1	0	0	1	3	0	0	0	good
jna	213.json	3	3	3	0.0	0.006637061946094036	0.4339283873990726	0	0	0	1	1	1.89	0	2	2	15.0	3.0	21.0	6.0	18.0	27.0	112.58798	15.0	1688.8197	93.82332	0.037529327	128.4090576171875	0	0	0	1	0	0	0	2	0	0	0	0	good
jna	3090.json	6	6	6	0.0	0.8836666345596313	0.9728599244862207	1	1	2	2	2	3.27	1	3	3	14.0	3.0	22.0	3.0	17.0	25.0	102.18657	7.0	715.30597	39.73922	0.034062188	117.45413208007812	0	0	0	1	0	0	0	1	0	0	0	0	good
jna	1706.json	4	4	4	0.0	0.7026007175445557	0.7549477574926504	0	0	0	1	1	2.0	0	2	2	15.0	3.0	22.0	4.0	18.0	26.0	108.41805	10.0	1084.1805	60.232254	0.03613935	123.94486236572266	0	0	0	1	0	0	0	0	1	0	0	119	noise
jna	3557.json	3	3	3	0.0	0.9796749353408813	0.5554118607796964	1	1	2	2	2	1.89	0	0	0	14.0	4.0	15.0	6.0	18.0	21.0	87.56843	10.5	919.4685	51.081585	0.029189477	129.48590087890625	0	0	0	1	1	0	1	1	0	0	0	0	good
jna	2743.json	5	5	5	0.0	0.46871039271354675	0.575459065641657	2	1	3	2	2	2.99	0	1	1	17.0	3.0	27.0	5.0	20.0	32.0	138.3017	14.166666	1959.2739	108.84855	0.046100564	118.83403015136719	0	0	0	1	0	0	0	2	0	0	0	18	noise
jna	2373.json	4	3	4	0.0	9.830123744904995E-4	0.054814027556069324	0	0	0	1	1	6.63	0	1	1	18.0	7.0	30.0	9.0	25.0	39.0	181.11038	11.571428	2095.7058	116.4281	0.06037013	121.27667999267578	0	0	0	1	0	0	0	3	0	0	0	3558	ugly
jna	3462.json	37	31	35	0.0	0.0	3.849122586475604E-14	10	6	16	7	7	1.01	2	10	7	32.0	24.0	163.0	88.0	56.0	251.0	1457.6461	58.666668	85515.24	4750.8467	0.48588204	73.9135513305664	1	0	0	0	0	0	0	1	4	2	1	0	good
jna	3165.json	4	4	4	0.0	0.10924206674098969	0.4057401855905918	0	0	0	1	1	2.0	0	2	2	15.0	6.0	22.0	8.0	21.0	30.0	131.76952	10.0	1317.6952	73.20529	0.043923173	122.93054962158203	0	0	0	1	0	0	0	1	1	0	0	0	good
jna	4056.json	11	11	11	0.0	0.613969624042511	0.2738319714741237	2	2	4	3	3	3.45	2	3	3	18.0	9.0	38.0	14.0	27.0	52.0	247.25415	14.0	3461.558	192.30878	0.08241805	102.80992889404297	0	1	0	0	0	0	0	1	1	0	0	81	noise
jna	101.json	3	3	3	0.0	0.6160809993743896	0.8958675672351843	0	0	0	1	1	1.89	0	2	2	13.0	2.0	17.0	3.0	15.0	20.0	78.13781	9.75	761.8436	42.324646	0.026045937	130.30841064453125	0	0	0	1	0	0	0	1	0	0	0	12	bad
jna	462.json	31	29	31	0.0	0.0	1.4148218826041462E-15	2	7	9	6	6	7.43	2	11	5	34.0	22.0	184.0	63.0	56.0	247.0	1434.4166	48.681816	69830.01	3879.4448	0.47813886	76.1931381225586	0	0	0	1	1	0	0	3	5	0	0	741	ugly
jna	4174.json	3	3	3	0.0	0.15957045555114746	0.7740470357835842	0	0	0	1	1	1.89	0	2	2	13.0	3.0	16.0	4.0	16.0	20.0	80.0	8.666667	693.3334	38.51852	0.026666667	130.18594360351562	0	0	0	1	0	0	0	1	0	0	0	26	noise
jna	3913.json	18	19	18	0.0	0.015184471383690834	3.220712930001113E-8	3	7	10	6	6	3.3	1	4	4	33.0	17.0	94.0	49.0	50.0	143.0	807.0714	47.558823	38383.367	2132.4092	0.2690238	87.990234375	0	0	0	1	0	0	0	2	5	2	1	641	ugly
jna	3178.json	21	16	17	0.0	0.0	1.273609002071358E-9	0	0	0	1	1	2.38	0	9	3	20.0	17.0	138.0	43.0	37.0	181.0	942.9111	25.294117	23850.104	1325.0057	0.3143037	89.25728607177734	0	0	0	1	0	0	0	0	11	0	0	0	good
