Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
lucene-solr	1182.json	3	3	3	0.0	0.9618837833404541	0.955365954137557	0	0	0	1	1	0.94	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	0	1	0	0	0	25	noise
lucene-solr	27259.json	14	11	14	0.0	8.469175663776696E-4	1.2574538500090837E-4	0	0	0	1	1	2.08	1	4	4	29.0	14.0	69.0	21.0	43.0	90.0	488.36383	21.75	10621.913	590.10626	0.16278794	95.8237533569336	0	0	0	1	0	0	0	3	2	0	0	0	good
lucene-solr	11749.json	11	10	11	0.0	0.03423067927360535	0.005332174316702056	2	2	4	3	3	2.31	2	6	6	28.0	6.0	56.0	14.0	34.0	70.0	356.1224	32.666664	11633.331	646.29614	0.11870747	100.91266632080078	0	0	0	1	0	0	0	2	2	0	0	91	noise
lucene-solr	44535.json	3	3	3	0.0	0.4781634509563446	0.8986562173259712	0	0	0	1	1	0.94	0	1	1	10.0	3.0	12.0	4.0	13.0	16.0	59.207035	6.666667	394.7136	21.928534	0.019735679	131.75106811523438	0	0	0	0	0	0	0	1	0	0	0	0	good
lucene-solr	14173.json	7	7	7	0.0	0.8220062255859375	0.8534508541334784	0	0	0	2	2	1.51	1	1	1	16.0	3.0	25.0	3.0	19.0	28.0	118.94197	8.0	951.53577	52.8631	0.039647322	114.16735076904297	0	0	0	1	0	0	0	0	0	0	0	1	bad
lucene-solr	28260.json	3	3	3	0.0	0.7352682948112488	0.8101152630410808	0	0	0	1	1	0.94	0	1	1	13.0	2.0	16.0	2.0	15.0	18.0	70.32403	6.5	457.10617	25.394787	0.023441343	130.85629272460938	0	0	0	1	0	0	0	0	0	0	0	15	bad
lucene-solr	47984.json	3	3	3	0.0	0.1578538417816162	0.4467481808089345	0	0	0	1	1	0.94	0	0	0	14.0	5.0	21.0	7.0	19.0	28.0	118.94197	9.8	1165.6313	64.75729	0.039647322	128.1235809326172	1	0	0	0	1	0	0	2	0	2	1	0	good
lucene-solr	47847.json	3	3	3	0.0	0.012067802250385284	0.614539932104687	0	0	0	1	1	0.94	0	1	1	12.0	5.0	16.0	6.0	17.0	22.0	89.92419	7.2000003	647.45416	35.969677	0.029974729	129.57785034179688	0	0	0	1	0	0	0	0	0	0	0	57	noise
lucene-solr	28601.json	7	7	7	0.0	0.2135467380285263	0.10886666411901424	1	1	2	3	3	1.28	1	3	2	18.0	6.0	37.0	9.0	24.0	46.0	210.90826	13.5	2847.2615	158.1812	0.070302755	110.95885467529297	0	0	0	1	0	0	0	0	2	2	2	34	noise
lucene-solr	28274.json	11	9	11	0.0	0.20746558904647827	0.20393230044120333	3	2	5	3	3	1.87	2	0	0	18.0	7.0	36.0	17.0	25.0	53.0	246.12437	21.857143	5379.5757	298.86533	0.08204146	102.83374786376953	0	0	0	1	1	0	0	1	2	0	0	0	good
lucene-solr	50030.json	3	3	3	0.0	0.864398181438446	0.9446092515007452	0	0	0	1	1	0.94	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	0	1	0	0	0	34	noise
lucene-solr	8754.json	1	3	1	0.0	0.9985438585281372	0.6349554585582883	0	0	0	1	1	0.0	0	0	0	12.0	2.0	15.0	2.0	14.0	17.0	64.72504	6.0	388.35022	21.575012	0.021575011	149.08523559570312	0	0	0	1	0	0	0	1	0	0	0	42	noise
lucene-solr	11122.json	10	10	10	0.0	0.04038424417376518	0.048209979333252176	0	0	0	2	2	1.26	1	5	2	17.0	8.0	42.0	17.0	25.0	59.0	273.98752	18.0625	4948.8994	274.93884	0.09132917	104.05009460449219	0	0	0	1	0	0	0	0	2	0	0	104	noise
lucene-solr	20544.json	4	4	4	0.0	0.27735635638237	0.19342511117088004	1	1	2	2	2	1.0	0	2	2	18.0	6.0	25.0	10.0	24.0	35.0	160.47368	15.0	2407.1052	133.72807	0.053491227	121.6757583618164	0	0	0	1	0	0	0	2	1	0	0	0	good
