Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
mongo-java-driver	3371.json	6	6	6	0.16666666666666666	0.14076411724090576	0.12054948197723564	1	1	2	2	2	2.75	1	10	5	16.0	3.0	41.0	4.0	19.0	45.0	191.15674	10.666667	2039.0052	113.27807	0.063718915	114.1974105834961	0	1	0	0	0	0	0	0	0	0	0	19	bad
mongo-java-driver	801.json	3	3	3	0.0	0.23222139477729797	0.653972559032113	0	0	0	1	1	1.89	0	1	1	13.0	4.0	17.0	4.0	17.0	21.0	85.83672	6.5	557.9387	30.996595	0.028612241	129.81976318359375	0	0	0	1	0	0	0	0	0	0	0	18	bad
mongo-java-driver	6035.json	4	4	4	0.0	0.5993042588233948	0.8778369259365641	0	0	0	1	1	2.0	0	0	0	14.0	2.0	17.0	4.0	16.0	21.0	84.0	14.0	1176.0	65.333336	0.028	125.27178192138672	0	0	0	1	0	0	0	1	0	0	0	17	bad
mongo-java-driver	1421.json	4	4	4	0.0	0.4911634922027588	0.833863799257924	0	0	0	1	1	2.0	0	0	0	14.0	2.0	17.0	4.0	16.0	21.0	84.0	14.0	1176.0	65.333336	0.028	125.27178192138672	0	0	0	1	0	0	0	1	0	0	0	44	noise
mongo-java-driver	711.json	8	5	5	0.6	0.9888515472412109	0.9701476659603572	0	0	0	1	1	1.73	0	3	3	13.0	3.0	20.0	3.0	16.0	23.0	92.0	6.5	598.0	33.22222	0.030666666	121.18380737304688	0	0	0	1	0	0	0	0	0	0	0	2	bad
mongo-java-driver	2286.json	7	7	7	0.0	0.004660279955714941	0.038898786858053376	0	0	0	1	1	1.81	0	5	5	19.0	6.0	45.0	11.0	25.0	56.0	260.05594	17.416668	4529.308	251.62823	0.086685315	110.32958984375	0	1	0	0	0	0	0	0	0	0	0	28	noise
mongo-java-driver	1170.json	3	3	3	0.0	0.7464052438735962	0.9502265165749509	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	38	noise
mongo-java-driver	6465.json	26	24	24	0.0	0.002028732094913721	6.450230382477537E-7	6	5	11	6	6	3.56	2	14	14	40.0	13.0	112.0	33.0	53.0	145.0	830.54846	50.76923	42166.305	2342.5725	0.27684948	83.18067932128906	0	0	0	1	0	0	0	2	3	0	0	1731	ugly
mongo-java-driver	7316.json	3	3	3	0.0	0.6240369081497192	0.9623023177683465	0	0	0	1	1	1.89	0	1	1	8.0	2.0	11.0	2.0	10.0	13.0	43.185066	4.0	172.74026	9.596682	0.014395022	133.39190673828125	0	0	0	0	0	0	0	0	0	0	0	7	bad
mongo-java-driver	11241.json	8	3	8	0.0	0.8108554482460022	0.7353291023581546	0	0	0	1	1	5.29	0	0	0	10.0	8.0	21.0	19.0	18.0	40.0	166.79701	11.875	1980.7145	110.039696	0.055599004	110.4758071899414	0	0	0	1	0	0	0	0	0	0	0	79	noise
mongo-java-driver	5358.json	67	61	58	0.0	0.0	2.0126355594433477E-7	9	9	18	10	10	4.06	2	9	7	39.0	15.0	187.0	53.0	54.0	240.0	1381.173	68.9	95162.82	5286.823	0.46039099	65.32124328613281	0	0	0	1	1	0	0	3	2	2	1	45	noise
mongo-java-driver	2100.json	4	4	4	0.0	0.6340693235397339	0.8207736250294714	0	0	0	1	1	2.0	0	2	2	11.0	3.0	17.0	5.0	14.0	22.0	83.76181	9.166666	767.8165	42.656475	0.027920604	125.28655242919922	0	0	0	1	0	0	0	2	0	0	0	76	noise
mongo-java-driver	7128.json	3	3	3	0.0	0.9162076711654663	0.9189601673777849	0	0	0	1	1	1.89	0	2	2	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	1	0	0	0	0	0	good
mongo-java-driver	5893.json	4	4	4	0.0	0.0050641270354390144	0.1275129290144042	0	0	0	1	1	2.0	0	1	1	17.0	5.0	33.0	7.0	22.0	40.0	178.37726	11.9	2122.6892	117.92718	0.059459087	121.35575103759766	0	0	0	1	1	0	0	3	0	0	0	10	bad
mongo-java-driver	2080.json	4	4	4	0.0	0.6218591928482056	0.8060730538745315	0	0	0	1	1	2.0	0	2	2	12.0	3.0	17.0	5.0	15.0	22.0	85.95159	10.0	859.5159	47.750885	0.02865053	125.15235137939453	0	0	0	1	0	0	0	2	0	0	0	12	bad
mongo-java-driver	9287.json	4	4	4	0.0	0.7751016020774841	0.6926092774126125	0	0	0	1	1	2.0	0	1	1	16.0	3.0	21.0	5.0	19.0	26.0	110.44612	13.333333	1472.6149	81.811935	0.036815375	123.8484878540039	0	0	0	1	0	0	0	1	0	0	0	178	noise
mongo-java-driver	5959.json	12	9	9	0.0	0.4550815224647522	0.010645350730891887	0	0	0	2	2	2.27	1	3	3	25.0	9.0	54.0	16.0	34.0	70.0	356.1224	22.222223	7913.8315	439.65732	0.11870747	104.3935317993164	0	0	0	1	0	0	0	2	3	0	0	2085	ugly
