Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
okhttp	1589.json	6	7	6	0.0	0.015259557403624058	0.058462601243618274	2	2	4	3	3	3.27	1	4	4	22.0	5.0	38.0	14.0	27.0	52.0	247.25415	30.8	7615.4277	423.0793	0.08241805	112.62932586669922	0	0	0	0	0	0	0	1	1	0	0	40	bad
okhttp	1931.json	7	7	7	0.0	0.04174559935927391	0.005796011664599041	2	1	3	2	2	1.28	1	4	4	22.0	8.0	47.0	13.0	30.0	60.0	294.41342	17.875	5262.64	292.3689	0.09813781	109.45433044433594	0	0	0	1	0	0	0	0	2	0	0	36	bad
okhttp	1449.json	7	7	7	0.14285714285714285	0.8143562078475952	0.20545775779212658	1	1	2	2	2	2.56	1	1	1	19.0	6.0	31.0	13.0	25.0	44.0	204.32967	20.583334	4205.7856	233.65475	0.06810989	111.3536376953125	1	0	0	0	0	0	0	1	1	0	0	288	noise
okhttp	796.json	8	9	8	0.0	0.01605762541294098	0.008299839872728856	1	1	2	2	2	0.87	0	3	1	16.0	9.0	45.0	22.0	25.0	67.0	311.13837	19.555555	6084.4834	338.02686	0.10371279	107.0038070678711	0	0	0	1	0	0	0	0	1	2	2	254	noise
okhttp	1929.json	7	7	7	0.0	0.14801530539989471	0.3100577387444792	2	2	4	2	2	2.56	1	2	2	19.0	7.0	30.0	10.0	26.0	40.0	188.0176	13.571429	2551.6675	141.75931	0.06267253	111.78627014160156	0	0	0	1	0	0	0	1	1	0	0	198	noise
okhttp	576.json	3	4	3	0.0	0.1080874502658844	0.5692813557801262	0	0	0	1	1	0.94	0	1	1	12.0	5.0	16.0	6.0	17.0	22.0	89.92419	7.2000003	647.45416	35.969677	0.029974729	129.57785034179688	0	0	0	1	0	0	0	1	0	0	0	52	bad
okhttp	2208.json	4	4	4	0.0	0.5338179469108582	0.8119810446447336	0	0	0	1	1	2.0	0	1	1	12.0	4.0	17.0	4.0	16.0	21.0	84.0	6.0	504.0	28.0	0.028	125.27178192138672	0	0	0	1	0	0	0	0	0	0	0	123	noise
okhttp	658.json	3	3	3	0.0	0.83980393409729	0.9534502408806217	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	11	bad
okhttp	1032.json	3	3	3	0.0	0.650493323802948	0.9448862722448009	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	1	0	0	0	0	0	0	0	0	0	0	34	bad
okhttp	2187.json	3	3	3	0.0	0.6846050024032593	0.8646688970024482	0	0	0	1	1	1.89	0	1	1	12.0	3.0	14.0	3.0	15.0	17.0	66.41714	6.0	398.5028	22.139046	0.022139046	131.1535186767578	0	0	0	1	0	0	0	0	0	0	0	66	noise
okhttp	496.json	3	4	3	0.0	0.7044658064842224	0.7753294407043373	0	0	0	1	1	0.94	0	0	0	12.0	3.0	13.0	5.0	15.0	18.0	70.32403	10.0	703.2403	39.068905	0.023441343	130.85629272460938	0	0	0	1	0	0	0	1	0	0	0	156	noise
okhttp	613.json	3	3	3	0.0	0.9100990891456604	0.966894854623382	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	8	bad
okhttp	920.json	15	16	14	0.0	0.23201030492782593	1.470838745989149E-4	1	2	3	3	3	1.62	2	5	5	36.0	13.0	73.0	22.0	49.0	95.0	533.39746	30.461538	16248.107	902.6726	0.17779915	94.90508270263672	0	0	0	1	0	0	0	1	4	1	1	310	noise
