Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
openmrs-core	1182.json	3	3	3	0.0	0.6612982153892517	0.9247527558437233	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
openmrs-core	3371.json	76	62	62	0.20967741935483872	0.0	9.37049653656027E-49	7	11	18	15	15	7.77	3	48	34	79.0	45.0	420.0	199.0	124.0	619.0	4304.6475	174.67778	751926.25	41773.68	1.4348825	57.17967987060547	0	0	0	1	1	0	0	1	26	0	0	111	noise
openmrs-core	801.json	3	3	3	0.0	0.6169577240943909	0.7915284603496405	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
openmrs-core	4804.json	3	3	3	0.0	0.003101537236943841	0.27989083602658926	0	0	0	1	1	3.77	0	2	2	15.0	4.0	22.0	7.0	19.0	29.0	123.1899	13.125	1616.8674	89.825966	0.0410633	127.94110107421875	0	0	0	1	0	0	0	3	0	0	0	0	good
openmrs-core	2838.json	3	3	3	0.0	0.6642199754714966	0.8073998418498008	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
openmrs-core	1421.json	3	3	3	0.0	0.7443541288375854	0.7962339207589443	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
openmrs-core	7648.json	3	3	3	0.0	0.7016817927360535	0.859476914306832	0	0	0	1	1	3.77	0	0	0	9.0	3.0	10.0	3.0	12.0	13.0	46.604515	4.5	209.72032	11.651129	0.015534839	132.9956512451172	0	0	0	1	0	0	1	0	0	0	0	0	good
openmrs-core	2286.json	3	3	3	0.0	0.32811984419822693	0.7270934445878556	0	0	0	1	1	3.77	0	1	1	13.0	3.0	15.0	3.0	16.0	18.0	72.0	6.5	468.0	26.0	0.024	130.7338104248047	0	0	0	1	0	0	1	0	0	0	0	0	good
openmrs-core	6661.json	4	3	4	0.0	0.5000527501106262	0.6369977615456438	0	0	0	1	1	4.0	0	1	1	16.0	4.0	18.0	5.0	20.0	23.0	99.40434	10.0	994.04346	55.224636	0.03313478	124.39620971679688	0	0	0	1	0	0	0	1	0	0	0	24	noise
openmrs-core	1359.json	7	6	6	0.16666666666666666	0.6412578821182251	0.07633971481590254	2	1	3	2	2	5.5	0	5	5	20.0	6.0	34.0	12.0	26.0	46.0	216.22023	20.0	4324.405	240.2447	0.07207341	113.55674743652344	1	0	0	0	1	0	0	1	0	0	0	2	bad
