Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
pmd	9048.json	17	16	16	0.0	0.002650116803124547	7.913354483025412E-7	6	5	11	5	5	5.07	3	10	7	31.0	12.0	98.0	27.0	43.0	125.0	678.2831	34.875	23655.123	1314.1735	0.22609437	91.0323257446289	0	0	0	1	0	0	0	2	3	1	1	555	ugly
pmd	1781.json	3	3	3	0.0	0.13044263422489166	0.4375261861350437	1	1	2	2	2	1.89	0	3	2	12.0	6.0	20.0	7.0	18.0	27.0	112.58798	7.0	788.11584	43.784214	0.037529327	128.17906188964844	0	0	0	1	0	0	1	0	0	0	0	17	noise
pmd	2809.json	15	15	15	0.0	0.021447524428367615	6.164637620918292E-5	2	2	4	3	3	2.61	1	6	6	31.0	10.0	81.0	22.0	41.0	103.0	551.8279	34.100002	18817.332	1045.4073	0.18394263	93.61075592041016	1	0	0	0	1	0	0	1	3	0	0	2634	ugly
pmd	6035.json	3	3	3	0.0	0.6649388074874878	0.8211420823420487	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
pmd	2838.json	3	3	3	0.0	0.08482139557600021	0.3884405771037452	0	0	0	1	1	1.89	0	3	3	16.0	3.0	23.0	4.0	19.0	27.0	114.694046	10.666667	1223.4032	67.96684	0.03823135	128.31268310546875	0	0	0	1	0	0	0	1	0	0	0	6	bad
pmd	8541.json	23	17	17	0.29411764705882354	0.09243697673082352	5.210347737044171E-5	8	7	15	5	5	3.94	3	8	8	34.0	15.0	83.0	28.0	49.0	111.0	623.2328	31.733334	19777.254	1098.7363	0.20774426	90.4903564453125	0	1	0	0	0	0	0	2	3	0	0	21	noise
pmd	7648.json	3	4	3	0.0	0.09416387975215912	0.5173872569386367	0	0	0	1	1	1.89	0	1	1	14.0	4.0	19.0	6.0	18.0	25.0	104.24813	10.5	1094.6053	60.81141	0.034749378	128.8092498779297	0	0	0	1	0	0	0	2	0	0	0	56	noise
pmd	1359.json	3	3	3	0.0	0.7214170694351196	0.8207062864847907	0	0	0	1	1	1.89	0	1	1	13.0	2.0	15.0	2.0	15.0	17.0	66.41714	6.5	431.7114	23.983967	0.022139046	131.1535186767578	0	0	0	1	0	0	0	0	0	0	0	9	bad
pmd	6633.json	7	8	7	0.0	0.5897372364997864	0.7674434819661182	0	0	0	1	1	4.12	1	1	1	16.0	3.0	27.0	4.0	19.0	31.0	131.68576	10.666667	1404.6482	78.03601	0.043895252	113.86808013916016	0	0	0	1	0	0	0	0	0	0	0	72	noise
pmd	2100.json	3	3	3	0.0	0.922985851764679	0.8621836993191934	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	1	0	0	0	0	0	1	0	0	0	43	noise
pmd	10043.json	3	3	3	0.0	0.23995022475719452	0.6289193688733729	0	0	0	1	1	2.49	0	1	1	12.0	3.0	18.0	5.0	15.0	23.0	89.85848	10.0	898.58484	49.92138	0.029952828	129.58164978027344	0	0	0	1	0	0	0	2	0	0	0	21	noise
pmd	8631.json	4	3	3	0.0	0.49614110589027405	0.5134558466448242	0	0	0	1	1	1.89	0	2	1	13.0	4.0	20.0	6.0	17.0	26.0	106.27403	9.75	1036.1719	57.565105	0.035424676	128.70916748046875	1	0	0	0	0	0	0	1	0	1	1	25	noise
pmd	8839.json	1	3	1	0.0	0.998782217502594	0.8007748354664885	0	0	0	1	1	0.0	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	150.24295043945312	0	0	0	1	0	0	0	1	0	0	0	0	good
pmd	2080.json	3	3	3	0.0	0.8718661069869995	0.8668383057758413	0	0	0	1	1	3.77	0	0	0	10.0	2.0	12.0	2.0	12.0	14.0	50.189476	5.0	250.94739	13.941522	0.016729826	132.61029052734375	0	0	0	1	0	0	0	0	0	0	0	7	bad
pmd	5959.json	12	12	12	0.0	0.0015609137481078506	1.4173993733003582E-6	7	7	14	8	8	1.49	0	1	1	17.0	13.0	77.0	47.0	30.0	124.0	608.4544	30.730768	18698.271	1038.7928	0.20281814	95.56771850585938	0	0	0	1	0	0	0	0	2	7	1	0	good
pmd	1058.json	3	3	3	0.0	0.9044578075408936	0.926194826115876	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
pmd	5652.json	3	3	3	0.0	0.5289785861968994	0.8717127345748049	0	0	0	1	1	1.89	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	0	good
pmd	8982.json	5	5	5	0.0	0.0536888912320137	0.35556683793174837	0	0	0	1	1	1.6	0	3	3	15.0	4.0	26.0	7.0	19.0	33.0	140.18161	13.125	1839.8837	102.21576	0.046727203	118.99382781982422	0	0	0	1	0	0	0	2	0	0	0	20	noise
pmd	213.json	15	15	15	0.0	0.025452425703406334	9.905816433978572E-5	0	2	2	3	3	5.59	1	9	5	26.0	12.0	67.0	30.0	38.0	97.0	509.04898	32.5	16544.092	919.1162	0.169683	94.03035736083984	0	0	0	1	0	0	0	5	1	0	0	0	good
pmd	6413.json	3	3	3	0.0	1.0018380271503702E-4	0.26760963461349707	0	0	0	1	1	1.89	0	4	4	17.0	2.0	27.0	5.0	19.0	32.0	135.93369	21.25	2888.5908	160.47726	0.045311227	127.42921447753906	0	0	0	1	1	0	0	1	0	0	0	16	noise
pmd	5873.json	3	3	3	0.0	0.4355674684047699	0.838074661496185	0	0	0	1	1	1.89	0	0	0	11.0	1.0	14.0	1.0	12.0	15.0	53.77444	5.5	295.75943	16.43108	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	0	good
pmd	3090.json	13	13	13	0.0	0.2005540430545807	0.01838973879343752	2	3	5	5	5	10.62	3	4	3	23.0	8.0	51.0	17.0	31.0	68.0	336.88535	24.4375	8232.636	457.36865	0.11229511	98.03515625	0	0	0	1	0	0	0	1	3	0	0	0	good
pmd	1706.json	12	11	11	0.09090909090909091	0.053654152899980545	1.2263824236015167E-4	0	0	0	2	2	2.86	1	6	6	28.0	11.0	70.0	22.0	39.0	92.0	486.25702	28.0	13615.196	756.3998	0.16208567	99.52306365966797	1	0	0	0	0	0	0	2	3	0	0	283	ugly
pmd	2893.json	3	3	3	0.0	0.7548684477806091	0.8386180723356593	0	0	0	1	1	1.89	0	1	1	12.0	3.0	15.0	4.0	15.0	19.0	74.23092	8.0	593.84735	32.99152	0.024743639	130.57513427734375	0	0	0	1	1	0	0	1	0	0	0	6	bad
pmd	7207.json	3	3	3	0.0	0.06759802997112274	0.6090566478048818	0	0	0	1	1	0.94	0	1	1	14.0	3.0	18.0	5.0	17.0	23.0	94.01165	11.666666	1096.8025	60.93347	0.031337216	129.34671020507812	0	0	0	1	0	0	0	2	0	0	0	0	good
pmd	2638.json	3	3	3	0.0	0.26708948612213135	0.9039486836979347	0	0	0	1	1	1.89	0	1	1	11.0	2.0	15.0	2.0	13.0	17.0	62.907475	5.5	345.99112	19.22173	0.020969158	131.43582153320312	0	0	0	1	0	0	1	0	0	0	0	0	good
pmd	1931.json	37	34	26	0.19230769230769232	0.0010244518052786589	1.7597907527196093E-14	10	7	17	8	8	3.91	1	15	8	33.0	23.0	168.0	80.0	56.0	248.0	1440.224	57.391304	82656.336	4592.0186	0.48007467	78.56155395507812	0	0	0	1	1	0	0	3	11	0	0	333	ugly
pmd	1779.json	3	3	3	0.0	0.2580852508544922	0.9031985468092039	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	13	noise
pmd	6126.json	6	6	6	0.0	0.12214665859937668	0.09862666215805975	1	1	2	2	2	3.27	1	4	4	21.0	5.0	37.0	10.0	26.0	47.0	220.92067	21.0	4639.334	257.74078	0.07364022	113.44491577148438	0	1	0	0	0	0	0	2	2	0	0	144	ugly
pmd	391.json	3	3	3	0.0	0.34692975878715515	0.9578500317639024	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
pmd	847.json	3	3	3	0.0	0.2722562253475189	0.9253091112817488	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	16	noise
pmd	1318.json	3	3	3	0.0	0.5530652403831482	0.9175802271890744	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
pmd	9612.json	3	3	3	0.0	0.2595219314098358	0.6211175757576407	0	0	0	1	1	2.49	0	1	1	12.0	3.0	18.0	5.0	15.0	23.0	89.85848	10.0	898.58484	49.92138	0.029952828	129.58164978027344	0	0	0	1	0	0	0	2	0	0	0	21	noise
pmd	8745.json	20	18	18	0.05555555555555555	0.061161547899246216	6.51914563992154E-5	3	4	7	5	5	4.42	3	11	10	36.0	8.0	91.0	22.0	44.0	113.0	616.9158	49.5	30537.33	1696.5183	0.20563859	89.61737060546875	0	0	0	1	0	0	0	2	4	0	0	1132	ugly
pmd	9706.json	3	3	3	0.0	0.19966399669647217	0.6273357059808164	0	0	0	1	1	2.49	0	1	1	12.0	3.0	18.0	5.0	15.0	23.0	89.85848	10.0	898.58484	49.92138	0.029952828	129.58164978027344	0	0	0	1	0	0	0	2	0	0	0	21	noise
