Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
presto	23415.json	4	3	4	0.0	0.7450079917907715	0.7991769339511631	0	0	0	1	1	1.73	0	1	1	14.0	3.0	17.0	4.0	17.0	21.0	85.83672	9.333334	801.1428	44.507935	0.028612241	125.15930938720703	0	0	0	1	1	0	0	1	0	0	0	46	noise
presto	17951.json	4	3	4	0.0	0.07321256399154663	0.334154573555075	0	0	0	1	1	1.73	0	3	3	19.0	4.0	25.0	4.0	23.0	29.0	131.1833	9.5	1246.2413	69.23563	0.043727767	122.9537353515625	0	0	0	1	0	0	0	2	0	0	0	46	noise
presto	28260.json	22	18	19	0.0	1.158952945843339E-4	7.100247790764244E-8	9	6	15	5	5	3.07	2	19	9	32.0	11.0	125.0	31.0	43.0	156.0	846.4973	45.090908	38169.332	2120.5186	0.28216577	87.09632873535156	0	1	0	0	0	0	0	2	4	3	1	40	noise
presto	26984.json	7	6	7	0.0	0.005537711083889008	0.0787171144042351	1	1	2	2	2	2.8	1	1	1	19.0	5.0	39.0	12.0	24.0	51.0	233.83308	22.800001	5331.3945	296.1886	0.07794436	110.65229797363281	0	0	0	1	1	0	0	3	0	0	0	0	good
presto	31032.json	5	3	5	0.0	0.7592945694923401	0.8794323297027866	0	0	0	1	1	3.2	0	0	0	14.0	2.0	17.0	2.0	16.0	19.0	76.0	7.0	532.0	29.555555	0.025333334	122.17729187011719	0	0	0	1	0	0	0	1	0	0	0	60	noise
presto	31675.json	4	3	4	0.0	0.9200966358184814	0.9806472682882105	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
presto	30045.json	4	3	4	0.0	0.3742723762989044	0.9649350071133243	0	0	0	1	1	1.73	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	128.936767578125	0	0	0	1	0	0	1	0	0	0	0	0	good
presto	1139.json	11	9	11	0.0	0.33787617087364197	0.3101997041186021	2	1	3	3	3	3.74	2	2	2	22.0	5.0	40.0	11.0	27.0	51.0	242.49927	24.2	5868.4824	326.0268	0.08083309	102.91090393066406	1	0	0	0	0	0	0	1	0	0	0	560	ugly
presto	11122.json	7	3	7	0.0	0.1254991590976715	0.8564675085397735	0	0	0	1	1	5.6	0	4	3	14.0	4.0	25.0	6.0	18.0	31.0	129.26768	10.5	1357.3107	75.40615	0.04308923	113.9644546508789	0	0	0	1	0	0	0	0	0	0	0	40	noise
presto	27572.json	4	3	4	0.0	0.8276069164276123	0.9228304280906346	0	0	0	1	1	1.73	0	1	1	11.0	3.0	13.0	3.0	14.0	16.0	60.91768	5.5	335.04724	18.613735	0.020305892	126.94251251220703	0	0	0	1	0	0	0	0	0	0	0	0	good
