Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
sonarqube	3371.json	9	8	8	0.125	8.141003199853003E-4	0.00135936196652795	0	0	0	1	1	0.83	0	5	2	17.0	10.0	49.0	24.0	27.0	73.0	347.10678	20.400002	7080.979	393.38773	0.115702264	106.66495513916016	1	0	0	0	1	0	0	0	1	0	0	0	good
sonarqube	17951.json	3	3	3	0.0	0.2338838130235672	0.6339843462148005	0	0	0	1	1	0.94	0	2	2	14.0	3.0	18.0	4.0	17.0	22.0	89.92419	9.333334	839.2925	46.62736	0.029974729	129.57785034179688	0	0	0	1	0	0	0	0	0	0	0	35	noise
sonarqube	4804.json	9	9	9	0.0	0.019988223910331726	0.17348518871734447	0	0	0	2	2	1.13	1	6	6	21.0	3.0	37.0	9.0	24.0	46.0	210.90826	31.5	6643.6104	369.08948	0.070302755	107.11756134033203	1	0	0	0	0	0	0	1	1	0	0	171	noise
sonarqube	17104.json	3	3	3	0.0	0.4847971796989441	0.7162726138193966	0	0	0	1	1	0.94	0	2	2	12.0	4.0	16.0	4.0	16.0	20.0	80.0	6.0	480.0	26.666666	0.026666667	130.18594360351562	1	0	0	0	0	0	0	0	0	0	0	13	bad
sonarqube	15992.json	3	3	3	0.0	0.47157278656959534	0.5590725352556365	0	0	0	1	1	0.94	0	1	1	13.0	4.0	15.0	5.0	17.0	20.0	81.74926	8.125	664.2127	36.900707	0.027249753	130.07347106933594	0	0	0	1	0	0	0	1	0	0	0	24	noise
sonarqube	6035.json	11	11	11	0.0	0.06307927519083023	0.12350371829228936	0	0	0	2	2	1.43	1	4	4	20.0	9.0	38.0	15.0	29.0	53.0	257.473	16.666666	4291.2163	238.40091	0.08582433	102.82933807373047	1	0	0	0	0	0	0	0	1	0	0	82	noise
sonarqube	1139.json	9	9	9	0.0	0.2418806105852127	0.21997799279869443	0	0	0	2	2	2.67	1	3	2	21.0	5.0	40.0	10.0	26.0	50.0	235.022	21.0	4935.462	274.19232	0.078340665	106.55463409423828	0	0	0	1	0	0	0	0	3	0	0	0	good
sonarqube	2838.json	9	8	8	0.0	0.012509419582784176	0.0028635248705280412	3	2	5	2	2	1.2	1	9	8	26.0	6.0	55.0	13.0	32.0	68.0	340.0	28.166668	9576.667	532.03705	0.11333334	106.54252624511719	1	0	0	0	0	0	0	2	0	0	0	840	ugly
sonarqube	12585.json	4	4	4	0.0	0.8290437459945679	0.8209946145889112	0	0	0	1	1	1.0	0	0	0	14.0	3.0	17.0	4.0	17.0	21.0	85.83672	9.333334	801.1428	44.507935	0.028612241	125.15930938720703	0	0	0	1	0	0	0	1	0	0	0	4	bad
sonarqube	20544.json	5	5	5	0.0	0.10858877748250961	0.29887598457000697	1	1	2	2	2	1.5	1	3	3	14.0	6.0	24.0	9.0	20.0	33.0	142.62363	10.5	1497.5481	83.19711	0.04754121	118.67401885986328	1	0	0	0	0	0	0	0	0	0	0	28	noise
sonarqube	1421.json	3	3	3	0.0	0.5202938318252563	0.7108958177992392	0	0	0	1	1	0.94	0	2	2	13.0	3.0	17.0	4.0	16.0	21.0	84.0	8.666667	728.0	40.444443	0.028	129.93223571777344	0	0	0	1	0	0	0	1	0	0	0	10	bad
sonarqube	18353.json	3	3	3	0.0	0.793246865272522	0.9297934039417156	0	0	0	1	1	0.94	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
sonarqube	17014.json	3	3	3	0.0	0.0010117043275386095	0.08401487765373351	0	0	0	1	1	0.94	0	3	3	17.0	6.0	29.0	9.0	23.0	38.0	171.89536	12.75	2191.6658	121.75921	0.05729845	126.20867156982422	0	0	0	1	0	0	0	3	0	0	0	178	noise
sonarqube	1359.json	3	3	3	0.0	0.7449626326560974	0.8918347655979257	0	0	0	1	1	0.94	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	0	0	0	0	0	0	good
sonarqube	4868.json	3	3	3	0.0	0.6537790894508362	0.7120587958796248	0	0	0	1	1	0.94	0	1	1	14.0	2.0	16.0	3.0	16.0	19.0	76.0	10.5	798.0	44.333332	0.025333334	130.45266723632812	1	0	0	0	1	0	0	1	0	0	0	4	bad
