Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
spring-boot	11972.json	8	7	7	0.0	0.6708370447158813	0.04408905630628446	2	1	3	2	2	5.11	1	0	0	18.0	9.0	35.0	15.0	27.0	50.0	237.74438	15.0	3566.1658	198.12032	0.07924813	110.56603240966797	0	0	0	1	0	0	0	0	2	0	0	321	ugly
spring-boot	11749.json	12	10	10	0.2	0.030123364180326462	0.09074875582823255	2	2	4	3	3	4.62	1	4	4	18.0	6.0	40.0	19.0	24.0	59.0	270.5128	28.5	7709.6143	428.3119	0.09017093	103.88645935058594	1	0	0	0	0	0	0	1	0	0	0	454	ugly
spring-boot	4804.json	6	6	6	0.0	0.7648637294769287	0.5971015462143571	1	1	2	2	2	5.5	1	1	1	14.0	4.0	23.0	5.0	18.0	28.0	116.757904	8.75	1021.63165	56.757313	0.0389193	116.7609634399414	1	0	0	0	1	0	0	0	0	0	0	76	noise
spring-boot	9048.json	8	7	8	0.0	0.10731438547372818	0.3922123475323656	2	1	3	2	2	5.66	1	3	3	19.0	4.0	30.0	8.0	23.0	38.0	171.89536	19.0	3266.0117	181.4451	0.05729845	110.08924102783203	0	1	0	0	0	0	0	1	0	0	0	266	ugly
spring-boot	2809.json	5	4	5	0.0	0.1293344646692276	0.1694153274870463	0	0	0	1	1	8.76	0	4	4	19.0	4.0	31.0	5.0	23.0	36.0	162.84824	11.875	1933.8228	107.4346	0.054282747	118.21444702148438	0	0	0	1	0	0	0	0	1	0	0	725	ugly
spring-boot	6035.json	8	8	8	0.0	0.3281007707118988	0.07103854844545064	4	2	6	3	3	7.75	2	3	3	20.0	7.0	37.0	12.0	27.0	49.0	232.98949	17.142857	3994.1055	221.89474	0.07766316	108.27788543701172	1	0	0	0	0	0	0	1	1	0	0	43	noise
spring-boot	8754.json	18	16	18	0.0	0.1030421257019043	0.0024390255973788114	1	1	2	3	3	9.24	3	7	7	30.0	11.0	63.0	21.0	41.0	84.0	450.03436	28.636364	12887.348	715.96375	0.15001145	91.71749114990234	1	0	0	0	0	0	0	1	2	0	0	65	noise
spring-boot	2838.json	3	3	3	0.0	6.043301546014845E-4	0.7606023130851904	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
spring-boot	4561.json	6	6	6	0.0	0.1661718338727951	0.5035107136746577	1	1	2	2	2	5.5	1	1	1	14.0	4.0	26.0	5.0	18.0	31.0	129.26768	8.75	1131.0923	62.83846	0.04308923	116.231689453125	0	1	0	0	0	0	0	0	0	0	0	8	bad
spring-boot	7316.json	3	3	3	0.0	0.7074628472328186	0.834313893569864	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
spring-boot	8839.json	6	3	4	0.5	0.8173836469650269	0.45358184996799855	0	0	0	1	1	8.0	0	3	3	16.0	5.0	22.0	8.0	21.0	30.0	131.76952	12.8	1686.6498	93.70277	0.043923173	122.93054962158203	0	0	0	1	0	0	0	1	0	0	0	244	noise
spring-boot	5205.json	3	3	3	0.0	0.7074628472328186	0.834313893569864	0	0	0	1	1	3.77	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	1	0	0	1	1	0	0	0	0	good
spring-boot	11687.json	5	5	5	0.0	0.6091386675834656	0.05095285045744211	0	0	0	1	1	3.92	0	2	2	22.0	4.0	35.0	8.0	26.0	43.0	202.11891	22.0	4446.616	247.03424	0.06737297	117.09105682373047	0	0	0	1	0	0	0	1	2	1	1	316	ugly
spring-boot	5652.json	3	3	3	0.0	0.06722114235162735	0.7866406652357654	0	0	0	1	1	3.77	0	0	0	13.0	3.0	14.0	3.0	16.0	17.0	68.0	6.5	442.0	24.555555	0.022666667	131.03103637695312	0	0	0	1	0	0	1	0	0	0	0	0	good
spring-boot	10574.json	3	3	3	0.0	0.4263903796672821	0.7017657830467563	0	0	0	1	1	3.77	0	1	1	13.0	3.0	16.0	4.0	16.0	20.0	80.0	8.666667	693.3334	38.51852	0.026666667	130.18594360351562	0	1	0	0	0	0	0	1	0	0	0	22	bad
spring-boot	8982.json	26	24	26	0.0	0.0	1.9435460108846608E-9	6	5	11	7	7	7.59	4	11	6	32.0	15.0	134.0	41.0	47.0	175.0	972.05304	43.733334	42511.12	2361.729	0.32401767	80.83589935302734	1	0	0	0	0	0	0	2	5	0	0	29	noise
spring-boot	5382.json	14	13	14	0.0	0.2008512318134308	0.05546845716682557	1	3	4	4	4	7.77	1	2	1	19.0	8.0	49.0	17.0	27.0	66.0	313.82257	20.1875	6335.293	351.96072	0.10460752	97.43336486816406	0	0	0	1	0	0	0	1	1	0	0	0	good
spring-boot	10867.json	9	9	9	0.0	0.3470481336116791	0.14891893548547913	1	1	2	3	3	7.33	2	2	2	22.0	4.0	39.0	9.0	26.0	48.0	225.62112	24.75	5584.123	310.22906	0.07520704	106.53690338134766	0	0	0	1	0	0	0	1	2	0	0	0	good
spring-boot	213.json	3	3	3	0.0	0.002316456288099289	0.8282445423441789	0	0	0	1	1	3.77	0	0	0	11.0	1.0	15.0	1.0	12.0	16.0	57.3594	5.5	315.4767	17.526484	0.019119801	131.91592407226562	0	0	0	1	1	0	0	0	0	0	0	17	bad
spring-boot	5873.json	6	6	6	0.0	0.13260965049266815	0.5511506338529027	1	1	2	2	2	5.5	1	3	2	15.0	2.0	29.0	3.0	17.0	32.0	130.79881	11.25	1471.4867	81.74926	0.043599606	116.17046356201172	1	0	0	0	0	0	0	0	0	0	0	0	good
spring-boot	10924.json	5	5	5	0.0	0.1013413742184639	0.08285793024119373	0	0	0	1	1	3.92	0	3	3	20.0	7.0	29.0	9.0	27.0	38.0	180.68573	12.857142	2323.102	129.06122	0.060228575	117.67395782470703	1	0	0	0	0	0	0	1	1	0	0	121	noise
spring-boot	2893.json	15	9	12	0.0	0.009551671333611012	0.0016238650111888755	7	2	9	3	3	7.63	1	6	5	21.0	15.0	59.0	24.0	36.0	83.0	429.1038	16.800001	7208.9443	400.49692	0.14303459	98.53367614746094	0	0	0	1	0	0	0	2	0	0	0	1011	ugly
