Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
spring-framework	1182.json	3	3	3	0.0	0.04687914997339249	0.3261310364441619	0	0	0	1	1	3.77	0	1	1	15.0	4.0	22.0	6.0	19.0	28.0	118.94197	11.25	1338.0972	74.33873	0.039647322	128.1235809326172	0	0	0	1	0	0	0	2	0	0	0	0	good
spring-framework	3371.json	3	3	3	0.0	0.6244064569473267	0.8668640242731054	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
spring-framework	23415.json	3	3	3	0.0	0.6831643581390381	0.7700694565446675	0	0	0	1	1	3.77	0	1	1	10.0	3.0	13.0	4.0	13.0	17.0	62.907475	6.666667	419.38318	23.299065	0.020969158	131.43582153320312	1	0	0	0	0	0	0	1	0	0	0	5	bad
spring-framework	20958.json	3	3	3	0.0	0.021425863727927208	0.8032395330297051	0	0	0	1	1	3.77	0	0	0	10.0	4.0	11.0	4.0	14.0	15.0	57.110325	5.0	285.55164	15.863979	0.019036775	131.9385528564453	0	1	0	0	0	0	0	1	0	0	0	0	good
spring-framework	11749.json	10	8	10	0.0	0.0	5.752696813745598E-6	4	2	6	3	3	3.67	2	3	2	28.0	13.0	79.0	27.0	41.0	106.0	567.9005	29.076923	16512.799	917.3777	0.18930016	100.02999877929688	1	0	0	0	0	0	0	7	1	0	0	0	good
spring-framework	801.json	3	3	3	0.0	0.014587339013814926	0.24624399169639824	0	0	0	1	1	3.77	0	2	2	17.0	4.0	24.0	7.0	21.0	31.0	136.16183	14.875	2025.4073	112.52263	0.04538728	127.42049407958984	0	0	0	1	0	0	0	2	0	0	0	34	noise
spring-framework	23502.json	3	3	3	0.0	0.9825149178504944	0.7311686009450689	0	0	0	1	1	3.77	0	0	0	12.0	2.0	14.0	3.0	14.0	17.0	64.72504	9.0	582.5253	32.36252	0.021575011	131.28770446777344	1	0	0	0	0	0	0	1	0	0	0	0	good
spring-framework	4804.json	3	3	3	0.0	0.14294128119945526	0.4288917351650939	0	0	0	1	1	3.77	0	3	3	17.0	2.0	23.0	3.0	19.0	26.0	110.44612	12.75	1408.188	78.232666	0.036815375	128.50894165039062	0	1	0	0	0	0	0	1	0	0	0	0	good
spring-framework	9048.json	5	5	5	0.0	0.8375298976898193	0.7699698005678515	1	1	2	2	2	5.99	1	1	1	14.0	2.0	19.0	2.0	16.0	21.0	84.0	7.0	588.0	32.666668	0.028	121.4268569946289	0	0	0	1	0	0	0	0	0	0	0	0	good
spring-framework	28601.json	3	3	3	0.0	0.059846192598342896	0.5538577836943616	0	0	0	1	1	3.77	0	0	0	15.0	3.0	18.0	3.0	18.0	21.0	87.56843	7.5	656.7632	36.486843	0.029189477	129.7158966064453	0	0	0	1	0	0	1	0	0	0	0	20	noise
spring-framework	28274.json	4	4	4	0.0	0.6257001757621765	0.8867808148534833	0	0	0	1	1	2.0	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	53	noise
spring-framework	26984.json	10	10	10	0.0	0.10399191826581955	0.08207832088305149	2	2	4	3	3	7.2	2	4	4	17.0	8.0	39.0	13.0	25.0	52.0	241.48051	13.8125	3335.4497	185.30276	0.0804935	104.47682189941406	1	0	0	0	0	0	0	1	1	0	0	0	good
spring-framework	30045.json	3	3	3	0.0	0.35569292306900024	0.6314056556605668	0	0	0	1	1	3.77	0	1	1	14.0	3.0	17.0	4.0	17.0	21.0	85.83672	9.333334	801.1428	44.507935	0.028612241	129.81976318359375	0	1	0	0	0	0	0	1	0	0	0	87	noise
spring-framework	2809.json	29	20	25	0.08	0.06614551693201065	7.250463262104113E-5	6	6	12	6	6	12.76	3	3	3	30.0	11.0	93.0	35.0	41.0	128.0	685.76666	47.727272	32729.771	1818.3207	0.2285889	83.51541900634766	1	0	0	0	0	0	0	0	2	0	0	0	good
