Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
voldemort	1182.json	9	8	9	0.0	0.040706124156713486	0.021715506805538798	2	1	3	2	2	1.47	1	3	3	21.0	11.0	42.0	16.0	32.0	58.0	290.0	15.272728	4429.0913	246.06062	0.096666664	105.46157836914062	0	0	0	1	1	0	0	1	1	0	0	0	good
voldemort	3371.json	4	3	4	0.0	0.004602921660989523	0.04617733876051268	0	0	0	1	1	1.66	0	3	3	18.0	10.0	31.0	10.0	28.0	41.0	197.10155	9.0	1773.914	98.55077	0.065700516	120.8366928100586	0	0	0	1	1	0	0	1	0	0	0	0	good
voldemort	801.json	3	3	3	0.0	0.04244431480765343	0.6465478032761675	0	0	0	1	1	1.89	0	1	1	13.0	5.0	17.0	6.0	18.0	23.0	95.90828	7.8	748.0846	41.560257	0.031969428	129.2428436279297	0	0	0	1	0	0	0	1	0	0	0	0	good
voldemort	4804.json	4	4	4	0.0	0.4075051248073578	0.659763138508313	0	0	0	1	1	1.0	0	1	1	13.0	6.0	19.0	6.0	19.0	25.0	106.19819	6.5	690.2882	38.349346	0.035399396	124.05243682861328	0	0	0	1	0	0	0	0	0	0	0	61	noise
voldemort	2809.json	7	3	7	0.0	3.3258312032558024E-4	0.010543854868832003	0	0	0	1	1	3.46	0	3	3	19.0	11.0	39.0	19.0	30.0	58.0	284.59964	16.409092	4670.0215	259.44565	0.094866544	109.8606185913086	0	0	0	1	1	0	0	2	0	0	0	0	good
voldemort	6035.json	7	6	7	0.0	0.016073152422904968	0.03366539166420125	1	1	2	2	2	3.02	1	3	3	20.0	10.0	41.0	13.0	30.0	54.0	264.97208	13.0	3444.637	191.36871	0.088324025	110.00220489501953	1	0	0	0	0	0	0	0	0	0	0	203	ugly
voldemort	1139.json	9	8	9	0.0	0.040706124156713486	0.021715506805538798	2	1	3	2	2	1.47	1	3	3	21.0	11.0	42.0	16.0	32.0	58.0	290.0	15.272728	4429.0913	246.06062	0.096666664	105.46157836914062	0	0	0	1	1	0	0	1	1	0	0	0	good
voldemort	8754.json	14	12	12	0.0	0.023841101676225662	3.745098477274349E-5	1	1	2	3	3	3.82	2	9	7	30.0	11.0	73.0	28.0	41.0	101.0	541.11273	38.181816	20660.666	1147.8148	0.18037091	97.32765197753906	0	0	0	1	1	0	0	2	2	0	0	829	ugly
voldemort	2838.json	5	5	5	0.0	0.020128972828388214	0.16608719735225133	0	0	0	1	1	0.98	0	1	1	13.0	12.0	27.0	14.0	25.0	41.0	190.3981	7.583333	1443.8522	80.21401	0.063466035	117.40169525146484	0	0	0	1	0	0	0	1	0	0	0	0	good
voldemort	4561.json	7	3	7	0.0	0.002466498641297221	0.024978285968056152	0	0	0	1	1	3.46	0	3	3	20.0	11.0	37.0	15.0	31.0	52.0	257.61823	13.636364	3512.9758	195.16533	0.08587274	110.3785629272461	0	0	0	1	1	0	0	2	0	0	0	0	good
