Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
wicket	1182.json	4	3	4	0.0	0.7676126956939697	0.8128851031167657	0	0	0	1	1	3.46	0	0	0	13.0	2.0	14.0	4.0	15.0	18.0	70.32403	13.0	914.21234	50.789574	0.023441343	126.19583892822266	0	0	0	1	0	0	1	1	0	0	0	0	good
wicket	3371.json	7	5	6	0.0	0.7361380457878113	0.8461193546959036	1	1	2	2	2	5.96	0	2	2	14.0	2.0	20.0	3.0	16.0	23.0	92.0	10.5	966.0	53.666668	0.030666666	118.00019836425781	0	0	0	1	0	0	0	1	0	0	0	0	good
wicket	4804.json	4	3	4	0.0	0.03492828086018562	0.5247728771866726	0	0	0	1	1	3.46	0	2	2	14.0	4.0	19.0	6.0	18.0	25.0	104.24813	10.5	1094.6053	60.81141	0.034749378	124.1488037109375	0	0	0	1	0	0	0	1	0	0	0	61	noise
wicket	1781.json	5	4	5	0.0	0.7334941029548645	0.7229902486398502	0	0	0	1	1	3.92	0	1	1	14.0	4.0	18.0	7.0	18.0	25.0	104.24813	12.25	1277.0396	70.94664	0.034749378	120.53388214111328	0	0	0	1	1	0	0	1	1	0	0	0	good
wicket	2809.json	6	5	6	0.0	0.06525997072458267	0.34388843712804246	0	0	0	1	1	4.0	0	3	3	16.0	6.0	27.0	8.0	22.0	35.0	156.08011	10.666667	1664.8545	92.49191	0.052026704	115.48157501220703	1	0	0	0	0	0	0	0	1	0	0	185	ugly
wicket	6035.json	10	7	9	0.0	0.07868285477161407	0.11315465394662644	2	1	3	2	2	5.03	1	6	5	19.0	6.0	41.0	9.0	25.0	50.0	232.19281	14.25	3308.7476	183.8193	0.0773976	106.61760711669922	0	1	0	0	0	0	0	0	1	0	0	0	good
wicket	8754.json	4	3	4	0.0	0.37481775879859924	0.7492305248341528	0	0	0	1	1	3.46	0	1	1	12.0	3.0	17.0	4.0	15.0	21.0	82.0447	8.0	656.3576	36.46431	0.027348233	125.39425659179688	0	0	0	1	0	0	0	1	0	0	0	101	noise
wicket	2838.json	4	3	4	0.0	0.3711521327495575	0.8767845862544917	0	0	0	1	1	3.46	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	126.62725830078125	0	0	0	1	0	0	1	1	0	0	0	34	noise
wicket	7648.json	10	8	10	0.0	0.4767445921897888	0.7344482518768967	0	0	0	1	1	7.84	1	2	2	17.0	3.0	31.0	5.0	20.0	36.0	155.58942	14.166666	2204.1833	122.45463	0.051863138	107.22257232666016	0	0	0	1	0	0	0	1	0	0	0	13	bad
wicket	6661.json	16	12	16	0.0	0.16422514617443085	0.004223001837619983	4	3	7	4	4	7.42	2	5	5	28.0	11.0	57.0	18.0	39.0	75.0	396.40518	22.90909	9081.282	504.5157	0.13213506	94.05538940429688	0	0	0	1	0	0	0	2	1	0	0	289	ugly
