Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
wildfly	11972.json	7	7	7	0.0	0.09855338931083679	0.04164371748197521	1	1	2	2	2	2.56	0	3	3	25.0	7.0	37.0	12.0	32.0	49.0	245.0	21.428572	5250.0	291.66666	0.08166666	110.40971374511719	1	0	0	0	1	0	0	2	1	0	0	160	noise
wildfly	1182.json	3	3	3	0.0	0.18631048500537872	0.6274386818627279	0	0	0	1	1	1.89	0	1	1	15.0	3.0	19.0	4.0	18.0	23.0	95.90828	10.0	959.08276	53.282375	0.031969428	129.2428436279297	0	0	0	0	0	0	0	1	0	0	0	0	good
wildfly	3371.json	3	3	3	0.0	0.03353726491332054	0.2638695757580366	0	0	0	1	1	1.89	0	2	1	17.0	3.0	24.0	5.0	20.0	29.0	125.335915	14.166666	1775.592	98.644005	0.04177864	127.8512954711914	0	0	0	1	0	0	0	1	0	0	0	24	bad
wildfly	11749.json	3	3	3	0.0	0.2876700460910797	0.8988019819855921	0	0	0	1	1	1.89	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	1	0	0	0	0	17	bad
wildfly	801.json	6	7	6	0.0	0.0071685840375721455	0.003088040574568492	1	1	2	2	2	1.89	0	2	2	22.0	11.0	45.0	17.0	33.0	62.0	312.75244	17.0	5316.7915	295.37732	0.10425081	111.6373519897461	0	0	0	1	0	0	0	1	1	1	1	6	bad
wildfly	14173.json	3	3	3	0.0	0.24728432297706604	0.8077865572178538	0	0	0	1	1	1.89	0	0	0	14.0	1.0	15.0	1.0	15.0	16.0	62.51025	7.0	437.57175	24.309542	0.02083675	131.46876525878906	0	0	0	1	0	0	1	0	0	0	0	31	noise
wildfly	4804.json	3	3	3	0.0	0.13690242171287537	0.3713319145723144	0	0	0	1	1	1.89	0	1	1	16.0	4.0	21.0	6.0	20.0	27.0	116.692055	12.0	1400.3047	77.79471	0.03889735	128.22288513183594	0	0	0	1	0	0	0	2	0	0	0	0	good
wildfly	17104.json	3	3	3	0.0	0.28980183601379395	0.9485074892186632	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
wildfly	15992.json	3	3	3	0.0	0.33322975039482117	0.9101763198164167	0	0	0	1	1	1.89	0	1	1	10.0	3.0	12.0	3.0	13.0	15.0	55.506596	5.0	277.533	15.418499	0.018502198	132.086669921875	1	0	0	0	0	0	0	0	0	0	0	0	good
wildfly	9048.json	3	3	3	0.0	0.10014934837818146	0.7877721036301297	0	0	0	1	1	1.89	0	0	0	14.0	2.0	16.0	2.0	16.0	18.0	72.0	7.0	504.0	28.0	0.024	130.7338104248047	0	0	0	1	0	0	1	0	0	0	0	0	good
wildfly	12156.json	3	3	3	0.0	0.531220018863678	0.8709802118430621	0	0	0	1	1	1.89	0	1	1	11.0	3.0	14.0	3.0	14.0	17.0	64.72504	5.5	355.9877	19.777094	0.021575011	131.28770446777344	0	0	0	1	0	0	1	0	0	0	0	0	good
