Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
xerces2-j	1182.json	4	3	4	0.0	0.9136107563972473	0.957670619538832	0	0	0	1	1	1.66	0	1	1	10.0	3.0	12.0	3.0	13.0	15.0	55.506596	5.0	277.533	15.418499	0.018502198	127.42622375488281	0	0	0	1	0	0	1	0	0	0	0	0	good
xerces2-j	3371.json	6	6	6	0.0	0.8299559354782104	0.7962887914108927	2	1	3	2	2	2.75	1	1	1	17.0	4.0	25.0	5.0	21.0	30.0	131.76952	10.625	1400.0511	77.78062	0.043923173	116.13201141357422	1	0	0	0	0	0	0	0	0	0	0	0	good
xerces2-j	801.json	4	3	4	0.0	0.8861075639724731	0.9491627509844611	0	0	0	1	1	1.73	0	1	1	10.0	3.0	12.0	3.0	13.0	15.0	55.506596	5.0	277.533	15.418499	0.018502198	127.42622375488281	0	0	0	1	0	0	1	0	0	0	0	0	good
xerces2-j	4804.json	3	3	3	0.3333333333333333	0.05419876053929329	0.6324373353876731	0	0	0	1	1	1.89	0	0	0	14.0	4.0	15.0	7.0	18.0	22.0	91.73836	12.25	1123.7949	62.433052	0.030579453	129.47398376464844	0	0	0	1	0	0	0	2	0	0	0	0	good
xerces2-j	9048.json	3	3	3	0.0	0.5088682770729065	0.7851279098883973	0	0	0	1	1	0.94	0	1	1	11.0	4.0	13.0	5.0	15.0	18.0	70.32403	6.875	483.4777	26.85987	0.023441343	130.85629272460938	0	0	0	1	0	0	0	1	0	0	0	0	good
xerces2-j	2809.json	31	28	28	0.14285714285714285	0.00862225703895092	0.002916289344811704	6	8	14	8	6	5.41	4	8	4	26.0	9.0	98.0	28.0	35.0	126.0	646.2897	40.444447	26138.828	1452.1571	0.21542989	81.52780151367188	0	0	0	1	0	0	0	0	4	0	0	724	ugly
xerces2-j	6035.json	16	14	14	0.21428571428571427	0.7839459180831909	0.11093126378900624	3	3	6	4	4	2.22	1	3	2	20.0	6.0	58.0	15.0	26.0	73.0	343.1321	25.0	8578.303	476.5724	0.11437737	96.96907043457031	0	0	0	1	0	0	0	0	2	2	1	0	good
xerces2-j	1139.json	4	3	4	0.0	0.5156047940254211	0.9464360984444545	0	0	0	1	1	1.73	0	1	1	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	127.27810668945312	0	0	0	1	0	0	0	1	0	0	0	0	good
xerces2-j	8541.json	9	7	9	0.0	0.4894813597202301	0.9056109224491498	1	1	2	2	2	2.95	1	1	1	16.0	3.0	26.0	6.0	19.0	32.0	135.93369	16.0	2174.939	120.82994	0.045311227	109.40169525146484	0	0	0	0	0	0	0	0	0	0	0	25	noise
xerces2-j	1421.json	15	3	4	2.25	0.004884380381554365	0.9968688542118612	0	0	0	1	1	5.43	0	1	1	13.0	3.0	15.0	4.0	16.0	19.0	76.0	8.666667	658.6667	36.592594	0.025333334	125.79222106933594	0	0	0	1	1	0	0	1	0	0	0	673	ugly
xerces2-j	711.json	13	10	12	0.0	0.15512923896312714	0.8772140782276147	1	2	3	3	3	3.45	1	2	1	18.0	4.0	34.0	10.0	22.0	44.0	196.215	22.5	4414.8374	245.26874	0.065405	102.60261535644531	0	0	0	1	0	0	0	0	1	0	0	0	good
xerces2-j	7648.json	33	30	30	0.0	0.0	1.2131385301271192E-4	1	22	23	24	1	1.63	2	0	0	14.0	27.0	89.0	52.0	41.0	141.0	755.41486	13.481482	10184.111	565.78394	0.25180495	75.91881561279297	1	0	0	0	0	0	0	1	0	0	0	813	ugly
xerces2-j	4561.json	3	2	3	0.0	0.8132361173629761	0.8910929366170405	0	0	0	1	1	0.0	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	0	0	0	1	0	0	0	1	0	0	0	193	ugly
xerces2-j	6661.json	121	103	103	0.019417475728155338	0.0	2.342116518472317E-101	0	0	0	1	1	0.55	0	40	3	21.0	85.0	799.0	468.0	106.0	1267.0	8524.275	57.811764	492803.4	27377.967	2.8414252	48.6238899230957	0	0	0	0	1	0	0	1	44	4	1	908	ugly
xerces2-j	1170.json	4	3	4	0.0	0.9082345366477966	0.9232450348855036	0	0	0	1	1	1.73	0	2	2	11.0	3.0	14.0	3.0	14.0	17.0	64.72504	5.5	355.9877	19.777094	0.021575011	126.62725830078125	0	0	0	1	0	0	1	0	0	0	0	0	good
xerces2-j	1359.json	3	3	3	0.0	0.7655900716781616	0.946107151911649	0	0	0	1	1	1.89	0	0	0	8.0	3.0	10.0	3.0	11.0	13.0	44.97261	4.0	179.89044	9.993914	0.01499087	133.18099975585938	0	0	0	0	0	0	0	1	0	0	0	491	ugly
xerces2-j	4868.json	4	3	4	0.25	0.2629620432853699	0.6284633824427064	0	0	0	1	1	13.81	0	2	2	16.0	2.0	23.0	4.0	18.0	27.0	112.58798	16.0	1801.4077	100.07821	0.037529327	123.74861145019531	0	1	0	0	1	0	0	1	0	0	0	53	noise
xerces2-j	6465.json	12	10	11	0.09090909090909091	0.6154922842979431	0.9318849270214384	2	2	4	3	3	3.83	2	0	0	16.0	5.0	30.0	11.0	21.0	41.0	180.085	17.6	3169.496	176.08311	0.060028337	104.45826721191406	0	0	0	1	0	0	0	0	0	0	0	315	ugly
xerces2-j	6633.json	8	7	7	0.14285714285714285	0.8265562057495117	0.5469983776124497	1	1	2	2	2	2.4	1	1	1	18.0	6.0	30.0	9.0	24.0	39.0	178.81354	13.5	2413.9827	134.11015	0.059604514	112.04727172851562	0	0	0	1	0	0	0	0	1	2	2	0	good
xerces2-j	7316.json	3	3	3	0.0	0.9326223731040955	0.963911506773457	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	0	good
xerces2-j	8378.json	8	8	8	0.0	0.13541223108768463	0.30957434362768005	2	2	4	2	2	2.4	1	0	0	17.0	8.0	29.0	13.0	25.0	42.0	195.04196	13.8125	2694.017	149.66762	0.06501399	109.43232727050781	0	0	0	0	0	0	0	1	2	0	0	0	good
xerces2-j	4857.json	8	3	8	0.125	3.0865732696838677E-4	0.3684181972622547	0	0	0	1	1	15.37	0	6	6	20.0	2.0	39.0	8.0	22.0	47.0	209.59329	40.0	8383.731	465.76285	0.06986443	109.28816986083984	0	1	0	0	1	0	0	1	0	0	0	8	bad
xerces2-j	5358.json	3	3	3	0.0	0.2135571539402008	0.8015271057421575	0	0	0	1	1	1.89	0	1	1	12.0	3.0	15.0	4.0	15.0	19.0	74.23092	8.0	593.84735	32.99152	0.024743639	130.57513427734375	0	1	0	0	0	0	0	1	0	0	0	0	good
xerces2-j	6940.json	11	9	10	0.0	0.4063647389411926	0.01997488186402741	5	2	7	3	3	3.92	2	4	4	25.0	7.0	49.0	17.0	32.0	66.0	330.0	30.357143	10017.857	556.5476	0.11	102.85283660888672	1	0	0	0	0	0	0	2	3	0	0	0	good
xerces2-j	7128.json	3	3	3	0.0	0.01906409114599228	0.12088937098527049	0	0	0	1	1	3.77	0	0	0	15.0	8.0	23.0	8.0	23.0	31.0	140.23042	7.5	1051.7281	58.42934	0.046743475	127.26738739013672	0	0	0	1	0	0	0	3	0	0	0	0	good
xerces2-j	8631.json	8	8	8	0.0	0.8181411027908325	0.7186786189342926	0	0	0	1	1	1.73	0	1	1	11.0	10.0	25.0	12.0	21.0	37.0	162.51575	6.6000004	1072.604	59.58911	0.054171916	110.61101531982422	0	0	0	1	0	0	0	0	0	0	0	315	ugly
xerces2-j	8839.json	3	3	3	0.0	0.5627378821372986	0.7660984683320053	0	0	0	1	1	1.89	0	1	1	11.0	4.0	13.0	4.0	15.0	17.0	66.41714	5.5	365.29425	20.294125	0.022139046	131.1535186767578	0	0	0	1	0	0	1	0	0	0	0	0	good
xerces2-j	5893.json	3	3	3	0.3333333333333333	0.9315362572669983	0.9172543042989959	0	0	0	1	1	1.89	0	0	0	12.0	1.0	15.0	1.0	13.0	16.0	59.207035	6.0	355.24222	19.73568	0.019735679	131.75106811523438	0	0	0	1	0	0	0	0	0	0	0	0	good
xerces2-j	5205.json	15	10	12	0.16666666666666666	0.5381805896759033	0.4630059540392141	3	2	5	3	3	4.01	2	2	2	23.0	7.0	41.0	12.0	30.0	53.0	260.0652	19.714287	5126.9995	284.8333	0.08668839	101.13766479492188	0	1	0	0	0	0	0	1	1	0	0	0	good
xerces2-j	5959.json	41	20	26	0.23076923076923078	0.0027212733402848244	0.685800221796257	9	8	17	5	5	5.42	1	5	4	25.0	13.0	80.0	25.0	38.0	105.0	551.0324	24.038462	13245.972	735.8873	0.18367746	84.24751281738281	0	0	0	1	0	0	0	3	2	0	0	2425	ugly
xerces2-j	3874.json	6	5	6	0.0	0.06448994576931	0.3904993627624258	1	1	2	2	2	3.27	1	1	1	17.0	5.0	26.0	9.0	22.0	35.0	156.08011	15.299999	2388.0256	132.66809	0.052026704	115.25157928466797	0	0	0	1	0	0	0	3	0	0	0	0	good
xerces2-j	2413.json	18	6	7	1.0	0.9635728001594543	0.9669125303042967	0	0	0	1	1	1.9	0	5	5	19.0	5.0	32.0	8.0	24.0	40.0	183.3985	15.2	2787.6572	154.86984	0.061132833	112.14561462402344	0	1	0	0	0	0	0	0	1	0	0	0	good
xerces2-j	1058.json	4	3	4	0.0	0.9061808586120605	0.9465457794365605	0	0	0	1	1	1.66	0	1	1	10.0	3.0	12.0	3.0	13.0	15.0	55.506596	5.0	277.533	15.418499	0.018502198	127.42622375488281	0	0	0	1	0	0	1	0	0	0	0	0	good
xerces2-j	5652.json	3	3	3	0.0	0.035333115607500076	0.31326140781251016	0	0	0	1	1	1.89	0	2	2	16.0	5.0	23.0	7.0	21.0	30.0	131.76952	11.2	1475.8186	81.98992	0.043923173	127.59099578857422	0	0	0	1	1	0	0	2	0	0	0	0	good
xerces2-j	8982.json	3	3	3	0.0	0.5320877432823181	0.7247214630723801	0	0	0	1	1	0.94	0	1	1	11.0	4.0	13.0	5.0	15.0	18.0	70.32403	6.875	483.4777	26.85987	0.023441343	130.85629272460938	0	0	0	1	0	0	0	1	0	0	0	0	good
xerces2-j	5382.json	3	3	3	0.0	0.5296506881713867	0.534077462515808	0	0	0	1	1	1.89	0	1	1	17.0	3.0	22.0	6.0	20.0	28.0	121.013985	17.0	2057.2378	114.290985	0.040337995	128.0337677001953	1	0	0	0	0	0	0	2	0	2	2	0	good
xerces2-j	4217.json	13	12	12	0.08333333333333333	0.039253104478120804	0.31675451389889075	2	2	4	3	3	3.34	2	4	2	17.0	7.0	42.0	14.0	24.0	56.0	256.7579	17.0	4364.8843	242.49358	0.08558597	101.20421600341797	1	0	0	0	0	0	0	0	0	0	0	378	ugly
xerces2-j	213.json	28	21	26	0.0	4.5256136218085885E-4	6.271206170772229E-7	4	4	8	4	4	3.18	2	23	14	37.0	9.0	114.0	38.0	46.0	152.0	839.5814	78.111115	65580.64	3643.369	0.27986047	82.28773498535156	1	0	0	0	0	0	0	1	3	0	0	0	good
xerces2-j	6413.json	26	25	25	0.0	0.0	1.4552508942506105E-8	0	1	1	2	2	1.6	1	19	3	21.0	21.0	115.0	61.0	42.0	176.0	949.04785	30.499998	28945.957	1608.1088	0.3163493	82.7458267211914	0	1	0	0	0	0	0	1	1	0	0	343	ugly
