Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
2614	7,10	7,9	7,9	0.0,0.0	0.1416398584842682,0.4696441888809204	0.5621211446386937,0.41852378472292234	0,2	0,1	0,3	2,3	2,3	2.56,2.67	1,1	3,4	2,4	17.0,20.0	4.0,5.0	30.0,37.0	7.0,10.0	21.0,25.0	37.0,47.0	162.51575,218.26123	14.875,20.0	2417.4216,4365.2246	134.30121,242.51248	0.054171916,0.07275374	112.54422760009766,106.70935821533203	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	1,1	0,0	0,0	jfarcand,Jeanfrancois Arcand	0,560	1098,1658	29/04/13-27/04/10,10/11/14-27/04/10	0,4	0,5	0,66	0,14	0,14	0,0	0,1	0,1	801.json	66	noise
2858	4,4,5	4,4,5	4,4,5	0.0,0.0,0.0	0.26008930802345276,0.26008930802345276,0.13818985223770142	0.7409756986749403,0.7409756986749403,0.7061437382343656	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	2.0,2.0,1.96	0,0,0	3,3,4	3,3,3	12.0,12.0,12.0	3.0,3.0,3.0	20.0,20.0,25.0	3.0,3.0,3.0	15.0,15.0,15.0	23.0,23.0,28.0	89.85848,89.85848,109.39294	6.0,6.0,6.0	539.1509,539.1509,656.3576	29.952827,29.952827,36.46431	0.029952828,0.029952828,0.03646431	124.92120361328125,124.92120361328125,120.28338623046875	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	Ryan Lubke,Ryan Lubke,jfarcand	0,2,860	854,856,1714	28/08/12-27/04/10,30/08/12-27/04/10,05/01/15-27/04/10	0,4,1	0,4,1	0,0,26	0,14,6	0,14,6	0,0,0	0,0,1	0,0,1	2809.json	26	noise
2043	21,16	17,13	17,13	0.0,0.0	0.2622670829296112,0.5624115467071533	0.05557631477001017,0.19948859928932924	2,2	4,3	6,5	5,4	5,4	2.58,2.65	1,1	4,2	4,2	24.0,24.0	11.0,8.0	62.0,49.0	20.0,14.0	35.0,32.0	82.0,63.0	420.6012,315.0	21.818182,21.0	9176.754,6615.0	509.81967,367.5	0.14020039,0.105	92.5351791381836,98.61444091796875	1,1	0,0	0,0	0,0	0,0	0,0	0,0	2,2	0,0	0,0	0,0	Dmitry.Treskunov,Jeanfrancois Arcand	0,6	1668,1674	20/11/14-27/04/10,26/11/14-27/04/10	0,1	0,7	0,185	0,3	0,3	0,0	0,0	0,0	2838.json	185	noise
2039	8,8,8	8,8,8	8,8,8	0.0,0.0,0.0	0.1797625571489334,0.1754266619682312,0.3878587782382965	0.0803672902905144,0.10311085574142641,0.3405561157601056	1,1,1	1,1,1	2,2,2	2,2,2	2,2,2	2.4,2.4,2.4	1,1,1	5,5,3	5,5,3	20.0,19.0,17.0	7.0,7.0,7.0	38.0,37.0,31.0	13.0,13.0,12.0	27.0,26.0,24.0	51.0,50.0,43.0	242.49927,235.022,197.15338	18.571428,17.642857,14.571428	4503.5576,4146.4595,2872.8064	250.19765,230.35886,159.60036	0.08083309,0.078340665,0.065717794	108.29985046386719,108.46271514892578,109.3763427734375	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0,0,0	0,0,0	Jeanfrancois Arcand,Jeanfrancois Arcand,jfarcand	0,3,109	1672,1675,1782	24/11/14-27/04/10,27/11/14-27/04/10,14/03/15-27/04/10	0,1,1	0,2,2	0,6,57	0,11,19	0,11,19	0,0,0	0,0,1	0,0,1	1421.json	63	noise
3108	3,5,2,5,15,15	3,5,2,5,13,13	3,5,2,5,13,13	0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693	0.6808509230613708,0.7347264289855957,0.9304451942443848,0.7190183997154236,0.3702451288700104,0.37375420331954956	0.8554589583152653,0.8768668881502425,0.9461439474961907,0.8477880027296161,0.5117342759753483,0.5044977867028597	0,1,0,1,2,2	0,1,0,1,2,2	0,2,0,2,4,4	1,2,1,2,3,3	1,2,1,2,3,3	1.89,2.99,0.0,2.99,3.09,3.09	0,1,0,1,1,1	1,1,0,1,3,3	1,1,0,1,3,3	11.0,13.0,9.0,14.0,23.0,23.0	2.0,2.0,1.0,2.0,8.0,8.0	14.0,19.0,10.0,20.0,43.0,43.0	2.0,3.0,1.0,3.0,12.0,12.0	13.0,15.0,10.0,16.0,31.0,31.0	16.0,22.0,11.0,23.0,55.0,55.0	59.207035,85.95159,36.541206,92.0,272.4808,272.4808	5.5,9.75,4.5,10.5,17.25,17.25	325.6387,838.028,164.43542,966.0,4700.294,4700.294	18.09104,46.557114,9.135302,53.666668,261.12744,261.12744	0.019735679,0.02865053,0.012180402,0.030666666,0.090826936,0.090826936	131.75106811523438,121.30742645263672,140.82913208007812,120.95380401611328,99.59846496582031,99.59846496582031	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,1,1	0,0,0,0,0,0	0,0,0,0,0,0	jfarcand,jfarcand,jfarcand,jfarcand,jfarcand,jfarcand	0,23,96,418,1215,1287	603,626,700,1021,1819,1891	21/12/11-27/04/10,13/01/12-27/04/10,27/03/12-27/04/10,11/02/13-27/04/10,20/04/15-27/04/10,01/07/15-27/04/10	0,3,2,5,15,1	0,4,7,7,20,2	0,51,82,86,387,4	0,16,37,37,5,119	0,16,37,37,5,41	0,0,0,0,0,0	0,0,1,0,1,1	0,0,1,0,1,1	711.json	610	ugly
2485	3	3	3	0.0	0.8382989168167114	0.9947996701008416	0	0	0	1	1	1.89	0	1	1	9.0	2.0	12.0	2.0	11.0	14.0	48.432045	4.5	217.9442	12.108011	0.016144015	132.79563903808594	0	0	0	1	0	0	0	0	0	0	0	jfarcand	0	1227	05/09/13-27/04/10	0	0	0	0	0	0	0	0	2286.json	0	good
3710	5,5	5,5	5,5	0.0,0.0	0.08296491950750351,0.3906652629375458	0.5724893076918748,0.8417127031896502	0,0	0,0	0,0	2,2	2,2	2.99,2.99	1,1	1,1	1,1	17.0,12.0	4.0,4.0	23.0,18.0	6.0,6.0	21.0,16.0	29.0,24.0	127.377205,96.0	12.75,9.0	1624.0593,864.0	90.22552,48.0	0.042459067,0.032	119.26190948486328,120.73249816894531	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,1	1,1	0,0	0,0	jfarcand,jfarcand	0,666	2,668	29/04/10-27/04/10,24/02/12-27/04/10	0,1	0,2	0,41	0,120	0,96	0,0	0,0	0,0	1359.json	41	noise
2093	3	3	3	0.0	0.8270229697227478	0.902940523195443	0	0	0	1	1	1.89	0	0	0	9.0	2.0	11.0	3.0	11.0	14.0	48.432045	6.75	326.9163	18.162016	0.016144015	132.79563903808594	0	0	0	1	0	0	0	1	0	0	0	jfarcand	0	1619	02/10/14-27/04/10	0	0	0	0	0	0	0	0	2080.json	0	good
3163	49	30	30	0.0	0.0	1.14277331645143E-20	0	0	0	1	1	1.0	0	43	8	33.0	22.0	242.0	109.0	55.0	351.0	2029.2572	81.75	165891.78	9216.21	0.6764191	76.07038879394531	1	0	0	0	1	0	0	0	2	0	0	jfarcand	0	549	28/10/11-27/04/10	0	0	0	0	0	0	0	0	2413.json	0	good
1924	6	6	6	0.0	0.00381613802164793	0.057933510145356526	3	1	4	2	2	3.27	1	4	4	20.0	5.0	38.0	12.0	25.0	50.0	232.19281	24.0	5572.6274	309.59042	0.0773976	113.18614196777344	0	1	0	0	0	0	0	2	0	0	0	jfarcand	0	1788	20/03/15-27/04/10	0	0	0	0	0	0	0	0	1589.json	0	good
3506	3,4,5,6,6,6,7	3,4,5,6,6,6,7	3,4,5,6,6,6,7	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.11694592982530594,0.022881051525473595,0.03374890983104706,0.04620271921157837,0.058103036135435104,0.06200890615582466,0.06828919798135757	0.8113633341153846,0.20520712141248545,0.20033213500982364,0.18401875968109976,0.2824740771335907,0.273689530930792,0.27518412259314745	0,0,0,0,0,0,1	0,0,0,0,0,0,1	0,0,0,0,0,0,2	1,1,1,1,1,1,2	1,1,1,1,1,1,2	1.89,2.0,1.96,1.89,1.89,1.89,3.02	0,0,0,0,0,0,1	1,2,2,3,4,4,4	1,2,2,3,4,4,4	12.0,14.0,15.0,16.0,16.0,16.0,17.0	2.0,8.0,8.0,8.0,6.0,6.0,6.0	15.0,24.0,27.0,30.0,30.0,30.0,33.0	4.0,10.0,10.0,10.0,8.0,8.0,8.0	14.0,22.0,23.0,24.0,22.0,22.0,23.0	19.0,34.0,37.0,40.0,38.0,38.0,41.0	72.339745,151.62068,167.3718,183.3985,169.4584,169.4584,185.46603	12.0,8.75,9.375,10.0,10.666667,10.666667,11.333334	868.0769,1326.6809,1569.1106,1833.985,1807.5564,1807.5564,2101.9485	48.226494,73.7045,87.17281,101.888054,100.4198,100.4198,116.77492	0.024113249,0.050540227,0.0557906,0.061132833,0.056486133,0.056486133,0.061822012	130.70933532714844,122.20084381103516,118.07197570800781,114.64286041259766,115.05393981933594,115.05393981933594,111.8573226928711	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	jfarcand,jfarcand,jfarcand,jfarcand,jfarcand,jfarcand,jfarcand	0,481,508,508,531,938,1028	205,687,714,714,737,1144,1234	18/11/10-27/04/10,14/03/12-27/04/10,10/04/12-27/04/10,10/04/12-27/04/10,03/05/12-27/04/10,14/06/13-27/04/10,12/09/13-27/04/10	0,1,2,1,1,1,4	0,1,3,1,2,2,7	0,74,43,17,24,4,25	0,2,5,4,47,8,3	0,2,5,4,46,8,3	0,0,0,0,0,0,0	0,0,0,0,0,0,1	0,0,0,0,0,0,1	213.json	187	noise
1945	3	3	3	0.0	0.43596920371055603	0.8443307485400176	0	0	0	1	1	1.89	0	1	1	10.0	4.0	13.0	4.0	14.0	17.0	64.72504	5.0	323.62518	17.979177	0.021575011	131.28770446777344	0	0	0	1	0	0	0	0	0	0	0	jfarcand	0	1766	26/02/15-27/04/10	0	0	0	0	0	0	0	0	3090.json	0	good
2843	3,3	3,3	3,3	0.0,0.0	0.3192153573036194,0.24168749153614044	0.6319639588924761,0.754030102352861	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	1,1	1,1	16.0,14.0	3.0,3.0	18.0,16.0	4.0,4.0	19.0,17.0	22.0,20.0	93.45441,81.74926	10.666667,9.333334	996.84705,762.99316	55.38039,42.388508	0.03115147,0.027249753	129.37762451171875,130.07347106933594	0,0	1,1	0,0	0,0	0,0	0,0	0,0	2,2	0,0	0,0	0,0	jfarcand,jfarcand	0,2816	869,3685	12/09/12-27/04/10,29/05/20-27/04/10	0,1	0,2	0,19	0,48	0,48	0,0	0,0	0,0	966.json	0	good
3710	4,5,5,6,5	4,5,5,7,6	4,5,5,6,5	0.0,0.0,0.0,0.0,0.0	0.7991740107536316,0.448832631111145,0.6561214327812195,0.6597149968147278,0.7713364362716675	0.9598869459239465,0.8532019935015153,0.9252210089109828,0.8006498096343792,0.8883005000916603	0,0,0,1,1	0,0,0,1,1	0,0,0,2,2	1,1,1,2,2	1,1,1,2,2	2.0,1.96,1.96,1.89,1.96	0,0,0,0,0	1,3,2,3,2	1,3,2,3,2	11.0,13.0,12.0,14.0,13.0	2.0,3.0,3.0,4.0,3.0	15.0,22.0,19.0,26.0,22.0	2.0,4.0,4.0,5.0,3.0	13.0,16.0,15.0,18.0,16.0	17.0,26.0,23.0,31.0,25.0	62.907475,104.0,89.85848,129.26768,100.0	5.5,8.666667,8.0,8.75,6.5	345.99112,901.3334,718.86786,1131.0923,650.0	19.22173,50.074078,39.937103,62.83846,36.11111	0.020969158,0.034666665,0.029952828,0.04308923,0.033333335	126.77537536621094,120.54627227783203,121.30628204345703,116.231689453125,120.52021789550781	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	jfarcand,jfarcand,jfarcand,jfarcand,jfarcand	0,33,160,561,1369	2,35,162,563,1371	29/04/10-27/04/10,01/06/10-27/04/10,06/10/10-27/04/10,11/11/11-27/04/10,27/01/14-27/04/10	0,1,1,1,0	0,1,2,1,1	0,38,13,38,25	0,1,2,18,10	0,1,2,18,10	0,0,0,0,0	0,0,1,1,1	0,0,1,1,1	1706.json	114	noise
2723	5,4,4,4,4	5,4,4,4,4	5,4,4,4,4	0.0,0.0,0.0,0.0,0.0	0.0035455655306577682,0.03696015104651451,0.04187365621328354,0.04187365621328354,0.03356386721134186	0.04596500259744634,0.4407460751004461,0.42238771380054263,0.41676568454330054,0.5703212335005426	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	1.96,2.0,2.0,2.0,2.0	0,0,0,0,0	2,2,2,2,2	2,2,2,2,2	18.0,15.0,15.0,15.0,13.0	12.0,8.0,8.0,8.0,8.0	31.0,20.0,20.0,20.0,18.0	14.0,8.0,8.0,8.0,8.0	30.0,23.0,23.0,23.0,21.0	45.0,28.0,28.0,28.0,26.0	220.81007,126.65974,126.65974,126.65974,114.20025	10.5,7.5,7.5,7.5,6.5	2318.5059,949.948,949.948,949.948,742.30164	128.80588,52.774887,52.774887,52.774887,41.23898	0.073603354,0.04221991,0.04221991,0.04221991,0.03806675	116.63113403320312,123.1362075805664,123.1362075805664,123.1362075805664,123.67467498779297	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,0,0,0,0	0,0,0,0,0	0,0,0,0,0	jfarcand,jfarcand,jfarcand,jfarcand,jfarcand	0,236,337,337,2696	988,1225,1325,1325,3685	09/01/13-27/04/10,03/09/13-27/04/10,12/12/13-27/04/10,12/12/13-27/04/10,29/05/20-27/04/10	0,0,1,1,1	0,1,2,2,2	0,91,3,1,19	0,3,2,3,101	0,3,2,3,101	0,0,0,0,0	0,1,1,0,0	0,1,1,0,0	2893.json	95	noise
