Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
commons-io	801.json	10	10	10	0.0	0.01886039972305298	0.02360914363114514	1	1	2	2	2	2.99	1	2	2	21.0	11.0	44.0	19.0	32.0	63.0	315.0	18.136364	5712.9546	317.38635	0.105	103.32474517822266	0	0	0	1	0	0	0	3	3	0	0	24	noise
commons-io	1139.json	7	7	7	0.14285714285714285	0.23874646425247192	0.7690562303212786	1	1	2	2	2	3.02	1	3	3	17.0	2.0	28.0	5.0	19.0	33.0	140.18161	21.25	2978.8591	165.49217	0.046727203	113.31297302246094	1	0	0	0	1	0	0	1	0	0	0	27	noise
commons-io	711.json	8	8	8	0.0	0.3194883167743683	0.42541880255469405	0	0	0	1	1	2.83	1	3	3	21.0	4.0	32.0	7.0	25.0	39.0	181.11038	18.375	3327.9033	184.88351	0.06037013	110.04769134521484	0	0	0	1	1	0	0	1	1	0	0	84	noise
commons-io	1170.json	3	3	3	0.0	0.0010206488659605384	0.35584021536096444	0	0	0	1	1	1.89	0	1	1	15.0	5.0	22.0	8.0	20.0	30.0	129.65784	12.0	1555.894	86.43856	0.04321928	127.67500305175781	0	0	0	1	1	0	0	3	0	0	0	3	bad
commons-io	1058.json	3	3	3	0.0	0.937480628490448	0.9658560254134926	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
commons-io	213.json	3	3	3	0.0	0.6588944792747498	0.9212072257724122	0	0	0	1	1	1.89	0	1	1	10.0	2.0	13.0	2.0	12.0	15.0	53.77444	5.0	268.8722	14.937344	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	0	good
commons-io	944.json	3	3	3	0.0	0.47707512974739075	0.834521534780909	0	0	0	1	1	1.89	0	1	1	12.0	2.0	16.0	2.0	14.0	18.0	68.53239	6.0	411.19434	22.84413	0.022844128	130.99049377441406	0	0	0	1	0	0	0	0	0	0	0	9	bad
commons-io	847.json	4	4	4	0.0	0.7514483332633972	0.8947507469704808	0	0	0	1	1	2.0	0	1	1	12.0	3.0	16.0	4.0	15.0	20.0	78.13781	8.0	625.1025	34.727917	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	6	bad
commons-io	101.json	3	3	3	0.0	0.6936449408531189	0.8200918745967835	0	0	0	1	1	1.89	0	1	1	13.0	3.0	16.0	4.0	16.0	20.0	80.0	8.666667	693.3334	38.51852	0.026666667	130.18594360351562	0	0	0	1	0	0	0	1	0	0	0	62	noise
commons-io	462.json	3	3	3	0.0	0.8933117389678955	0.886982336157398	0	0	0	1	1	1.89	0	0	0	11.0	2.0	13.0	3.0	13.0	16.0	59.207035	8.25	488.45804	27.136559	0.019735679	131.75106811523438	0	1	0	0	0	0	0	1	0	0	0	6	bad
