Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
6425	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0.0,0.0,0.0,0.0,0.3333333333333333	0.7764579057693481,0.3623122572898865,0.3623122572898865,0.3623122572898865,0.8333464860916138	0.9624479894134674,0.9263562571086956,0.9263562571086956,0.9263562571086956,0.8790604293545728	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	0,1,1,1,1	0,1,1,1,1	9.0,11.0,11.0,11.0,11.0	2.0,1.0,1.0,1.0,1.0	10.0,14.0,14.0,14.0,14.0	2.0,1.0,1.0,1.0,1.0	11.0,12.0,12.0,12.0,12.0	12.0,15.0,15.0,15.0,15.0	41.51318,53.77444,53.77444,53.77444,53.77444	4.5,5.5,5.5,5.5,5.5	186.80931,295.75943,295.75943,295.75943,295.75943	10.378295,16.43108,16.43108,16.43108,16.43108	0.013837727,0.017924814,0.017924814,0.017924814,0.017924814	133.59722900390625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	Stephen Colebourne,Stephen Colebourne,Henri Yandell,Paul C. Benedict Jr,Henri Yandell	0,2,2641,2664,3123	60,62,2701,2724,3183	17/09/02-19/07/02,19/09/02-19/07/02,10/12/09-19/07/02,02/01/10-19/07/02,06/04/11-19/07/02	0,1,0,0,1	0,2,0,0,2	0,12,0,0,52	0,34,1592,1595,40	0,34,0,0,40	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1182.json	12	noise
2451	3	3	3	0.0	0.4671535789966583	0.9751791798322754	0	0	0	1	1	1.89	0	0	0	11.0	1.0	14.0	1.0	12.0	15.0	53.77444	5.5	295.75943	16.43108	0.017924814	132.25152587890625	0	0	0	1	0	0	0	0	0	0	0	Matthew Jason Benson	0	4034	04/08/13-19/07/02	0	0	0	0	0	0	0	0	801.json	0	good
3303	33,33,33,33,33,33,33	31,31,31,31,31,31,31	31,31,31,31,31,31,31	0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903	0.010975358076393604,0.01088904682546854,0.011124067939817905,0.011283528059720993,0.01198833342641592,0.012995786964893341,0.012481965124607086	6.856654770906975E-8,8.320486880153664E-8,3.981832855847193E-8,2.7078510302123454E-8,4.140735020919676E-8,8.705577933995245E-8,1.1192422953443884E-7	8,8,8,8,8,8,8	9,9,9,9,9,9,9	17,17,17,17,17,17,17	7,7,7,7,7,7,7	7,7,7,7,7,7,7	4.27,4.27,4.27,4.27,4.27,4.27,4.27	3,3,3,3,3,3,3	8,8,8,8,8,7,7	6,6,6,6,6,5,5	36.0,36.0,37.0,37.0,38.0,37.0,36.0	16.0,16.0,16.0,16.0,16.0,16.0,16.0	126.0,126.0,129.0,131.0,128.0,125.0,123.0	47.0,46.0,46.0,46.0,46.0,46.0,47.0	52.0,52.0,53.0,53.0,54.0,53.0,52.0	173.0,172.0,175.0,177.0,174.0,171.0,170.0	986.1761,980.47565,1002.3861,1013.8419,1001.35046,979.4744,969.07477	52.875,51.75,53.1875,53.1875,54.625,53.1875,52.875	52144.062,50739.613,53314.41,53923.72,54698.77,52095.797,51239.83	2896.8923,2818.8674,2961.9116,2995.7622,3038.8206,2894.211,2846.6572	0.32872537,0.3268252,0.3341287,0.3379473,0.33378348,0.32649148,0.32302493	77.91146850585938,77.94161224365234,77.8266830444336,77.76759338378906,77.83206176757812,77.9469223022461,78.00243377685547	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	3,3,3,3,3,3,3	6,6,6,6,6,6,6	1,0,0,0,0,0,0	1,0,0,0,0,0,0	Henri Yandell,Gary D. Gregory,Gary D. Gregory,Gary D. Gregory,Gary Gregory,pascalschumacher,pascalschumacher	0,218,657,657,2028,3187,3187	3182,3400,3839,3839,5210,6369,6369	05/04/11-19/07/02,09/11/11-19/07/02,21/01/13-19/07/02,21/01/13-19/07/02,23/10/16-19/07/02,26/12/19-19/07/02,26/12/19-19/07/02	0,1,1,2,1,1,1	0,2,2,4,2,2,2	0,2,18,12,6,11,28	0,64,1727,550,79,16,8	0,64,1727,550,79,16,8	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1781.json	32	noise
6312	11,3,3,3,3,3	9,3,3,3,3,3	11,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.2667098343372345,0.31500038504600525,0.31500038504600525,0.31500038504600525,0.31500038504600525,0.8215287327766418	0.667404165149508,0.9796272827313511,0.9796272827313511,0.9796272827313511,0.9796272827313511,0.9774433364086541	2,0,0,0,0,0	2,0,0,0,0,0	4,0,0,0,0,0	3,1,1,1,1,1	3,1,1,1,1,1	2.67,1.89,1.89,1.89,1.89,1.89	2,0,0,0,0,0	3,0,0,0,0,0	2,0,0,0,0,0	17.0,9.0,9.0,9.0,9.0,9.0	9.0,2.0,2.0,2.0,2.0,2.0	38.0,10.0,10.0,10.0,10.0,10.0	9.0,2.0,2.0,2.0,2.0,2.0	26.0,11.0,11.0,11.0,11.0,11.0	47.0,12.0,12.0,12.0,12.0,12.0	220.92067,41.51318,41.51318,41.51318,41.51318,41.51318	8.5,4.5,4.5,4.5,4.5,4.5	1877.8257,186.80931,186.80931,186.80931,186.80931,186.80931	104.32365,10.378295,10.378295,10.378295,10.378295,10.378295	0.07364022,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727	103.39551544189453,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	Henri Yandell,Stephen Colebourne,Henri Yandell,Paul C. Benedict Jr,Henri Yandell,Chas Honton	0,151,2529,2552,3305,4456	172,324,2701,2724,3477,4629	07/01/03-19/07/02,08/06/03-19/07/02,10/12/09-19/07/02,02/01/10-19/07/02,25/01/12-19/07/02,22/03/15-19/07/02	0,1,0,0,0,1	0,10,0,0,0,2	0,252,0,0,0,6	0,68,1592,1595,116,37	0,59,0,0,67,37	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2809.json	252	ugly
2277	26,24,24	25,23,23	23,21,21	0.0,0.0,0.0	0.24170513451099396,0.25775548815727234,0.24200628697872162	0.012114936199844143,0.05032344695589043,0.026421138479345362	4,3,3	3,2,2	7,5,5	4,3,3	4,3,3	4.57,4.7,4.7	2,2,2	3,4,4	2,3,3	34.0,32.0,31.0	11.0,9.0,11.0	82.0,74.0,75.0	17.0,15.0,17.0	45.0,41.0,42.0	99.0,89.0,92.0	543.6935,476.82214,496.0932	26.272726,26.666666,23.954544	14284.31,12715.257,11883.687	793.57275,706.40314,660.20483	0.18123116,0.15894072,0.1653644	86.53338623046875,88.91959381103516,88.71356201171875	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	3,3,3	1,1,1	0,0,0	0,0,0	Duncan Jones,pascalschumacher,Gary Gregory	0,1180,2050	4207,5388,6258	24/01/14-19/07/02,19/04/17-19/07/02,06/09/19-19/07/02	0,1,1	0,4,2	0,92,3	0,56,23	0,56,23	0,0,0	0,0,0	0,0,0	1139.json	92	ugly
5665	21,21,21,36,38,38,34,34,40,40,40,24,27,27	20,20,20,28,29,29,25,25,30,30,30,20,22,22	20,20,20,28,30,30,26,26,31,31,31,22,24,24	0.0,0.05,0.05,0.10714285714285714,0.1,0.1,0.07692307692307693,0.07692307692307693,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0,0.041666666666666664,0.041666666666666664	0.0490870364010334,0.02927856333553791,0.02927856333553791,0.011390271596610546,0.006395277101546526,0.006395277101546526,0.007308392785489559,0.013193927705287933,0.0051969802007079124,0.005321222823113203,0.0031564298551529646,0.002254110760986805,5.00010559335351E-4,1.7209617362823337E-4	3.815270794645763E-7,3.670783865756191E-7,3.670783865756191E-7,7.13793800319154E-10,1.6630887608999313E-10,1.6630887608999313E-10,5.321021842141727E-10,1.8455036849433505E-8,1.3506614037644907E-9,5.211022173462895E-10,2.8914686721315313E-10,1.4926001459609776E-8,4.0851987938671003E-10,2.74188705510852E-10	7,7,7,8,8,8,8,6,7,7,7,5,8,8	6,6,6,8,8,8,7,6,7,7,7,4,5,5	13,13,13,16,16,16,15,12,14,14,14,9,13,13	5,5,5,7,7,7,6,6,7,7,7,6,6,6	5,5,5,7,7,7,6,6,7,7,7,6,6,6	3.44,3.44,3.44,3.17,3.86,3.86,3.03,3.03,2.92,2.92,2.92,4.03,3.73,3.73	2,2,2,2,2,2,2,2,2,2,2,3,3,3	5,5,5,10,11,11,11,11,11,11,11,6,10,10	5,5,5,8,9,9,9,9,9,9,9,5,9,9	40.0,40.0,40.0,43.0,45.0,45.0,44.0,41.0,43.0,44.0,44.0,41.0,47.0,47.0	13.0,13.0,13.0,15.0,16.0,16.0,15.0,14.0,15.0,15.0,15.0,19.0,19.0,19.0	103.0,103.0,103.0,140.0,146.0,146.0,137.0,129.0,146.0,150.0,153.0,119.0,135.0,137.0	34.0,34.0,34.0,56.0,59.0,59.0,55.0,48.0,55.0,55.0,55.0,36.0,40.0,40.0	53.0,53.0,53.0,58.0,61.0,61.0,59.0,55.0,58.0,59.0,59.0,60.0,66.0,66.0	137.0,137.0,137.0,196.0,205.0,205.0,192.0,177.0,201.0,205.0,208.0,155.0,175.0,177.0	784.7251,784.7251,784.7251,1148.1643,1215.8011,1215.8011,1129.4675,1023.30066,1177.4542,1205.9419,1223.5898,915.568,1057.7689,1069.8578	52.307693,52.307693,52.307693,80.26667,82.96875,82.96875,80.66667,70.28571,78.833336,80.66667,80.66667,38.842106,49.473686,49.473686	41047.16,41047.16,41047.16,92159.33,100873.5,100873.5,91110.38,71923.414,92822.64,97279.32,98702.92,35562.59,52331.727,52929.81	2280.3977,2280.3977,2280.3977,5119.963,5604.0835,5604.0835,5061.688,3995.745,5156.8135,5404.4067,5483.4956,1975.6995,2907.318,2940.545	0.26157504,0.26157504,0.26157504,0.38272142,0.40526706,0.40526706,0.37648916,0.34110022,0.39248475,0.40198064,0.4078633,0.30518934,0.35258964,0.35661927	86.6594009399414,86.6594009399414,86.6594009399414,78.76950073242188,77.35417938232422,77.35417938232422,80.28543090820312,80.79873657226562,76.98963928222656,76.86532592773438,76.78977966308594,84.08348083496094,81.92315673828125,81.86406707763672	0,0,0,0,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,3,3,3,3,4,4,4,4,4,4	4,4,4,6,6,6,6,6,6,6,6,6,6,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	Stephen Colebourne,Sebastian Bazley,Henri Yandell,Henri Yandell,Henri Yandell,Paul C. Benedict Jr,Sebastian Bazley,Gary D. Gregory,Sebastian Bazley,Gary D. Gregory,Gary D. Gregory,Chas Honton,Chas Honton,Gary Gregory	0,1834,1881,1887,1903,1904,1927,2458,2898,3019,3019,3848,3890,4390	820,2654,2701,2707,2723,2724,2747,3278,3718,3839,3839,4668,4710,5210	16/10/04-19/07/02,24/10/09-19/07/02,10/12/09-19/07/02,16/12/09-19/07/02,01/01/10-19/07/02,02/01/10-19/07/02,25/01/10-19/07/02,10/07/11-19/07/02,22/09/12-19/07/02,21/01/13-19/07/02,21/01/13-19/07/02,30/04/15-19/07/02,11/06/15-19/07/02,23/10/16-19/07/02	0,1,0,19,3,0,3,4,8,1,3,12,9,2	0,2,0,23,4,0,10,8,10,2,6,40,15,4	0,28,0,595,82,0,260,64,156,24,18,741,288,12	0,3,1592,2,2,1595,1,23,3,1727,550,2,27,101	0,3,0,2,2,0,1,23,3,1727,550,2,27,101	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,0,0,0,0,0,0,0,0,0	2838.json	0	good
5020	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.6806105375289917,0.6806105375289917,0.6806105375289917,0.6975687146186829	0.7466678164246593,0.7466678164246593,0.7466678164246593,0.7040926850458975	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	2,2,2,2	2,2,2,2	13.0,13.0,13.0,14.0	3.0,3.0,3.0,3.0	16.0,16.0,16.0,17.0	4.0,4.0,4.0,4.0	16.0,16.0,16.0,17.0	20.0,20.0,20.0,21.0	80.0,80.0,80.0,85.83672	8.666667,8.666667,8.666667,9.333334	693.3334,693.3334,693.3334,801.1428	38.51852,38.51852,38.51852,44.507935	0.026666667,0.026666667,0.026666667,0.028612241	130.18594360351562,130.18594360351562,130.18594360351562,129.81976318359375	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	Stephen Colebourne,Henri Yandell,Paul C. Benedict Jr,Gary D. Gregory	0,1236,1259,2374	1465,2701,2724,3839	23/07/06-19/07/02,10/12/09-19/07/02,02/01/10-19/07/02,21/01/13-19/07/02	0,0,0,1	0,0,0,2	0,0,0,6	0,1592,1595,1727	0,0,0,1727	0,0,0,0	0,0,0,0	0,0,0,0	711.json	0	good
1839	16,16,3	13,13,3	13,13,3	0.0,0.0,0.0	0.15382066369056702,0.1557626873254776,0.02251005917787552	9.842975765057913E-5,6.941709943004181E-5,0.20519567104842829	1,1,0	2,2,0	3,3,0	3,3,1	3,3,1	2.22,2.22,1.89	1,1,0	5,5,2	5,5,2	29.0,29.0,16.0	10.0,10.0,3.0	74.0,75.0,30.0	29.0,29.0,5.0	39.0,39.0,19.0	103.0,104.0,35.0	544.3964,549.6818,148.67747	42.050003,42.050003,13.333333	22891.871,23114.123,1982.3663	1271.7706,1284.1179,110.13146	0.18146548,0.18322727,0.049559157	95.99949645996094,95.94925689697266,126.96322631835938	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0,0,0	0,0,0	2,2,2	3,3,0	1,1,0	1,1,0	Duncan Jones,Gary Gregory,Liel Fridman	0,564,1665	4646,5210,6311	08/04/15-19/07/02,23/10/16-19/07/02,29/10/19-19/07/02	0,1,1	0,2,15	0,24,392	0,101,30	0,101,30	0,0,1	0,0,1	0,0,1	2286.json	416	ugly
6425	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0.0,0.0,0.0,0.0,0.3333333333333333	0.5981337428092957,0.18686100840568542,0.18686100840568542,0.18686100840568542,0.8714058995246887	0.943598471923757,0.901293989119949,0.901293989119949,0.901293989119949,0.8663313555294386	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	0,1,1,1,1	0,1,1,1,1	9.0,11.0,11.0,11.0,11.0	2.0,1.0,1.0,1.0,1.0	10.0,14.0,14.0,14.0,14.0	2.0,1.0,1.0,1.0,1.0	11.0,12.0,12.0,12.0,12.0	12.0,15.0,15.0,15.0,15.0	41.51318,53.77444,53.77444,53.77444,53.77444	4.5,5.5,5.5,5.5,5.5	186.80931,295.75943,295.75943,295.75943,295.75943	10.378295,16.43108,16.43108,16.43108,16.43108	0.013837727,0.017924814,0.017924814,0.017924814,0.017924814	133.59722900390625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	Stephen Colebourne,Stephen Colebourne,Henri Yandell,Paul C. Benedict Jr,Henri Yandell	0,2,2641,2664,3123	60,62,2701,2724,3183	17/09/02-19/07/02,19/09/02-19/07/02,10/12/09-19/07/02,02/01/10-19/07/02,06/04/11-19/07/02	0,1,0,0,1	0,2,0,0,2	0,10,0,0,52	0,34,1592,1595,40	0,34,0,0,40	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1170.json	10	noise
6337	5,5,5,5,5,5,5,5,5,5,5,5	5,5,5,5,5,5,5,5,5,5,5,5	5,5,5,5,5,5,5,5,5,5,5,5	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.5008763670921326,0.5008763670921326,0.5008763670921326,0.2176535576581955,0.5008763670921326,0.05370931327342987,0.05370931327342987,0.05281936377286911,0.05281936377286911,0.030595380812883377,0.020722826942801476,0.013356072828173637	0.3963048320806669,0.3963048320806669,0.3963048320806669,0.31587786092897935,0.3963048320806669,0.21401967300737282,0.21401967300737282,0.11423223912315726,0.11423223912315726,0.09985783273521495,0.06179670154691755,0.06112253992107288	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2,2,2,2	2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,1,0,1,1,1,1,2,2,2	0,0,0,1,0,1,1,1,1,2,2,2	19.0,19.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0	4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0	26.0,26.0,26.0,28.0,26.0,29.0,29.0,33.0,33.0,32.0,35.0,35.0	7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0	23.0,23.0,23.0,23.0,23.0,25.0,25.0,26.0,26.0,27.0,28.0,28.0	33.0,33.0,33.0,35.0,33.0,37.0,37.0,41.0,41.0,41.0,44.0,44.0	149.27754,149.27754,149.27754,158.32466,149.27754,171.82268,171.82268,192.71803,192.71803,194.9504,211.52362,211.52362	16.625,16.625,16.625,16.625,16.625,16.0,16.0,16.800001,16.800001,15.75,16.5,16.5	2481.7393,2481.7393,2481.7393,2632.1475,2481.7393,2749.1628,2749.1628,3237.663,3237.663,3070.4688,3490.1396,3490.1396	137.8744,137.8744,137.8744,146.23041,137.8744,152.73126,152.73126,179.87018,179.87018,170.5816,193.89665,193.89665	0.04975918,0.04975918,0.04975918,0.052774888,0.04975918,0.057274226,0.057274226,0.064239345,0.064239345,0.064983465,0.07050788,0.07050788	118.43690490722656,118.43690490722656,118.43690490722656,118.13093566894531,118.43690490722656,117.70549774169922,117.70549774169922,117.10871887207031,117.10871887207031,117.048828125,116.62455749511719,116.62455749511719	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	Stephen Colebourne,Stephen Colebourne,Henri Yandell,Henri Yandell,Henri Yandell,Paul C. Benedict Jr,Henri Yandell,Sebastian Bazley,Paul C. Benedict Jr,Gary D. Gregory,Gary D. Gregory,Jonathan Bluett-Duncan	0,16,247,2458,2458,2542,2554,2558,2577,3154,3692,5324	147,163,395,2606,2606,2689,2701,2705,2724,3302,3839,5472	13/12/02-19/07/02,29/12/02-19/07/02,18/08/03-19/07/02,06/09/09-19/07/02,06/09/09-19/07/02,28/11/09-19/07/02,10/12/09-19/07/02,14/12/09-19/07/02,02/01/10-19/07/02,03/08/11-19/07/02,21/01/13-19/07/02,12/07/17-19/07/02	0,0,0,1,1,1,0,1,0,1,1,1	0,0,0,2,2,2,0,2,0,2,2,2	0,0,0,14,14,17,0,12,0,12,18,10	0,15,32,4,3,28,1592,8,1595,3,1727,51	0,0,0,4,3,28,0,8,0,3,1727,51	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1359.json	0	good
