Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
facebook-android-sdk	1182.json	8	7	8	0.0	0.06240915507078171	0.03179768596791001	4	3	7	2	2	3.71	1	4	4	23.0	9.0	41.0	13.0	32.0	54.0	270.0	16.61111	4485.0	249.16667	0.09	107.74124908447266	1	0	0	0	0	0	0	2	1	2	1	239	ugly
facebook-android-sdk	3371.json	3	3	3	0.0	0.9312458634376526	0.9477190821908456	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	1	0	0	0	0	0	0	0	0	0	20	bad
facebook-android-sdk	1781.json	5	3	5	0.0	0.40400925278663635	0.724871575240123	0	0	0	1	1	3.58	0	1	1	16.0	3.0	22.0	5.0	19.0	27.0	114.694046	13.333333	1529.2539	84.95855	0.03823135	120.03731536865234	0	0	0	1	1	0	0	2	0	0	0	0	good
facebook-android-sdk	2809.json	3	3	3	0.0	0.9476492404937744	0.9727856062081108	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	551	ugly
facebook-android-sdk	1139.json	6	3	6	0.0	0.21988624334335327	0.75427031871495	0	0	0	1	1	4.99	0	2	2	16.0	3.0	23.0	5.0	19.0	28.0	118.94197	13.333333	1585.893	88.10516	0.039647322	116.89459228515625	0	0	0	1	0	0	0	2	0	0	0	13	bad
facebook-android-sdk	2838.json	3	3	3	0.0	0.6254446506500244	0.8948415346686686	0	0	0	1	1	1.89	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	0	1	0	0	0	0	good
facebook-android-sdk	1421.json	25	10	22	0.0	0.01639813743531704	0.0011261166550044896	2	1	3	2	2	4.16	1	5	4	25.0	16.0	76.0	32.0	41.0	108.0	578.6156	25.0	14465.39	803.63275	0.19287187	87.3897933959961	0	0	0	0	1	0	0	3	4	0	0	492	ugly
facebook-android-sdk	1359.json	16	12	12	0.08333333333333333	0.8647686243057251	0.8031805064509455	4	4	8	4	4	3.37	2	4	4	20.0	6.0	41.0	9.0	26.0	50.0	235.022	15.0	3525.33	195.85167	0.078340665	101.4341812133789	0	0	0	0	0	0	0	0	1	0	0	396	ugly
facebook-android-sdk	2100.json	3	3	3	0.0	0.7745840549468994	0.8738127604356563	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	0	1	0	0	0	100	noise
facebook-android-sdk	2080.json	3	3	3	0.0	0.6242910623550415	0.7506634303308314	0	0	0	1	1	1.89	0	1	1	14.0	2.0	19.0	2.0	16.0	21.0	84.0	7.0	588.0	32.666668	0.028	129.93223571777344	0	0	0	1	0	0	0	0	0	0	0	0	good
facebook-android-sdk	3874.json	21	17	17	0.0	0.028901606798171997	2.775794028787057E-5	3	3	6	4	4	2.58	1	7	5	27.0	12.0	87.0	35.0	39.0	122.0	644.8191	39.375	25389.752	1410.5417	0.2149397	90.54330444335938	1	0	0	0	0	0	0	1	2	0	0	42	noise
facebook-android-sdk	1058.json	3	3	3	0.0	0.8501192331314087	0.959096275703781	0	0	0	1	1	1.89	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	6	bad
facebook-android-sdk	213.json	3	3	3	0.0	0.42852842807769775	0.8038191417400801	0	0	0	1	1	1.89	0	0	0	12.0	3.0	14.0	5.0	15.0	19.0	74.23092	10.0	742.3092	41.2394	0.024743639	130.57513427734375	0	0	0	1	0	0	1	1	0	0	0	21	bad
facebook-android-sdk	966.json	4	4	4	0.0	0.7819371819496155	0.8532983696814731	0	0	0	1	1	2.0	0	1	1	14.0	4.0	18.0	5.0	18.0	23.0	95.90828	8.75	839.19745	46.62208	0.031969428	124.58238983154297	0	0	0	1	0	0	0	1	0	0	0	0	good
facebook-android-sdk	1706.json	3	3	3	0.0	0.7529943585395813	0.87407479520599	0	0	0	1	1	1.89	0	1	1	12.0	3.0	15.0	4.0	15.0	19.0	74.23092	8.0	593.84735	32.99152	0.024743639	130.57513427734375	0	0	0	1	0	0	0	1	0	0	0	49	noise
facebook-android-sdk	2893.json	6	4	4	0.5	0.2906836271286011	0.6892766418587541	0	0	0	1	1	1.89	0	2	1	13.0	5.0	19.0	9.0	18.0	28.0	116.757904	11.7	1366.0675	75.89264	0.0389193	123.55950164794922	0	0	0	1	1	0	0	1	0	0	0	158	noise
facebook-android-sdk	944.json	4	4	4	0.0	0.6467689871788025	0.8684022188050965	0	0	0	1	1	2.0	0	0	0	14.0	2.0	17.0	4.0	16.0	21.0	84.0	14.0	1176.0	65.333336	0.028	125.27178192138672	0	0	0	1	0	0	0	1	0	0	0	0	good
facebook-android-sdk	2743.json	3	3	3	0.0	0.11781342327594757	0.6977260876911368	0	0	0	1	1	3.77	0	0	0	13.0	5.0	16.0	5.0	18.0	21.0	87.56843	6.5	569.19476	31.621931	0.029189477	129.7158966064453	0	0	0	1	1	0	0	1	0	0	0	117	noise
facebook-android-sdk	391.json	23	14	20	0.0	0.0539952851831913	0.0018975344419848046	1	1	2	3	3	5.97	2	7	6	29.0	13.0	73.0	26.0	42.0	99.0	533.8394	29.0	15481.343	860.0746	0.17794648	89.12264251708984	0	0	0	1	1	0	0	1	2	0	0	38	noise
facebook-android-sdk	2898.json	3	3	3	0.0	0.6264590620994568	0.8073989780159161	0	0	0	1	1	1.89	0	0	0	12.0	4.0	14.0	4.0	16.0	18.0	72.0	6.0	432.0	24.0	0.024	130.7338104248047	0	0	0	1	1	0	0	2	0	0	0	672	ugly
facebook-android-sdk	2924.json	17	13	16	0.0	0.018997641280293465	0.028392771304808793	1	1	2	2	2	4.99	2	7	7	28.0	8.0	58.0	20.0	36.0	78.0	403.25418	35.0	14113.896	784.10535	0.13441806	94.42631530761719	0	0	0	1	1	0	0	1	2	0	0	0	good
facebook-android-sdk	462.json	3	3	3	0.0	0.9026831388473511	0.9247675232561114	0	0	0	1	1	1.89	0	0	0	13.0	2.0	15.0	3.0	15.0	18.0	70.32403	9.75	685.6593	38.092182	0.023441343	130.85629272460938	0	0	0	1	0	0	0	1	0	0	0	124	noise
facebook-android-sdk	1449.json	4	4	4	0.0	0.497856080532074	0.8593829730033563	0	0	0	1	1	2.0	0	1	1	12.0	3.0	15.0	3.0	15.0	18.0	70.32403	6.0	421.94415	23.441341	0.023441343	126.19583892822266	0	0	0	1	1	0	0	0	0	0	0	45	noise
facebook-android-sdk	3427.json	4	4	4	0.0	0.5018375515937805	0.2711472830168128	0	0	0	1	1	1.0	0	2	2	18.0	4.0	24.0	5.0	22.0	29.0	129.32352	11.25	1454.8895	80.827194	0.043107837	123.02798461914062	1	0	0	0	0	0	0	0	1	0	0	29	noise
facebook-android-sdk	3382.json	3	3	3	0.0	0.8772215843200684	0.38355989047101563	0	0	0	1	1	1.89	0	1	1	16.0	3.0	18.0	4.0	19.0	22.0	93.45441	10.666667	996.84705	55.38039	0.03115147	129.37762451171875	0	0	0	1	1	0	0	1	0	0	0	0	good
facebook-android-sdk	2932.json	15	12	13	0.0	0.2035081833600998	0.0966510213663503	2	2	4	3	3	2.46	1	5	5	23.0	7.0	50.0	14.0	30.0	64.0	314.041	23.0	7222.943	401.2746	0.10468033	98.86029815673828	0	0	0	1	1	0	0	1	3	0	0	0	good
facebook-android-sdk	940.json	3	3	3	0.0	0.8807427883148193	0.907078272584628	0	0	0	1	1	1.89	0	0	0	12.0	2.0	16.0	3.0	14.0	19.0	72.339745	9.0	651.0577	36.169872	0.024113249	130.70933532714844	0	0	0	1	0	0	0	1	0	0	0	0	good
facebook-android-sdk	3695.json	47	39	42	0.0	1.982152898563072E-4	6.182742505836498E-13	4	5	9	5	5	7.9	3	24	17	49.0	27.0	182.0	59.0	76.0	241.0	1505.7506	53.537037	80613.43	4478.524	0.5019169	71.25110626220703	1	0	0	0	0	0	0	0	7	0	0	1369	ugly
facebook-android-sdk	488.json	3	3	3	0.0	0.20863547921180725	0.8476769230713662	0	0	0	1	1	1.89	0	1	1	12.0	4.0	15.0	5.0	16.0	20.0	80.0	7.5	600.0	33.333332	0.026666667	130.18594360351562	0	0	0	1	0	0	0	2	0	0	0	0	good
facebook-android-sdk	3451.json	20	19	20	0.0	0.03092273510992527	1.9447660834510564E-4	3	3	6	5	5	4.02	2	4	4	32.0	16.0	78.0	23.0	48.0	101.0	564.0812	23.0	12973.867	720.7704	0.18802705	88.37610626220703	0	0	0	1	1	0	0	2	3	0	0	46	noise
facebook-android-sdk	976.json	8	8	8	0.0	0.3499973714351654	0.6975392470217271	1	1	2	3	3	3.87	2	1	1	22.0	3.0	33.0	6.0	25.0	39.0	181.11038	22.0	3984.4285	221.35713	0.06037013	109.58769226074219	0	0	0	1	0	0	0	1	1	0	0	0	good
facebook-android-sdk	3734.json	4	4	4	0.0	0.44009920954704285	0.33417139078380087	0	0	0	1	1	2.0	0	2	2	17.0	3.0	27.0	4.0	20.0	31.0	133.97977	11.333334	1518.4375	84.357635	0.044659924	122.84404754638672	0	0	0	1	0	0	0	1	0	0	0	324	ugly
facebook-android-sdk	990.json	3	3	3	0.0	0.902388870716095	0.9756700924102	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	0	0	0	0	0	0	good
facebook-android-sdk	3125.json	3	3	3	0.0	0.9749804735183716	0.9970888319397788	0	0	0	1	1	1.89	0	1	1	9.0	1.0	11.0	1.0	10.0	12.0	39.863136	4.5	179.38411	9.965784	0.013287712	133.80813598632812	0	0	0	1	0	0	0	0	0	0	0	0	good
facebook-android-sdk	541.json	8	7	7	0.0	0.603090226650238	0.013525464944903148	4	2	6	2	2	2.56	1	5	4	23.0	7.0	43.0	14.0	30.0	57.0	279.69275	23.0	6432.933	357.38516	0.09323092	109.72106170654297	1	0	0	0	1	0	0	1	2	0	0	21	bad
facebook-android-sdk	2909.json	11	8	9	0.1111111111111111	0.08794218301773071	0.03579887624494128	2	2	4	3	3	2.8	2	3	1	20.0	7.0	45.0	17.0	27.0	62.0	294.80304	24.285715	7159.5024	397.75012	0.09826768	105.14616394042969	0	0	0	1	1	0	0	4	0	0	0	997	ugly
facebook-android-sdk	2922.json	3	3	3	0.0	0.7540662288665771	0.3299663473349484	0	0	0	1	1	1.89	0	2	2	17.0	4.0	23.0	6.0	21.0	29.0	127.377205	12.75	1624.0593	90.22552	0.042459067	127.76728820800781	0	0	0	1	1	0	0	1	0	2	1	0	good
facebook-android-sdk	3472.json	3	3	3	0.0	0.28670018911361694	0.3539479064902914	0	0	0	1	1	1.89	0	0	0	17.0	6.0	21.0	6.0	23.0	27.0	122.13617	8.5	1038.1575	57.675415	0.040712055	127.98577117919922	0	0	0	1	0	0	0	3	0	0	0	0	good
facebook-android-sdk	2936.json	11	9	11	0.0	0.0669953003525734	0.04884516262617455	2	2	4	2	2	5.34	1	6	5	22.0	7.0	44.0	14.0	29.0	58.0	281.7629	22.0	6198.784	344.3769	0.09392097	102.36054992675781	1	0	0	0	1	0	0	1	0	1	1	0	good
facebook-android-sdk	3386.json	6	4	6	0.0	0.06869563460350037	0.2362458027821089	0	0	0	1	1	4.99	0	3	3	20.0	5.0	29.0	7.0	25.0	36.0	167.17882	14.0	2340.5034	130.02797	0.05572627	115.1243667602539	0	0	0	1	1	0	0	1	1	0	0	227	ugly
facebook-android-sdk	752.json	3	3	3	0.0	0.3424830138683319	0.9233234190747621	0	0	0	1	1	1.89	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
facebook-android-sdk	3158.json	6	6	6	0.0	0.8868332505226135	0.7697040693878334	1	1	2	2	2	2.75	1	0	0	15.0	6.0	22.0	8.0	21.0	30.0	131.76952	10.0	1317.6952	73.20529	0.043923173	116.13201141357422	0	0	0	1	0	0	0	1	0	0	0	7	bad
facebook-android-sdk	576.json	48	29	39	0.10256410256410256	0.0	2.5629265745610333E-5	6	5	11	3	3	9.37	3	11	10	37.0	23.0	129.0	39.0	60.0	168.0	992.3576	31.369564	31129.826	1729.4348	0.33078587	75.07986450195312	1	0	0	0	0	0	0	0	3	0	0	1491	ugly
facebook-android-sdk	3496.json	10	10	10	0.0	0.05319521576166153	0.8804700389802107	1	2	3	3	3	5.08	3	1	1	16.0	3.0	30.0	6.0	19.0	36.0	152.9254	16.0	2446.8064	135.93369	0.050975133	106.85237884521484	1	0	0	0	0	0	0	0	0	0	0	0	good
