Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
hector	1781.json	3	3	3	0.0	0.9275093078613281	0.8006502860342426	0	0	0	1	1	0.94	0	1	1	11.0	3.0	14.0	5.0	14.0	19.0	72.339745	9.166666	663.11426	36.83968	0.024113249	130.70933532714844	0	0	0	1	0	0	0	0	0	0	0	33	bad
hector	2286.json	4	3	4	0.0	0.009931056760251522	0.5212941708555172	0	0	0	1	1	1.66	0	2	2	17.0	2.0	23.0	3.0	19.0	26.0	110.44612	12.75	1408.188	78.232666	0.036815375	123.8484878540039	0	0	0	1	0	0	0	1	0	0	0	73	noise
hector	1779.json	17	16	17	0.0	0.03339666873216629	0.0030979830294956124	5	5	10	4	4	2.03	2	6	5	23.0	11.0	69.0	19.0	34.0	88.0	447.69675	19.863636	8892.885	494.04916	0.14923225	92.44053649902344	0	0	0	1	0	0	0	0	2	0	0	522	noise
hector	2715.json	6	6	6	0.0	0.5984808206558228	0.38380594376785426	1	1	2	2	2	1.37	1	1	1	15.0	5.0	29.0	8.0	20.0	37.0	159.91133	12.0	1918.936	106.60756	0.05330378	115.12547302246094	0	0	0	1	0	0	0	1	0	2	1	67	noise
hector	2299.json	4	3	4	0.0	0.0	0.10912864402232135	0	0	0	1	1	1.66	0	1	1	17.0	9.0	27.0	10.0	26.0	37.0	173.91628	9.444445	1642.5426	91.252365	0.057972092	121.4874496459961	0	0	0	1	0	0	0	1	0	0	0	709	ugly
hector	1115.json	12	12	12	0.0	0.6229708790779114	0.008025915443899306	3	2	5	3	3	1.15	1	0	0	25.0	10.0	53.0	20.0	35.0	73.0	374.43765	25.0	9360.941	520.0523	0.12481255	99.24230194091797	0	0	0	1	0	0	0	1	4	2	2	206	noise
hector	1314.json	15	14	15	0.0	0.004178748466074467	2.0893884746579572E-5	3	3	6	4	4	1.5	1	8	5	27.0	12.0	81.0	26.0	39.0	107.0	565.538	29.250002	16541.988	918.9993	0.18851267	93.25314331054688	0	0	0	1	0	0	0	1	1	0	0	62	bad
hector	1377.json	6	6	6	0.0	0.34686002135276794	0.8544421999364792	1	1	2	2	2	1.37	1	0	0	13.0	2.0	21.0	4.0	15.0	25.0	97.672264	13.0	1269.7394	70.54108	0.03255742	117.6890869140625	1	0	0	0	0	0	0	0	0	0	0	29	bad
hector	1233.json	8	8	8	0.0	0.44665899872779846	0.16081749301332599	0	0	0	2	2	1.56	1	1	1	20.0	7.0	35.0	9.0	27.0	44.0	209.21506	12.857142	2689.9077	149.43932	0.06973835	109.06755828857422	0	0	0	1	1	0	0	1	0	0	0	50	bad
hector	2322.json	16	16	16	0.0	0.01274992898106575	5.4102816706661404E-5	0	0	0	2	2	2.6	2	4	4	35.0	15.0	76.0	22.0	50.0	98.0	553.0979	25.666668	14196.18	788.67664	0.18436597	92.78327941894531	0	0	0	1	0	0	0	4	1	0	0	431	noise
