Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
2825	4,7,12,12,12,13,13,13,15,15,14	4,7,10,10,10,10,10,10,12,12,12	4,7,10,10,10,10,10,10,12,12,12	0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.08333333333333333,0.08333333333333333,0.0	0.28509795665740967,0.3517388701438904,0.34104645252227783,0.34015849232673645,0.34015849232673645,0.5373042225837708,0.5373042225837708,0.5373042225837708,0.6439187526702881,0.6439187526702881,0.4394298493862152	0.3188054531952279,0.03695133261652919,0.03454907513323125,0.03520952198276956,0.03520952198276956,0.0508137297704965,0.0508137297704965,0.0508137297704965,0.04914582781411625,0.04914582781411625,0.032594125898283886	0,1,3,3,3,3,3,3,4,4,3	0,1,2,2,2,2,2,2,3,3,3	0,2,5,5,5,5,5,5,7,7,6	1,2,3,3,3,3,3,3,4,4,4	1,2,3,3,3,3,3,3,4,4,4	4.0,5.11,4.82,4.82,4.82,4.82,4.82,4.82,4.92,4.92,5.12	0,1,1,1,1,1,1,1,1,1,1	2,2,3,3,3,3,3,3,3,3,3	2,2,3,3,3,3,3,3,3,3,3	19.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0	4.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0	25.0,38.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0	5.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0	23.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0	30.0,48.0,59.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0	135.70686,240.0,302.6277,302.6277,302.6277,302.6277,302.6277,302.6277,325.59763,325.59763,325.59763	11.875,17.857143,20.25,20.25,20.25,20.25,20.25,20.25,20.833332,20.833332,20.833332	1611.519,4285.7144,6128.2104,6128.2104,6128.2104,6128.2104,6128.2104,6128.2104,6783.2837,6783.2837,6783.2837	89.52884,238.09525,340.45615,340.45615,340.45615,340.45615,340.45615,340.45615,376.8491,376.8491,376.8491	0.045235623,0.08,0.10087589,0.10087589,0.10087589,0.10087589,0.10087589,0.10087589,0.10853254,0.10853254,0.10853254	122.7774429321289,110.51692962646484,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,99.73906707763672,99.73906707763672,99.73906707763672	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	Emmanuel Bernard,Emmanuel Bernard,Emmanuel Bernard,Emmanuel Bernard,Sanne Grinovero,Sanne Grinovero,Sanne Grinovero,Hardy Ferentschik,Hardy Ferentschik,Hardy Ferentschik,Hardy Ferentschik	0,0,0,0,333,601,711,907,1148,1148,1228	1171,1171,1171,1171,1504,1772,1882,2078,2319,2319,2399	29/10/10-15/08/07,29/10/10-15/08/07,29/10/10-15/08/07,29/10/10-15/08/07,27/09/11-15/08/07,21/06/12-15/08/07,09/10/12-15/08/07,23/04/13-15/08/07,20/12/13-15/08/07,20/12/13-15/08/07,10/03/14-15/08/07	0,4,6,1,0,4,0,0,9,0,1	0,5,7,2,0,7,0,0,16,0,3	0,131,149,10,0,34,0,0,283,0,70	0,3,4,3,1476,7,7,2104,35,12,33	0,3,4,3,0,7,0,0,34,0,33	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1182.json	677	ugly
2113	4,4,4	4,4,4	4,4,4	0.0,0.0,0.0	0.4677131474018097,0.5008876919746399,0.5008876919746399	0.570667849091931,0.5530742198379778,0.5530742198379778	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	4.0,4.0,4.0	0,0,0	1,1,1	1,1,1	14.0,14.0,14.0	5.0,5.0,5.0	17.0,17.0,17.0	6.0,6.0,6.0	19.0,19.0,19.0	23.0,23.0,23.0	97.70234,97.70234,97.70234	8.400001,8.400001,8.400001	820.6997,820.6997,820.6997	45.59443,45.59443,45.59443	0.032567445,0.032567445,0.032567445	124.48601531982422,124.48601531982422,124.48601531982422	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	Nicolas Helleringer,Michael J. Simons,Hardy Ferentschik	0,58,195	1883,1941,2078	10/10/12-15/08/07,07/12/12-15/08/07,23/04/13-15/08/07	0,1,0	0,2,0	0,11,0	0,2,2104	0,2,0	0,0,0	0,0,0	0,0,0	2809.json	11	bad
2113	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.03664866089820862,0.03664866089820862,0.0017890013987198472	0.18755827206993225,0.18755827206993225,0.09819986613573105	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	0,0,0	17.0,17.0,17.0	5.0,5.0,6.0	23.0,23.0,26.0	7.0,7.0,9.0	22.0,22.0,23.0	30.0,30.0,35.0	133.78294,133.78294,158.32466	11.9,11.9,12.75	1592.017,1592.017,2018.6394	88.44539,88.44539,112.14664	0.044594314,0.044594314,0.052774888	127.51214599609375,127.51214599609375,126.63631439208984	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	2,2,3	0,0,0	0,0,0	0,0,0	Nicolas Helleringer,Hardy Ferentschik,Yoann Rodière	0,195,1531	1883,2078,3414	10/10/12-15/08/07,23/04/13-15/08/07,19/12/16-15/08/07	0,0,2	0,0,4	0,0,37	0,2104,56	0,0,56	0,0,0	0,0,0	0,0,0	2838.json	37	noise
2967	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.4773508906364441,0.45715510845184326,0.4138261675834656,0.447381854057312,0.447381854057312,0.447381854057312,0.447381854057312,0.4331716299057007	0.8324909705527145,0.8398130513351978,0.8303465509378196,0.7836581577053533,0.7836581577053533,0.7836581577053533,0.7836581577053533,0.8064260623632543	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0	4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0	13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0	16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0	59.207035,59.207035,59.207035,64.72504,64.72504,64.72504,64.72504,64.72504	11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0	651.2774,651.2774,651.2774,776.70044,776.70044,776.70044,776.70044,776.70044	36.18208,36.18208,36.18208,43.150024,43.150024,43.150024,43.150024,43.150024	0.019735679,0.019735679,0.019735679,0.021575011,0.021575011,0.021575011,0.021575011,0.021575011	131.75106811523438,131.75106811523438,131.75106811523438,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,1,1,1,1	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	Emmanuel Bernard,Emmanuel Bernard,Emmanuel Bernard,Emmanuel Bernard,Sanne Grinovero,Hardy Ferentschik,Sanne Grinovero,Sanne Grinovero	0,21,127,127,475,1049,1643,1643	1029,1050,1156,1156,1504,2078,2672,2672	09/06/10-15/08/07,30/06/10-15/08/07,14/10/10-15/08/07,14/10/10-15/08/07,27/09/11-15/08/07,23/04/13-15/08/07,08/12/14-15/08/07,08/12/14-15/08/07	0,1,1,1,0,0,0,1	0,2,2,2,0,0,0,2	0,5,23,7,0,0,0,19	0,15,21,1,1476,2104,227,102	0,14,21,1,0,0,0,102	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	711.json	54	noise
2534	3,3,3,3,4,4,4,4,5,5	3,3,3,3,4,4,4,4,5,5	3,3,3,3,4,4,4,4,5,5	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.180308535695076,0.10684569180011749,0.10684569180011749,0.4936792850494385,0.36082547903060913,0.36082547903060913,0.36082547903060913,0.36082547903060913,0.31897833943367004,0.4544951319694519	0.8501970976274281,0.7919928482717575,0.7919928482717575,0.8061036306474749,0.5424233225816892,0.5397082414524332,0.5397082414524332,0.5397082414524332,0.3844499642667467,0.4697432526895329	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,4.0,4.0,4.0,4.0,3.92,3.92	0,0,0,0,0,0,0,0,0,0	1,1,1,1,3,3,3,3,5,5	1,1,1,1,3,3,3,3,5,5	9.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,14.0,14.0	1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0	11.0,12.0,12.0,12.0,19.0,19.0,19.0,19.0,25.0,24.0	1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0	10.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,18.0,17.0	12.0,14.0,14.0,14.0,23.0,23.0,23.0,23.0,29.0,27.0	39.863136,50.189476,50.189476,50.189476,92.0,92.0,92.0,92.0,120.92783,110.361496	4.5,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0	179.38411,250.94739,250.94739,250.94739,552.0,552.0,552.0,552.0,846.4948,772.53046	9.965784,13.941522,13.941522,13.941522,30.666666,30.666666,30.666666,30.666666,47.02749,42.918358	0.013287712,0.016729826,0.016729826,0.016729826,0.030666666,0.030666666,0.030666666,0.030666666,0.040309276,0.036787163	133.80813598632812,132.61029052734375,132.61029052734375,132.61029052734375,124.7987289428711,124.7987289428711,124.7987289428711,124.7987289428711,119.76210021972656,120.237548828125	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	Sanne Grinovero,Sanne Grinovero,Sanne Grinovero,Sanne Grinovero,Sanne Grinovero,Hardy Ferentschik,Sanne Grinovero,Hardy Ferentschik,Gustavo Fernandes,gustavonalle	0,1,1,28,28,28,42,616,1168,1578	1462,1463,1463,1490,1490,1490,1504,2078,2630,3040	16/08/11-15/08/07,17/08/11-15/08/07,17/08/11-15/08/07,13/09/11-15/08/07,13/09/11-15/08/07,13/09/11-15/08/07,27/09/11-15/08/07,23/04/13-15/08/07,27/10/14-15/08/07,11/12/15-15/08/07	0,1,0,1,1,1,0,0,1,1	0,2,0,2,1,2,0,0,1,2	0,13,0,15,58,1,0,0,31,13	0,3,4,3,1,3,1476,2104,30,5	0,3,3,3,1,3,0,0,30,5	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1359.json	131	noise
3672	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.6809645295143127,0.6809645295143127,0.6809645295143127,0.6809645295143127,0.6809645295143127,0.6809645295143127	0.875491863134017,0.875491863134017,0.875491863134017,0.875491863134017,0.875491863134017,0.875491863134017	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	10.0,10.0,10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0,2.0,2.0	12.0,12.0,12.0,12.0,12.0,12.0	3.0,3.0,3.0,3.0,3.0,3.0	12.0,12.0,12.0,12.0,12.0,12.0	15.0,15.0,15.0,15.0,15.0,15.0	53.77444,53.77444,53.77444,53.77444,53.77444,53.77444	7.5,7.5,7.5,7.5,7.5,7.5	403.30832,403.30832,403.30832,403.30832,403.30832,403.30832	22.406017,22.406017,22.406017,22.406017,22.406017,22.406017	0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.017924814	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	Hardy Ferentschik,Hardy Ferentschik,Hardy Ferentschik,Emmanuel Bernard,Sanne Grinovero,Hardy Ferentschik	0,264,619,1095,1179,1754	324,588,943,1419,1503,2078	04/07/08-15/08/07,25/03/09-15/08/07,15/03/10-15/08/07,04/07/11-15/08/07,26/09/11-15/08/07,23/04/13-15/08/07	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,567,815,15,279,2104	0,0,0,0,20,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	6465.json	0	good
3996	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.6949987411499023,0.6949987411499023,0.8744287490844727,0.8744287490844727,0.8744287490844727,0.8744287490844727,0.8744287490844727,0.8981114029884338	0.7259293828409338,0.7259293828409338,0.4936428392791131,0.4936428392791131,0.4936428392791131,0.4936428392791131,0.4936428392791131,0.4904472789517077	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0	4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0	13.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0	4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0	16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0	17.0,17.0,22.0,22.0,22.0,22.0,22.0,22.0	68.0,68.0,93.45441,93.45441,93.45441,93.45441,93.45441,93.45441	6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0	408.0,408.0,654.18085,654.18085,654.18085,654.18085,654.18085,654.18085	22.666666,22.666666,36.34338,36.34338,36.34338,36.34338,36.34338,36.34338	0.022666667,0.022666667,0.03115147,0.03115147,0.03115147,0.03115147,0.03115147,0.03115147	131.03103637695312,131.03103637695312,129.37762451171875,129.37762451171875,129.37762451171875,129.37762451171875,129.37762451171875,129.37762451171875	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	Emmanuel Bernard,Hardy Ferentschik,Emmanuel Bernard,Hardy Ferentschik,Emmanuel Bernard,Sanne Grinovero,Hardy Ferentschik,Sanne Grinovero	0,588,917,943,1296,1503,2078,3339	0,588,917,943,1296,1503,2078,3339	15/08/07-15/08/07,25/03/09-15/08/07,17/02/10-15/08/07,15/03/10-15/08/07,03/03/11-15/08/07,26/09/11-15/08/07,23/04/13-15/08/07,05/10/16-15/08/07	0,0,1,0,0,0,0,1	0,0,2,0,0,0,0,2	0,0,97,0,0,0,0,11	0,567,5,815,95,279,2104,6	0,0,5,0,0,20,0,6	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	6633.json	97	noise
2984	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.9558959603309631,0.9558959603309631,0.9558959603309631,0.9558959603309631	0.9120925903683024,0.9120925903683024,0.9120925903683024,0.9120925903683024	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,0,0,0	9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	Emmanuel Bernard,Emmanuel Bernard,Sanne Grinovero,Hardy Ferentschik	0,92,492,1066	1012,1104,1504,2078	23/05/10-15/08/07,23/08/10-15/08/07,27/09/11-15/08/07,23/04/13-15/08/07	0,0,0,0	0,0,0,0	0,0,0,0	0,111,1476,2104	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2413.json	0	good
3996	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.7973781824111938,0.7973781824111938,0.7973781824111938,0.8156970739364624,0.8156970739364624,0.8156970739364624,0.8156970739364624	0.8854060990350318,0.8854060990350318,0.8854060990350318,0.8733039666282603,0.8733039666282603,0.8733039666282603,0.8733039666282603	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0	1,1,1,1,1,1,1	1,1,1,1,1,1,1	10.0,10.0,10.0,10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0	13.0,13.0,13.0,13.0,13.0,13.0,13.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0	12.0,12.0,12.0,12.0,12.0,12.0,12.0	15.0,15.0,15.0,15.0,15.0,15.0,15.0	53.77444,53.77444,53.77444,53.77444,53.77444,53.77444,53.77444	5.0,5.0,5.0,5.0,5.0,5.0,5.0	268.8722,268.8722,268.8722,268.8722,268.8722,268.8722,268.8722	14.937344,14.937344,14.937344,14.937344,14.937344,14.937344,14.937344	0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.017924814	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	Emmanuel Bernard,Hardy Ferentschik,Hardy Ferentschik,Sanne Grinovero,Emmanuel Bernard,Sanne Grinovero,Hardy Ferentschik	0,588,943,1211,1419,1504,2078	0,588,943,1211,1419,1504,2078	15/08/07-15/08/07,25/03/09-15/08/07,15/03/10-15/08/07,08/12/10-15/08/07,04/07/11-15/08/07,27/09/11-15/08/07,23/04/13-15/08/07	0,0,0,1,0,0,0	0,0,0,2,0,0,0	0,0,0,5,0,0,0	0,567,815,25,9,1476,2104	0,0,0,25,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1589.json	5	bad
3167	8,8,8,8,8,8,8,8	7,7,7,7,7,7,7,7	7,7,7,7,7,7,7,7	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.019231442362070084,0.016859667375683784,0.016859667375683784,0.01873283088207245,0.026813093572854996,0.0291548240929842,0.0291548240929842,0.0291548240929842	0.003556871392352395,0.0027400611106130363,0.0027400611106130363,0.002772763488508572,0.004270987713843082,0.002836852037587079,0.002836852037587079,0.002836852037587079	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11	1,1,1,1,1,1,1,1	5,5,5,5,5,5,5,5	5,5,5,5,5,5,5,5	27.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0	6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0	53.0,54.0,54.0,54.0,53.0,55.0,55.0,55.0	11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0	33.0,34.0,34.0,34.0,33.0,34.0,34.0,34.0	64.0,65.0,65.0,65.0,63.0,65.0,65.0,65.0	322.84122,330.6851,330.6851,330.6851,317.7968,330.6851,330.6851,330.6851	24.75,25.666668,25.666668,25.666668,28.0,29.0,29.0,29.0	7990.3203,8487.584,8487.584,8487.584,8898.311,9589.867,9589.867,9589.867	443.90668,471.53244,471.53244,471.53244,494.3506,532.7704,532.7704,532.7704	0.10761374,0.11022836,0.11022836,0.11022836,0.10593227,0.11022836,0.11022836,0.11022836	108.97502136230469,108.85018920898438,108.85018920898438,108.85018920898438,109.05691528320312,108.85018920898438,108.85018920898438,108.85018920898438	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	Emmanuel Bernard,Emmanuel Bernard,Hardy Ferentschik,Sanne Grinovero,Sanne Grinovero,Gail Badner,Hardy Ferentschik,Sanne Grinovero	0,7,114,675,864,886,1249,1844	828,835,943,1504,1693,1715,2078,2672	20/11/09-15/08/07,27/11/09-15/08/07,15/03/10-15/08/07,27/09/11-15/08/07,03/04/12-15/08/07,25/04/12-15/08/07,23/04/13-15/08/07,08/12/14-15/08/07	0,8,0,0,1,1,0,0	0,16,0,0,2,2,0,0	0,15,0,7,20,20,0,0	0,14,815,1476,17,6,2104,227	0,14,0,0,17,6,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,1,0,0	0,1,0,0,0,1,0,0	1058.json	62	noise
