Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
lombok	801.json	3	4	3	0.0	0.38919201493263245	0.37334916408831353	0	0	0	1	1	3.77	0	0	0	17.0	3.0	21.0	5.0	20.0	26.0	112.37013	14.166666	1591.9102	88.43945	0.03745671	128.41912841796875	0	1	0	0	0	0	0	2	0	0	0	40	noise
lombok	1781.json	5	5	5	0.0	1.569364103488624E-4	5.546043264961023E-4	0	0	0	2	2	3.92	0	5	5	26.0	7.0	53.0	13.0	33.0	66.0	332.93	24.142857	8037.881	446.54895	0.110976666	114.26586151123047	1	0	0	0	0	0	0	1	2	0	0	554	ugly
lombok	2809.json	4	4	4	0.0	0.01496422290802002	0.2372828303897985	0	0	0	1	1	4.0	0	2	2	16.0	4.0	23.0	10.0	20.0	33.0	142.62363	20.0	2852.4727	158.4707	0.04754121	122.5189437866211	0	0	0	1	1	0	0	2	0	0	0	110	noise
lombok	1421.json	5	6	5	0.0	0.5562070608139038	0.2456421120081934	2	1	3	2	2	3.92	0	2	2	15.0	5.0	25.0	10.0	20.0	35.0	151.26749	15.0	2269.0122	126.05624	0.050422497	118.36804962158203	0	1	0	0	0	0	0	1	1	0	0	122	noise
lombok	711.json	3	4	3	0.0	0.9109325408935547	0.8028567480344871	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	0	0	0	0	0	0	good
lombok	2080.json	6	7	6	0.0	0.0013523625675588846	0.0033776077291615076	1	1	2	2	2	3.77	0	7	6	21.0	8.0	46.0	13.0	29.0	59.0	286.62088	17.0625	4890.4688	271.69272	0.09554029	112.091064453125	0	0	0	1	0	0	0	0	1	0	0	69	noise
lombok	1589.json	3	4	3	0.0	0.8063393235206604	0.8092571878274613	0	0	0	1	1	3.77	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	0	0	0	0	0	23	noise
lombok	1058.json	4	5	4	0.0	0.12545594573020935	0.33264744063544854	0	0	0	1	1	4.0	0	2	2	16.0	6.0	21.0	7.0	22.0	28.0	124.86409	9.333333	1165.3982	64.74435	0.041621365	123.21045684814453	0	0	0	1	0	0	0	2	0	0	0	32	noise
lombok	3090.json	10	11	10	0.0	0.10638057440519333	0.004564200731252207	1	1	2	3	3	6.25	1	3	1	24.0	10.0	51.0	17.0	34.0	68.0	345.94748	20.400002	7057.329	392.07385	0.115315825	102.60742950439453	1	0	0	0	1	0	0	1	2	0	0	16	bad
lombok	2893.json	96	85	82	0.07317073170731707	0.0	3.5401308319092706E-86	4	7	11	8	8	6.03	1	33	11	58.0	84.0	714.0	287.0	142.0	1001.0	7156.8965	99.083336	709129.2	39396.066	2.3856323	51.616825103759766	0	1	0	0	0	0	0	7	31	3	1	188	noise
lombok	944.json	4	5	4	0.0	0.0	0.034211923552881725	0	0	0	1	1	4.0	0	2	2	16.0	7.0	33.0	13.0	23.0	46.0	208.08385	14.857142	3091.5312	171.75174	0.069361284	120.55474090576172	0	0	0	1	0	0	0	6	0	0	0	0	good
lombok	2743.json	13	12	12	0.0	0.0027866908349096775	7.314141013778998E-5	2	2	4	3	3	7.63	2	0	0	29.0	11.0	70.0	24.0	40.0	94.0	500.26123	31.636364	15826.446	879.247	0.16675374	97.73583221435547	0	0	0	1	1	0	0	3	4	0	0	0	good
