Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
mockito	1781.json	4	4	4	0.0	0.5286485552787781	0.8871618549712724	0	0	0	1	1	2.0	0	1	1	12.0	4.0	16.0	4.0	16.0	20.0	80.0	6.0	480.0	26.666666	0.026666667	125.5254898071289	0	0	0	1	1	0	0	1	0	0	0	78	noise
mockito	1139.json	5	5	5	0.0	0.7867825031280518	0.9073966786792212	0	0	0	1	1	1.96	0	0	0	10.0	4.0	15.0	6.0	14.0	21.0	79.95445	7.5	599.6584	33.314354	0.026651485	121.91352844238281	0	0	0	1	0	0	0	0	1	0	0	200	noise
mockito	1421.json	3	3	3	0.0	0.7469804286956787	0.9489908626492137	0	0	0	1	1	1.89	0	1	1	10.0	3.0	13.0	4.0	13.0	17.0	62.907475	6.666667	419.38318	23.299065	0.020969158	131.43582153320312	0	0	0	1	0	0	0	1	0	0	0	0	good
mockito	711.json	3	3	3	0.0	0.9154468178749084	0.850687057924843	0	0	0	1	1	1.89	0	0	0	12.0	3.0	13.0	3.0	15.0	16.0	62.51025	6.0	375.0615	20.83675	0.02083675	131.46876525878906	0	0	0	1	0	0	0	1	0	0	0	0	good
mockito	1589.json	6	4	4	0.25	0.9249652028083801	0.767905518837045	0	0	0	1	1	1.96	0	2	2	15.0	2.0	23.0	5.0	17.0	28.0	114.44896	18.75	2145.918	119.21767	0.038149655	123.66336059570312	0	0	0	1	0	0	0	1	0	0	0	145	noise
mockito	1058.json	9	5	8	0.0	0.23884284496307373	0.007616498508939873	0	0	0	1	1	4.36	0	5	5	24.0	8.0	47.0	18.0	32.0	65.0	325.0	27.0	8775.0	487.5	0.108333334	107.00715637207031	0	0	0	1	1	0	0	4	1	0	0	417	ugly
mockito	944.json	3	3	3	0.0	0.6208385229110718	0.8735347070539842	0	0	0	1	1	1.89	0	1	1	10.0	3.0	13.0	4.0	13.0	17.0	62.907475	6.666667	419.38318	23.299065	0.020969158	131.43582153320312	0	0	0	1	0	0	0	1	0	0	0	0	good
mockito	847.json	9	7	7	0.0	0.517302393913269	0.11987596403377947	0	0	0	2	2	2.56	1	1	1	20.0	5.0	44.0	9.0	25.0	53.0	246.12437	18.0	4430.239	246.12437	0.08204146	110.38590240478516	0	0	0	1	1	0	0	1	2	0	0	16	bad
mockito	1318.json	5	5	5	0.0	0.12682946026325226	0.29533842370478114	1	1	2	2	2	2.99	1	5	5	18.0	3.0	29.0	6.0	21.0	35.0	153.73111	18.0	2767.16	153.73111	0.051243704	118.28404235839844	0	0	0	1	0	0	0	2	0	0	0	310	ugly
mockito	1449.json	3	3	3	0.0	0.517681896686554	0.5824682695417498	0	0	0	1	1	1.89	0	1	1	16.0	3.0	18.0	4.0	19.0	22.0	93.45441	10.666667	996.84705	55.38039	0.03115147	129.37762451171875	0	0	0	1	1	0	0	1	0	0	0	31	noise
mockito	454.json	7	7	7	0.0	0.00419169245287776	0.07224985437916838	2	1	3	3	3	4.12	2	4	3	19.0	6.0	42.0	10.0	25.0	52.0	241.48051	15.833333	3823.4414	212.4134	0.0804935	110.25495147705078	0	0	0	0	0	0	0	2	1	0	0	22	noise
mockito	940.json	3	3	3	0.0	0.5866606831550598	0.7255659916874108	0	0	0	1	1	1.89	0	0	0	13.0	2.0	16.0	3.0	15.0	19.0	74.23092	9.75	723.75146	40.208416	0.024743639	130.57513427734375	0	0	0	1	1	0	0	1	0	0	0	17	bad
mockito	752.json	14	14	14	0.0	0.06720975041389465	0.010783860001621183	2	2	4	4	4	3.61	2	3	1	22.0	8.0	60.0	20.0	30.0	80.0	392.55124	27.5	10795.159	599.7311	0.13085042	96.26940155029297	0	0	0	1	0	0	0	1	2	0	0	205	ugly
mockito	1044.json	9	3	9	0.0	0.8475144505500793	0.8967284436666412	0	0	0	1	1	5.14	0	0	0	13.0	3.0	20.0	13.0	16.0	33.0	132.0	28.166668	3718.0002	206.55557	0.044	109.78439331054688	0	0	0	1	1	0	0	0	0	0	0	239	ugly
mockito	55.json	3	3	3	0.0	2.7072877855971456E-4	0.07418349370759261	0	0	0	1	1	1.89	0	2	2	16.0	6.0	26.0	11.0	22.0	37.0	164.99898	14.666667	2419.985	134.44362	0.05499966	126.42160034179688	0	0	0	1	1	0	0	1	0	0	0	241	ugly
mockito	658.json	6	6	6	0.0	0.2427261918783188	0.47370619630069455	1	1	2	2	2	3.27	0	3	3	19.0	4.0	29.0	6.0	23.0	35.0	158.32466	14.25	2256.1265	125.34036	0.052774888	115.17733001708984	0	0	0	1	0	0	0	1	0	0	0	0	good
mockito	1557.json	27	25	25	0.0	0.0	4.4914098274144694E-13	1	1	2	6	6	2.8	2	18	13	46.0	17.0	161.0	50.0	63.0	211.0	1261.206	67.64706	85316.875	4739.826	0.42040202	80.34712982177734	0	0	0	1	0	0	0	0	4	0	0	129	noise
mockito	1032.json	5	3	5	0.0	0.9507043957710266	0.8769140424696623	0	0	0	1	1	4.38	0	1	1	13.0	3.0	17.0	3.0	16.0	20.0	80.0	6.5	520.0	28.88889	0.026666667	121.91056823730469	0	0	0	1	1	0	0	0	0	0	0	646	ugly
mockito	193.json	4	4	4	0.0	0.28350189328193665	0.7621218193440011	0	0	0	1	1	2.0	0	2	2	13.0	4.0	18.0	5.0	17.0	23.0	94.01165	8.125	763.84467	42.435814	0.031337216	124.6862564086914	1	0	0	0	0	0	0	1	0	0	0	116	noise
mockito	1115.json	3	3	3	0.0	0.7721760272979736	0.9532679706377052	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	24	noise
mockito	496.json	3	3	3	0.0	0.16807706654071808	0.870009149340966	0	0	0	1	1	1.89	0	2	2	11.0	2.0	16.0	2.0	13.0	18.0	66.60792	5.5	366.34354	20.352419	0.022202639	131.1385955810547	0	0	0	1	0	0	1	0	0	0	0	0	good
mockito	928.json	12	12	12	0.0	0.15226306021213531	0.08973972909310751	4	3	7	4	4	2.56	1	6	5	20.0	3.0	57.0	7.0	23.0	64.0	289.50797	23.333332	6755.1855	375.2881	0.096502654	100.34996032714844	0	0	0	0	0	0	0	0	1	0	0	130	noise
mockito	986.json	3	3	3	0.0	0.9579665660858154	0.8778487646496995	0	0	0	1	1	1.89	0	1	1	11.0	3.0	13.0	3.0	14.0	16.0	60.91768	5.5	335.04724	18.613735	0.020305892	131.60296630859375	0	0	0	1	0	0	0	0	0	0	0	6	bad
mockito	613.json	4	4	4	0.0	0.6732099056243896	0.7308971819967591	0	0	0	1	1	2.0	0	1	1	15.0	3.0	20.0	4.0	18.0	24.0	100.0782	10.0	1000.782	55.599	0.0333594	124.361083984375	0	0	0	1	0	0	0	1	0	0	0	3	bad
mockito	83.json	4	4	4	0.0	0.5115612149238586	0.6733522032078829	0	0	0	1	1	2.0	0	1	1	15.0	2.0	20.0	3.0	17.0	23.0	94.01165	11.25	1057.6311	58.757282	0.031337216	124.6862564086914	0	0	0	1	1	0	0	0	1	0	0	101	noise
mockito	920.json	9	8	8	0.0	0.25462132692337036	0.015369313871087958	3	2	5	2	2	2.4	1	3	3	27.0	6.0	45.0	13.0	33.0	58.0	292.57486	29.250002	8557.815	475.4342	0.097524956	107.32369995117188	1	0	0	0	0	0	0	2	3	0	0	4796	ugly
mockito	71.json	4	4	4	0.0	0.6877711415290833	0.5927623030499577	0	0	0	1	1	2.0	0	1	1	15.0	3.0	20.0	4.0	18.0	24.0	100.0782	10.0	1000.782	55.599	0.0333594	124.361083984375	0	0	0	1	1	0	0	1	0	0	0	112	noise
mockito	573.json	4	4	4	0.0	0.2746802270412445	0.8923434831178203	0	0	0	1	1	2.0	0	1	1	11.0	3.0	16.0	6.0	14.0	22.0	83.76181	11.0	921.3799	51.18777	0.027920604	125.28655242919922	1	0	0	0	0	0	0	1	0	0	0	0	good
