Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
678	5,5,5	5,5,5	5,5,5	0.0,0.0,0.0	0.002890725852921605,0.002699722535908222,0.10062751173973083	0.0788111488161663,0.08884531051307905,0.16386453914822796	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.96,1.96,1.96	0,0,0	2,2,4	2,2,4	15.0,15.0,19.0	11.0,11.0,4.0	27.0,27.0,30.0	16.0,16.0,9.0	26.0,26.0,23.0	43.0,43.0,39.0	202.11891,202.11891,176.41891	10.909091,10.909091,21.375	2204.9336,2204.9336,3770.9543	122.49631,122.49631,209.49747	0.06737297,0.06737297,0.058806304	117.09105682373047,117.09105682373047,117.79822540283203	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	2,2,2	1,1,1	0,0,0	0,0,0	Matthias Broecheler,Matthias Broecheler,Matthias Broecheler	0,92,446	698,790,1144	24/01/14-26/02/12,27/04/14-26/02/12,16/04/15-26/02/12	0,2,5	0,4,10	0,21,174	0,70,74	0,70,73	0,0,0	0,0,1	0,0,1	1781.json	624	ugly
939	3,3	3,3	3,3	0.0,0.0	0.4649346172809601,0.7145911455154419	0.8521026542554473,0.9034316027764997	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	2,2	2,2	12.0,10.0	2.0,2.0	16.0,14.0	2.0,2.0	14.0,12.0	18.0,16.0	68.53239,57.3594	6.0,5.0	411.19434,286.797	22.84413,15.9331665	0.022844128,0.019119801	130.99049377441406,131.91592407226562	0,0	0,0	0,0	1,1	0,0	0,0	1,1	0,0	0,0	0,0	0,0	Matthias Broecheler,Matthias Broecheler	0,257	436,694	08/05/13-26/02/12,20/01/14-26/02/12	0,1	0,2	0,6	0,204	0,203	0,0	0,0	0,0	1421.json	168	noise
655	3,3,3	3,3,3	3,3,3	0.3333333333333333,0.3333333333333333,0.3333333333333333	0.9674149751663208,0.9739717245101929,0.9789572358131409	0.9848498957238667,0.9875053533289047,0.9883397334192688	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,0,0	9.0,9.0,9.0	2.0,2.0,2.0	10.0,10.0,10.0	2.0,2.0,2.0	11.0,11.0,11.0	12.0,12.0,12.0	41.51318,41.51318,41.51318	4.5,4.5,4.5	186.80931,186.80931,186.80931	10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	Matthias Broecheler,Matthias Broecheler,Matthias Broecheler	0,9,17	721,730,738	16/02/14-26/02/12,25/02/14-26/02/12,05/03/14-26/02/12	0,2,2	0,4,4	0,6,4	0,520,234	0,392,204	0,0,0	0,0,0	0,0,0	2286.json	135	noise
315	36,36,36	30,30,30	31,31,31	0.03225806451612903,0.03225806451612903,0.03225806451612903	0.0,0.0,0.0	1.1858172327411905E-12,9.993284883279348E-13,2.6314556545899114E-12	4,4,4	4,4,4	8,8,8	5,5,5	5,5,5	4.63,4.63,4.63	3,3,3	18,18,18	14,14,14	40.0,40.0,40.0	23.0,24.0,22.0	154.0,154.0,153.0	70.0,70.0,68.0	63.0,64.0,62.0	224.0,224.0,221.0	1338.9108,1344.0,1315.8774	60.869564,58.333336,61.81818	81498.914,78400.0,81345.15	4527.7173,4355.5557,4519.175	0.44630358,0.448,0.4386258	76.78142547607422,76.7616958618164,76.87165832519531	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	5,5,5	0,0,0	0,0,0	Dan LaRocque,Dan LaRocque,Bryn Cooke	0,59,103	1061,1120,1164	22/01/15-26/02/12,23/03/15-26/02/12,06/05/15-26/02/12	0,1,2	0,2,4	0,4,36	0,1,165	0,1,163	0,0,0	0,1,0	0,1,0	2100.json	382	ugly
638	34,34,34,37,35,35,35,36,42,42	32,32,32,32,32,32,32,33,37,37	32,32,32,32,32,32,32,33,37,37	0.0625,0.0625,0.0625,0.15625,0.09375,0.09375,0.09375,0.09090909090909091,0.13513513513513514,0.13513513513513514	7.703213486820459E-4,0.0011180469300597906,7.703213486820459E-4,0.0014624560717493296,0.0011035659117624164,0.0010953883174806833,9.475992410443723E-4,5.174140678718686E-4,1.847112871473655E-4,1.8497425480745733E-4	6.737865286564342E-10,1.4068401814942801E-9,6.737865286564342E-10,1.3158939746326105E-9,6.350370224940219E-10,6.635367876177808E-10,8.118827895612295E-10,4.187484433708376E-11,2.5605711765952026E-12,2.2225320761171727E-12	5,5,5,5,5,5,5,5,5,5	5,5,5,5,5,5,5,5,5,5	10,10,10,10,10,10,10,10,10,10	7,7,7,7,7,7,7,7,8,8	7,7,7,7,7,7,7,7,8,8	3.76,3.76,3.76,5.38,4.72,4.72,4.72,4.68,4.88,4.88	3,3,3,3,3,3,3,3,3,3	19,22,19,22,22,22,23,24,25,25	16,17,16,19,19,19,20,21,22,23	44.0,46.0,44.0,48.0,48.0,48.0,48.0,49.0,51.0,52.0	27.0,23.0,27.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0	138.0,142.0,138.0,145.0,145.0,145.0,144.0,152.0,167.0,167.0	47.0,41.0,47.0,42.0,42.0,42.0,42.0,49.0,57.0,57.0	71.0,69.0,71.0,72.0,72.0,72.0,72.0,73.0,76.0,77.0	185.0,183.0,185.0,187.0,187.0,187.0,186.0,201.0,224.0,224.0	1137.7031,1117.86,1137.7031,1153.776,1153.776,1153.776,1147.6061,1244.1548,1399.5358,1403.7603	38.296295,41.0,38.296295,42.0,42.0,42.0,42.0,50.020836,58.14,59.28	43569.816,45832.258,43569.816,48458.594,48458.594,48458.594,48199.457,62233.664,81369.01,83214.91	2420.5454,2546.2366,2420.5454,2692.144,2692.144,2692.144,2677.7476,3457.4258,4520.5005,4623.0503	0.37923437,0.37262,0.37923437,0.384592,0.384592,0.384592,0.38253537,0.41471827,0.46651193,0.4679201	76.65389251708984,76.7453842163086,76.65389251708984,76.58094024658203,76.58094024658203,76.58094024658203,76.60882568359375,75.69027709960938,72.994873046875,72.97920227050781	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	4,4,4,4,4,4,4,4,4,4	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	Matthias Broecheler,Matthias Broecheler,Dan LaRocque,Dan LaRocque,Dan LaRocque,Dan LaRocque,Matthias Broecheler,Dan LaRocque,Matthias Broecheler,Bryn Cooke	0,41,42,49,49,49,59,158,204,426	738,779,780,787,787,787,797,896,942,1164	05/03/14-26/02/12,16/04/14-26/02/12,17/04/14-26/02/12,24/04/14-26/02/12,24/04/14-26/02/12,24/04/14-26/02/12,04/05/14-26/02/12,11/08/14-26/02/12,26/09/14-26/02/12,06/05/15-26/02/12	0,3,3,6,0,2,1,1,8,1	0,6,6,9,2,4,2,1,10,2	0,63,63,195,110,12,12,129,478,4	0,65,72,95,4,1,73,3,5,165	0,61,68,91,4,1,66,3,5,163	0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,1,0	2080.json	0	good
757	3,3	3,3	3,3	0.0,0.0	0.6991973519325256,0.8146821856498718	0.8888349171646124,0.8997337160437547	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	0,0	0,0	10.0,10.0	3.0,3.0	11.0,11.0	3.0,3.0	13.0,13.0	14.0,14.0	51.806156,51.806156	5.0,5.0	259.0308,259.0308	14.390599,14.390599	0.01726872,0.01726872	132.4454345703125,132.4454345703125	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	0,0	0,0	0,0	Matthias Broecheler,Matthias Broecheler	0,186	619,805	06/11/13-26/02/12,12/05/14-26/02/12	0,2	0,4	0,28	0,54	0,44	0,0	0,0	0,0	1589.json	31	noise
1011	8,10,10,18,15,15	9,14,14,18,15,15	8,10,10,16,13,13	0.0,0.0,0.0,0.0,0.0,0.0	0.10413672029972076,0.1271069198846817,0.14425821602344513,0.17037968337535858,0.23803849518299103,0.22136087715625763	0.30585962636811326,0.1265366686561639,0.12487289743188079,0.008824372165822431,0.10790179553045563,0.10865513753702433	0,0,0,2,0,0	0,0,0,2,0,0	0,0,0,4,0,0	1,1,1,3,1,1	1,1,1,3,1,1	3.97,3.69,3.69,3.43,3.69,3.69	1,1,1,1,1,1	2,2,2,4,4,4	2,2,2,4,4,4	20.0,22.0,22.0,31.0,27.0,27.0	5.0,7.0,7.0,7.0,8.0,8.0	38.0,46.0,46.0,70.0,52.0,52.0	5.0,7.0,7.0,13.0,11.0,11.0	25.0,29.0,29.0,38.0,35.0,35.0	43.0,53.0,53.0,83.0,63.0,63.0	199.6858,257.473,257.473,435.578,323.14484,323.14484	10.0,11.0,11.0,28.785713,18.5625,18.5625	1996.858,2832.203,2832.203,12538.424,5998.376,5998.376	110.936554,157.3446,157.3446,696.5791,333.2431,333.2431	0.06656194,0.08582433,0.08582433,0.14519267,0.10771494,0.10771494	109.53997039794922,104.60336303710938,104.60336303710938,93.79535675048828,99.17169952392578,99.17169952392578	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	Matthias Broecheler,Matthias Broecheler,Matthias Broecheler,Matthias Broecheler,Matthias Broecheler,Dan LaRocque	0,69,71,215,215,338	365,434,436,580,580,703	25/02/13-26/02/12,06/05/13-26/02/12,08/05/13-26/02/12,29/09/13-26/02/12,29/09/13-26/02/12,29/01/14-26/02/12	0,2,3,13,1,1	0,2,6,18,5,2	0,87,15,440,258,7	0,21,157,9,3,112	0,21,155,9,3,112	0,0,0,0,0,0	0,1,0,0,0,0	0,1,0,0,0,0	1058.json	108	noise
1011	3,3,3,5	3,3,3,3	3,3,3,5	0.0,0.0,0.0,0.0	0.41791364550590515,0.42183682322502136,0.42183682322502136,0.18971142172813416	0.7285883334596208,0.7174200414621442,0.7174200414621442,0.1618103995629447	0,0,0,1	0,0,0,1	0,0,0,2	1,1,1,2	1,1,1,2	1.89,1.89,1.89,5.43	0,0,0,0	1,1,1,3	1,1,1,3	13.0,13.0,13.0,21.0	4.0,4.0,4.0,5.0	15.0,15.0,15.0,30.0	4.0,4.0,4.0,7.0	17.0,17.0,17.0,26.0	19.0,19.0,19.0,37.0	77.6618,77.6618,77.6618,173.91628	6.5,6.5,6.5,14.7	504.80167,504.80167,504.80167,2556.569	28.044537,28.044537,28.044537,142.03162	0.025887266,0.025887266,0.025887266,0.057972092	130.34019470214844,130.34019470214844,130.34019470214844,117.64252471923828	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,1	0,0,0,1	Matthias Broecheler,Matthias Broecheler,Matthias Broecheler,Matthias Broecheler	0,357,365,445	365,722,730,810	25/02/13-26/02/12,17/02/14-26/02/12,25/02/14-26/02/12,17/05/14-26/02/12	0,1,0,3	0,2,0,4	0,7,0,149	0,66,520,126	0,60,392,122	0,0,0,0	0,0,0,0	0,0,0,0	3090.json	0	good
878	14,14,14,14,17	14,14,14,14,17	14,14,14,14,17	0.0,0.0,0.0,0.0,0.0	0.2568116784095764,0.18643160164356232,0.16368572413921356,0.18643160164356232,0.057335466146469116	0.17196032381928714,0.09952054824013787,0.0977248735677889,0.09952054824013787,0.011273518410923182	7,7,7,7,8	5,5,5,5,7	12,12,12,12,15	6,6,6,6,8	6,6,6,6,8	2.7,2.7,2.7,2.7,3.05	0,0,0,0,1	2,2,2,2,3	1,1,1,1,2	19.0,19.0,19.0,19.0,21.0	7.0,7.0,7.0,7.0,7.0	54.0,54.0,54.0,54.0,70.0	15.0,15.0,15.0,15.0,20.0	26.0,26.0,26.0,26.0,28.0	69.0,69.0,69.0,69.0,90.0	324.33035,324.33035,324.33035,324.33035,432.66196	20.357141,20.357141,20.357141,20.357141,30.0	6602.439,6602.439,6602.439,6602.439,12979.858	366.80215,366.80215,366.80215,366.80215,721.1033	0.108110115,0.108110115,0.108110115,0.108110115,0.14422065	96.80210876464844,96.80210876464844,96.80210876464844,96.80210876464844,91.69816589355469	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	Dan LaRocque,Dan LaRocque,Matthias Broecheler,Dan LaRocque,Dan LaRocque	0,3,282,283,290	497,500,779,780,787	08/07/13-26/02/12,11/07/13-26/02/12,16/04/14-26/02/12,17/04/14-26/02/12,24/04/14-26/02/12	0,13,1,1,4	0,26,2,2,5	0,90,8,8,112	0,40,65,72,95	0,34,61,68,91	0,0,0,0,0	0,0,0,1,0	0,0,0,0,0	966.json	658	ugly
678	4,5,5	4,5,5	4,5,5	0.0,0.0,0.0	0.05867813527584076,0.4451318085193634,0.2834267318248749	0.6917841332792062,0.23005980665405446,0.24577204073487777	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	2.0,1.96,1.96	0,0,0	2,2,3	2,1,2	14.0,16.0,15.0	6.0,6.0,7.0	19.0,28.0,27.0	8.0,10.0,11.0	20.0,22.0,22.0	27.0,38.0,38.0	116.692055,169.4584,169.4584	9.333334,13.333333,11.785714	1089.126,2259.4453,1997.1884	60.507,125.52474,110.95491	0.03889735,0.056486133,0.056486133	123.56243133544922,118.0075454711914,118.0075454711914	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	1,2,2	0,0,0	0,0,0	Matthias Broecheler,Matthias Broecheler,Bryn Cooke	0,446,466	698,1144,1164	24/01/14-26/02/12,16/04/15-26/02/12,06/05/15-26/02/12	0,5,4	0,9,8	0,108,86	0,74,165	0,73,163	0,0,0	0,1,0	0,1,0	1706.json	0	good
