Project	file	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	ChangeValue	Type
vraptor4	1182.json	6	4	4	0.5	0.5482996106147766	0.8439059950865934	0	0	0	1	1	1.89	0	3	3	12.0	3.0	20.0	3.0	15.0	23.0	89.85848	6.0	539.1509	29.952827	0.029952828	124.92120361328125	0	0	0	1	0	0	0	0	0	0	0	0	good
vraptor4	1139.json	3	3	3	0.0	0.8481255173683167	0.8782483412493923	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	0	0	0	0	0	0	good
vraptor4	711.json	11	10	11	0.0	0.07225149124860764	0.020012477220918767	1	1	2	3	3	11.22	2	4	4	26.0	9.0	44.0	13.0	35.0	57.0	292.36914	18.777777	5490.0425	305.00235	0.09745638	101.93840789794922	0	0	0	1	0	0	0	0	1	0	0	22	noise
vraptor4	1170.json	6	5	5	0.0	0.39032602310180664	0.10729775634433243	0	0	0	1	1	3.92	0	4	4	20.0	6.0	30.0	10.0	26.0	40.0	188.0176	16.666666	3133.6265	174.09036	0.06267253	117.46711730957031	0	0	0	1	0	0	0	1	2	0	0	496	ugly
vraptor4	1058.json	3	3	3	0.0	0.7601003050804138	0.6281050947621124	0	0	0	1	1	3.77	0	3	3	13.0	2.0	17.0	3.0	15.0	20.0	78.13781	9.75	761.8436	42.324646	0.026045937	130.30841064453125	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	944.json	3	3	3	0.0	0.538912296295166	0.5103063618953411	0	0	0	1	1	3.77	0	2	2	13.0	3.0	18.0	6.0	16.0	24.0	96.0	13.0	1248.0	69.333336	0.032	129.2378692626953	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	391.json	3	3	3	0.0	0.5837270617485046	0.8421055137332182	0	0	0	1	1	3.77	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	1198.json	3	3	3	0.0	0.9206094741821289	0.9365863257472807	0	0	0	1	1	1.89	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	1	0	0	0	0	0	0	0	0	good
vraptor4	796.json	8	6	6	0.0	0.8167040348052979	0.3386073500366094	0	0	0	1	1	3.77	0	4	4	19.0	5.0	29.0	9.0	24.0	38.0	174.22858	17.1	2979.3088	165.51715	0.05807619	114.90958404541016	0	0	0	1	0	0	0	1	1	0	0	39	noise
vraptor4	940.json	3	3	3	0.0	0.48133203387260437	0.5786023323342272	0	0	0	1	1	3.77	0	2	2	13.0	3.0	18.0	6.0	16.0	24.0	96.0	13.0	1248.0	69.333336	0.032	129.2378692626953	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	8.json	3	3	3	0.0	0.978520929813385	0.8063271032600251	0	0	0	1	1	3.77	0	0	0	9.0	3.0	10.0	3.0	12.0	13.0	46.604515	4.5	209.72032	11.651129	0.015534839	132.9956512451172	0	1	0	0	0	0	0	0	0	0	0	0	good
vraptor4	990.json	14	12	14	0.0	4.0973807335831225E-4	6.530585499451464E-5	3	2	5	3	3	7.84	1	8	8	32.0	10.0	70.0	26.0	42.0	96.0	517.6625	41.6	21534.758	1196.3755	0.17255417	95.060791015625	0	0	0	1	0	0	0	3	1	0	0	500	ugly
vraptor4	541.json	4	4	4	0.0	0.0515468493103981	0.14389357489585028	0	0	0	1	1	4.0	0	3	3	16.0	7.0	24.0	10.0	23.0	34.0	153.8011	11.428572	1757.7269	97.6515	0.051267035	122.12659454345703	0	0	0	1	0	0	0	2	0	0	0	0	good
vraptor4	576.json	10	9	9	0.0	0.006338236387819052	0.01694232500690486	0	0	0	1	1	3.33	0	8	5	21.0	6.0	48.0	15.0	27.0	63.0	299.55792	26.25	7863.3955	436.85532	0.099852644	105.52296447753906	0	0	0	1	0	0	0	3	1	0	0	2	bad
vraptor4	296.json	3	3	3	0.0	0.5969946980476379	0.8720806751704754	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	0	good
vraptor4	1044.json	4	4	4	0.0	0.3269307315349579	0.06139128337995648	0	0	0	1	1	4.0	0	2	2	21.0	4.0	32.0	6.0	25.0	38.0	176.46652	15.75	2779.3477	154.4082	0.058822174	121.41175079345703	0	0	0	1	0	0	0	1	1	0	0	112	noise
vraptor4	55.json	3	3	3	0.0	0.5307131409645081	0.8312743793448109	0	0	0	1	1	3.77	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	658.json	5	5	5	0.0	0.052340079098939896	0.07414348772647666	0	0	0	1	1	3.92	0	4	4	20.0	5.0	32.0	9.0	25.0	41.0	190.3981	18.0	3427.1658	190.3981	0.063466035	117.40169525146484	0	0	0	1	0	0	0	2	0	0	0	0	good
vraptor4	306.json	4	4	4	0.0	0.13467881083488464	0.2732717581200418	0	0	0	1	1	4.0	0	2	2	18.0	5.0	23.0	6.0	23.0	29.0	131.1833	10.8	1416.7797	78.709984	0.043727767	122.9537353515625	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	400.json	3	3	3	0.0	0.41756749153137207	0.42976773344874114	0	0	0	1	1	3.77	0	2	2	17.0	3.0	21.0	4.0	20.0	25.0	108.0482	11.333334	1224.5464	68.03036	0.03601607	128.62307739257812	0	0	0	1	0	0	0	1	0	0	0	70	noise
vraptor4	104.json	3	3	3	0.0	0.3894944190979004	0.7684823870468699	0	0	0	1	1	3.77	0	0	0	13.0	3.0	15.0	3.0	16.0	18.0	72.0	6.5	468.0	26.0	0.024	130.7338104248047	0	0	0	1	1	0	0	0	0	0	0	0	good
vraptor4	573.json	3	3	3	0.0	0.8872378468513489	0.9125802889049899	0	0	0	1	1	3.77	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	50	noise
vraptor4	503.json	3	3	3	0.0	0.3589988648891449	0.725100687110369	0	0	0	1	1	3.77	0	0	0	15.0	2.0	16.0	4.0	17.0	20.0	81.74926	15.0	1226.2389	68.12438	0.027249753	130.07347106933594	0	0	0	1	0	0	1	1	0	0	0	0	good
vraptor4	577.json	8	8	8	0.0	0.05213688686490059	0.1693786616338014	1	1	2	2	2	6.24	1	2	2	18.0	6.0	34.0	12.0	24.0	46.0	210.90826	18.0	3796.3486	210.90826	0.070302755	109.02564239501953	1	0	0	0	0	0	0	2	1	0	0	0	good
vraptor4	1194.json	3	3	3	0.0	0.46145835518836975	0.624963132124963	0	0	0	1	1	3.77	0	1	1	13.0	3.0	17.0	4.0	16.0	21.0	84.0	8.666667	728.0	40.444443	0.028	129.93223571777344	0	0	0	1	0	0	0	1	0	0	0	0	good
vraptor4	1047.json	5	5	5	0.0	0.0971633717417717	0.4320286339479222	0	0	0	1	1	3.92	0	4	4	15.0	4.0	25.0	6.0	19.0	31.0	131.68576	11.25	1481.4648	82.303604	0.043895252	119.31893157958984	0	0	0	1	0	0	0	0	0	0	0	388	ugly
vraptor4	756.json	3	3	3	0.0	0.37741386890411377	0.448560631137027	0	0	0	1	1	3.77	0	2	2	14.0	4.0	19.0	5.0	18.0	24.0	100.0782	8.75	875.68427	48.649124	0.0333594	129.0215301513672	0	0	0	1	0	0	0	1	0	0	0	7	bad
vraptor4	397.json	15	13	13	0.0	0.02232455648481846	1.828699952637143E-4	1	1	2	3	3	7.44	2	5	5	32.0	8.0	77.0	18.0	40.0	95.0	505.58316	36.0	18200.994	1011.1663	0.16852772	96.38411712646484	1	0	0	0	0	0	0	1	6	0	0	330	ugly
vraptor4	1145.json	3	3	3	0.0	0.7551477551460266	0.843346478375359	0	0	0	1	1	3.77	0	1	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	132.086669921875	0	0	0	1	0	0	0	0	0	0	0	0	good
