Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file
151	7	9	7	0.0	0.18815524876117706	0.3788116874836823	2	1	3	2	2	1.51	1	3	3	18.0	3.0	31.0	7.0	21.0	38.0	166.90805	21.0	3505.069	194.72606	0.05563602	112.40554809570312	0	0	0	1	0	0	0	1	0	0	0	Yuri Schimke	0	2460	17/02/18-25/05/11	0	0	0	0	0	0	0	0	1182.json
532	2,2	2,2	2,2	0.0,0.0	0.4634702503681183,0.503929078578949	0.8371359554439664,0.8242421560695935	0,0	0,0	0,0	1,1	1,1	0.0,0.0	0,0	0,0	0,0	9.0,10.0	3.0,3.0	10.0,11.0	3.0,3.0	12.0,13.0	13.0,14.0	46.604515,51.806156	4.5,5.0	209.72032,259.0308	11.651129,14.390599	0.015534839,0.01726872	139.56419372558594,139.0139617919922	0,0	0,0	0,0	0,1	0,0	0,0	0,0	2,2	0,0	0,0	0,0	Michael Benedict,Michael Benedict	0,0	2079,2079	01/02/17-25/05/11,01/02/17-25/05/11	0,1	0,2	0,11	0,20	0,20	0,0	0,0	0,1	801.json
1027	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.09248309582471848,0.19041912257671356,0.8433163166046143	0.5117696199123033,0.7344626743844404,0.9602759471001632	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0.94,0.94,0.94	0,0,0	2,1,0	1,1,0	12.0,12.0,9.0	5.0,3.0,2.0	22.0,19.0,10.0	6.0,4.0,2.0	17.0,15.0,11.0	28.0,23.0,12.0	114.44896,89.85848,41.51318	7.2000003,8.0,4.5	824.03253,718.86786,186.80931	45.779587,39.937103,10.378295	0.038149655,0.029952828,0.013837727	128.3238067626953,129.58164978027344,133.59722900390625	1,1,0	0,0,0	0,0,0	0,0,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	Jake Wharton,Jake Wharton,jwilson	0,59,80	1585,1644,1665	26/09/15-25/05/11,24/11/15-25/05/11,15/12/15-25/05/11	0,1,2	0,2,4	0,12,38	0,5,1477	0,5,186	0,0,0	0,0,0	0,0,0	1781.json
711	3	4	3	0.0	0.7569599747657776	0.695685068933844	0	0	0	1	1	0.94	0	1	1	13.0	3.0	15.0	4.0	16.0	19.0	76.0	8.666667	658.6667	36.592594	0.025333334	130.45266723632812	0	0	0	1	0	0	0	1	0	0	0	Dave Roberge	0	1901	07/08/16-25/05/11	0	0	0	0	0	0	0	0	1139.json
554	9	9	9	0.0	0.44911718368530273	0.025475960107126303	3	3	6	3	3	1.89	2	2	2	25.0	7.0	43.0	15.0	32.0	58.0	290.0	26.785713	7767.857	431.5476	0.096666664	105.23158264160156	0	0	0	1	1	0	0	1	3	0	0	jwilson	0	2057	10/01/17-25/05/11	0	0	0	0	0	0	0	0	1421.json
782	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.679146409034729,0.679146409034729,0.7776774764060974	0.5978898200869152,0.5978898200869152,0.6872776701468997	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0.94,0.94,0.94	0,0,0	1,1,1	1,1,1	14.0,14.0,13.0	3.0,3.0,2.0	18.0,18.0,17.0	4.0,4.0,3.0	17.0,17.0,15.0	22.0,22.0,20.0	89.92419,89.92419,78.13781	9.333334,9.333334,9.75	839.2925,839.2925,761.8436	46.62736,46.62736,42.324646	0.029974729,0.029974729,0.026045937	129.57785034179688,129.57785034179688,130.30841064453125	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	Yuri Schimke,jwilson,Yuri Schimke	0,29,392	1830,1859,2222	28/05/16-25/05/11,26/06/16-25/05/11,24/06/17-25/05/11	0,0,1	0,0,2	0,0,9	0,188,11	0,22,8	0,0,0	0,0,0	0,0,0	1170.json
1223	5,5,5,5	6,6,6,6	5,5,5,5	0.0,0.0,0.0,0.0	0.8869953155517578,0.8869953155517578,0.8539432883262634,0.8539432883262634	0.8834288028958996,0.8834288028958996,0.9118174649166325,0.9118174649166325	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.5,1.5,1.5,1.5	1,1,1,1	0,0,1,1	0,0,1,1	14.0,14.0,14.0,14.0	5.0,5.0,3.0,3.0	18.0,18.0,19.0,19.0	5.0,5.0,3.0,3.0	19.0,19.0,17.0,17.0	23.0,23.0,22.0,22.0	97.70234,97.70234,89.92419,89.92419	7.0,7.0,7.0,7.0	683.9164,683.9164,629.4693,629.4693	37.995354,37.995354,34.970516,34.970516	0.032567445,0.032567445,0.029974729,0.029974729	120.87109375,120.87109375,121.30247497558594,121.30247497558594	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	jwilson,jwilson,jwilson,jwilson	0,276,372,470	1389,1665,1761,1859	14/03/15-25/05/11,15/12/15-25/05/11,20/03/16-25/05/11,26/06/16-25/05/11	0,0,1,0	0,0,2,0	0,0,16,0	0,1477,9,188	0,186,9,22	0,0,0,0	0,0,1,0	0,0,1,0	1359.json
1583	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.8480001091957092,0.8480001091957092,0.8480001091957092,0.8480001091957092,0.7076577544212341,0.7076577544212341	0.7984504001891383,0.7984504001891383,0.7984504001891383,0.7984504001891383,0.6508785288389382,0.6508785288389382	1,1,1,1,1,1	1,1,1,1,1,1	2,2,2,2,2,2	2,2,2,2,2,2	2,2,2,2,2,2	0.94,0.94,0.94,0.94,0.94,0.94	0,0,0,0,0,0	1,1,1,1,2,2	1,1,1,1,2,2	14.0,14.0,14.0,14.0,15.0,15.0	3.0,3.0,3.0,3.0,3.0,3.0	16.0,16.0,16.0,16.0,19.0,19.0	4.0,4.0,4.0,4.0,4.0,4.0	17.0,17.0,17.0,17.0,18.0,18.0	20.0,20.0,20.0,20.0,23.0,23.0	81.74926,81.74926,81.74926,81.74926,95.90828,95.90828	9.333334,9.333334,9.333334,9.333334,10.0,10.0	762.99316,762.99316,762.99316,762.99316,959.08276,959.08276	42.388508,42.388508,42.388508,42.388508,53.282375,53.282375	0.027249753,0.027249753,0.027249753,0.027249753,0.031969428,0.031969428	129.8434600830078,129.8434600830078,129.8434600830078,129.8434600830078,129.01284790039062,129.01284790039062	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	Neil Fuller,Jake Wharton,Jesse Wilson,Neil Fuller,jwilson,jwilson	0,31,59,299,635,636	1029,1060,1088,1328,1664,1665	19/03/14-25/05/11,19/04/14-25/05/11,17/05/14-25/05/11,12/01/15-25/05/11,14/12/15-25/05/11,15/12/15-25/05/11	0,0,0,0,1,0	0,0,0,0,2,0	0,0,0,0,11,0	0,176,182,84,13,1477	0,0,5,1,13,186	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2100.json
2122	6,6,6,6,6,6,6,6,6,6	7,7,7,7,7,7,7,7,7,7	6,6,6,6,6,6,6,6,6,6	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.015259557403624058,0.015259557403624058,0.015259557403624058,0.014192849397659302,0.014192849397659302,0.014192849397659302,0.014192849397659302,0.014192849397659302,0.11918956786394119,0.11918956786394119	0.058462601243618274,0.058462601243618274,0.058462601243618274,0.03620443702481476,0.03620443702481476,0.03620443702481476,0.03620443702481476,0.03620443702481476,0.10967239544256369,0.10967239544256369	2,2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2,2	4,4,4,4,4,4,4,4,4,4	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	3.27,3.27,3.27,1.63,1.63,1.63,1.63,1.63,1.63,1.63	1,1,1,1,1,1,1,1,1,1	4,4,4,4,4,4,4,4,3,3	4,4,4,4,4,4,4,4,3,3	22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0	5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0	38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,34.0,34.0	14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0	27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0	52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,46.0,46.0	247.25415,247.25415,247.25415,247.25415,247.25415,247.25415,247.25415,247.25415,216.22023,216.22023	30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,25.2,25.2	7615.4277,7615.4277,7615.4277,7615.4277,7615.4277,7615.4277,7615.4277,7615.4277,5448.75,5448.75	423.0793,423.0793,423.0793,423.0793,423.0793,423.0793,423.0793,423.0793,302.70834,302.70834	0.08241805,0.08241805,0.08241805,0.08241805,0.08241805,0.08241805,0.08241805,0.08241805,0.07207341,0.07207341	112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,112.62932586669922,113.32675170898438,113.32675170898438	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	Jesse Wilson,jwilson,jwilson,Jake Wharton,jwilson,Jesse Wilson,Jake Wharton,jwilson,jwilson,jwilson	0,80,97,180,311,519,994,1175,1382,1382	490,570,587,670,801,1009,1484,1665,1872,1872	26/09/12-25/05/11,15/12/12-25/05/11,01/01/13-25/05/11,25/03/13-25/05/11,03/08/13-25/05/11,27/02/14-25/05/11,17/06/15-25/05/11,15/12/15-25/05/11,09/07/16-25/05/11,09/07/16-25/05/11	0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,2,0	0,0,0,24,0,0,0,0,16,0	0,269,267,319,85,188,186,1477,67,260	0,1,11,2,1,0,54,186,33,91	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1589.json
361	3	4	3	0.0	0.6961517930030823	0.9123058278062569	0	0	0	1	1	0.94	0	0	0	10.0	2.0	11.0	2.0	12.0	13.0	46.604515	5.0	233.02258	12.945699	0.015534839	132.9956512451172	0	0	0	1	0	0	0	0	0	0	0	ericaschulz	0	2251	23/07/17-25/05/11	0	0	0	0	0	0	0	0	1058.json
