Project	Method	Score	Type
hadoop	32988.json	-1.1625749395669553	ugly
checkstyle	2636.json	-1.1235108493700356	ugly
guava	11560.json	-1.1107183601898383	ugly
guava	11565.json	-1.1107183601898383	ugly
intellij-community	9264.json	-1.1047198941421736	ugly
argouml	8883.json	-1.100751063134537	ugly
argouml	6044.json	-1.1003932723969199	ugly
hadoop	66479.json	-1.0984157101838579	ugly
xerces2-j	2800.json	-1.0969673624451342	ugly
netty	9974.json	-1.0945474898921628	ugly
cassandra	7185.json	-1.0924209987712303	ugly
xerces2-j	4397.json	-1.0898759880717095	ugly
pmd	9854.json	-1.0854683940655092	ugly
wicket	6472.json	-1.082847984218951	ugly
wicket	6473.json	-1.082847984218951	ugly
lucene-solr	42999.json	-1.080002830545296	ugly
lucene-solr	43038.json	-1.080002830545296	ugly
jna	169.json	-1.0774337741837177	ugly
netty	17655.json	-1.0696507163890165	ugly
cassandra	15376.json	-1.0666779984985517	ugly
jna	125.json	-1.0606630616394852	ugly
intellij-community	8670.json	-1.058990725635149	ugly
docx4j	5709.json	-1.0558519543479385	ugly
eclipseJdt	10341.json	-1.054212427212057	ugly
presto	11963.json	-1.050476570662898	ugly
presto	14909.json	-1.050476570662898	ugly
weka	25632.json	-1.0494209179820315	ugly
jetty	14136.json	-1.0485869159629357	ugly
jetty	11870.json	-1.0482512035252918	ugly
weka	27344.json	-1.045566683272894	ugly
jclouds	11891.json	-1.0453459324645524	ugly
mongo-java-driver	9303.json	-1.0448394551291078	ugly
hibernate-orm	2581.json	-1.0447477049671934	ugly
hazelcast	13479.json	-1.0431694923892447	ugly
ant	1461.json	-1.0423218134104084	ugly
docx4j	5595.json	-1.041333676099959	ugly
jclouds	11386.json	-1.0409428290312084	ugly
voldemort	10769.json	-1.0408346605620515	ugly
hazelcast	26353.json	-1.0360392514742625	ugly
wildfly	22208.json	-1.0331871461551783	ugly
atmosphere	1946.json	-1.0317960966863744	ugly
hector	1373.json	-1.0305892014322542	ugly
elasticsearch	44536.json	-1.0285717405738437	ugly
ant	10160.json	-1.0232795680607687	ugly
sonarqube	826.json	-1.0231623107945322	ugly
sonarqube	828.json	-1.0231623107945322	ugly
flink	17764.json	-1.0231144362451237	ugly
flink	17754.json	-1.0231144362451237	ugly
voldemort	7075.json	-1.0167249467106276	ugly
openmrs-core	3757.json	-1.0157412035074862	ugly
hbase	24832.json	-1.0149418384011553	ugly
hbase	26674.json	-1.0149418384011553	ugly
facebook-android-sdk	1955.json	-1.0110367224203003	ugly
elasticsearch	61078.json	-1.008363742048132	ugly
eclipseJdt	26596.json	-1.0055747689641108	ugly
wildfly	11929.json	-1.0033225945637383	ugly
mongo-java-driver	7987.json	-0.9991936442211679	ugly
spring-boot	2615.json	-0.9984144386357554	ugly
facebook-android-sdk	2780.json	-0.9975725700900039	ugly
spring-framework	29063.json	-0.9962170378386733	ugly
hector	1621.json	-0.9944802652353347	ugly
spring-boot	2612.json	-0.9929708659012757	ugly
checkstyle	1189.json	-0.992232452318523	ugly
hibernate-orm	19901.json	-0.9873573519119436	ugly
vraptor4	1073.json	-0.981548676776341	ugly
openmrs-core	7215.json	-0.9783932147897908	ugly
pmd	10024.json	-0.9743854060766023	ugly
commons-lang	2920.json	-0.9627770931302385	ugly
commons-lang	485.json	-0.9617462229772843	ugly
mockito	621.json	-0.9608501425676375	ugly
jgit	2226.json	-0.9491228958139502	ugly
jgit	2264.json	-0.9491228958139502	ugly
atmosphere	2967.json	-0.9484790613919126	ugly
hibernate-search	1484.json	-0.9395252609617567	ugly
commons-io	637.json	-0.9351481659084117	ugly
commons-io	635.json	-0.9351481659084117	ugly
junit4	286.json	-0.9313182478103147	ugly
spring-framework	1108.json	-0.9300268885897558	ugly
cucumber-jvm	244.json	-0.9239331852995228	ugly
hibernate-search	3296.json	-0.9060774814977747	ugly
mockito	1032.json	-0.9049594632588894	ugly
junit4	542.json	-0.8525021726732274	ugly
lombok	2426.json	-0.8345948598980105	ugly
okhttp	1470.json	-0.7972994304021523	ugly
okhttp	1469.json	-0.7972994304021523	ugly
vraptor4	1008.json	-0.7902041688232239	ugly
lombok	2540.json	-0.7670859498365964	ugly
javaparser	2808.json	-0.7311813056861736	ugly
javaparser	2788.json	-0.7311813056861736	ugly
cucumber-jvm	250.json	-0.7157928849147234	ugly
