Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
2678	3,3	4,3	3,3	0.0,0.0	0.38919201493263245,0.09932113438844681	0.37334916408831353,0.3554695090315677	0,0	0,0	0,0	1,1	1,1	3.77,3.77	0,0	0,0	0,0	17.0,16.0	3.0,4.0	21.0,21.0	5.0,6.0	20.0,20.0	26.0,27.0	112.37013,116.692055	14.166666,12.0	1591.9102,1400.3047	88.43945,77.79471	0.03745671,0.03889735	128.41912841796875,128.22288513183594	0,1	1,0	0,0	0,0	0,0	0,0	0,0	2,2	0,0	0,0	0,0	Reinier Zwitserloot,Roel Spilker	0,1375	1372,2747	11/03/13-08/06/09,15/12/16-08/06/09	0,2	0,4	0,40	0,60	0,49	0,0	0,0	0,0	801.json	Bad
4041	5,5,5,14	5,5,5,13	5,5,5,12	0.0,0.0,0.0,0.16666666666666666	1.569364103488624E-4,0.0,0.0,0.0025394782423973083	5.546043264961023E-4,3.433955857416283E-4,3.433955857416283E-4,3.05535385799371E-7	0,0,0,1	0,0,0,1	0,0,0,2	2,2,2,4	2,2,2,4	3.92,3.92,3.92,5.86	0,0,0,1	5,5,5,8	5,5,5,8	26.0,27.0,27.0,37.0	7.0,7.0,7.0,12.0	53.0,55.0,55.0,91.0	13.0,13.0,13.0,28.0	33.0,34.0,34.0,49.0	66.0,68.0,68.0,119.0	332.93,345.94748,345.94748,668.15045	24.142857,25.071428,25.071428,43.166664	8037.881,8673.397,8673.397,28841.826	446.54895,481.8554,481.8554,1602.3237	0.110976666,0.115315825,0.115315825,0.22271682	114.26586151123047,114.06641387939453,114.06641387939453,96.00104522705078	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2,2,2,4	0,0,0,0	0,0,0,0	Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot	0,121,160,1456	9,130,169,1465	17/06/09-08/06/09,16/10/09-08/06/09,24/11/09-08/06/09,12/06/13-08/06/09	0,4,0,12	0,8,0,15	0,33,0,521	0,259,459,1	0,249,0,1	0,0,0,0	0,1,0,0	0,1,0,1	1781.json	Bad
3538	4,4,5,5,5	4,4,5,5,5	4,4,5,5,5	0.0,0.0,0.0,0.0,0.0	0.01496422290802002,0.01712530478835106,9.946839418262243E-4,3.3284135861322284E-4,1.1030911991838366E-4	0.2372828303897985,0.2178376277216403,0.06545931505565195,0.04936971583432296,0.03728105830518338	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	4.0,4.0,3.92,3.92,3.92	0,0,0,0,0	2,2,3,3,3	2,2,3,3,3	16.0,16.0,17.0,17.0,17.0	4.0,4.0,4.0,4.0,4.0	23.0,24.0,31.0,32.0,33.0	10.0,10.0,15.0,16.0,17.0	20.0,20.0,21.0,21.0,21.0	33.0,34.0,46.0,48.0,50.0	142.62363,146.94556,202.0466,210.83124,219.61586	20.0,20.0,31.875,34.0,36.125	2852.4727,2938.9111,6440.2354,7168.262,7933.623	158.4707,163.27284,357.79086,398.2368,440.75684	0.04754121,0.048981853,0.06734887,0.07027708,0.073205285	122.5189437866211,122.36370849609375,117.09291076660156,116.8716049194336,116.65933227539062	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	Roel Spilker,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot	0,957,1550,1550,1552	512,1469,2062,2062,2064	02/11/10-08/06/09,16/06/13-08/06/09,30/01/15-08/06/09,30/01/15-08/06/09,01/02/15-08/06/09	0,2,3,1,1	0,4,5,2,2	0,16,82,6,6	0,25,18,7,9	0,25,18,7,9	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2809.json	Ugly
146	23	22	19	0.0	0.0	5.6553380275940325E-11	4	5	9	5	3	4.69	2	13	13	46.0	25.0	119.0	49.0	71.0	168.0	1033.1575	45.08	46574.742	2587.4856	0.34438583	86.06014251708984	0	0	0	1	0	0	0	3	4	0	0	Reinier Zwitserloot	0	3903	14/02/20-08/06/09	0	0	0	0	0	0	0	0	1139.json	Undecided
163	33	36	31	0.0	0.0	7.752356949180836E-20	8	8	16	8	8	6.65	2	8	6	41.0	23.0	202.0	95.0	64.0	297.0	1782.0	84.67392	150888.92	8382.718	0.594	74.60485076904297	1	0	0	0	1	0	0	4	9	0	0	Reinier Zwitserloot	0	3886	28/01/20-08/06/09	0	0	0	0	0	0	0	0	2838.json	Undecided
2006	5,3	6,3	5,3	0.0,0.0	0.5562070608139038,0.5395609736442566	0.2456421120081934,0.6320423725986763	2,0	1,0	3,0	2,1	2,1	3.92,3.77	0,0	2,2	2,2	15.0,13.0	5.0,3.0	25.0,17.0	10.0,4.0	20.0,16.0	35.0,21.0	151.26749,84.0	15.0,8.666667	2269.0122,728.0	126.05624,40.444443	0.050422497,0.028	118.36804962158203,129.93223571777344	0,0	1,1	0,0	0,0	0,0	0,0	0,0	1,1	1,0	0,0	0,0	Reinier Zwitserloot,Reinier Zwitserloot	0,9	2043,2052	11/01/15-08/06/09,20/01/15-08/06/09	0,1	0,4	0,122	0,32	0,32	0,0	0,0	0,0	1421.json	Bad
3876	3	4	3	0.0	0.9109325408935547	0.8028567480344871	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	0	0	0	0	0	0	0	Reinier Zwitserloot	0	173	28/11/09-08/06/09	0	0	0	0	0	0	0	0	711.json	Good
767	7	9	7	0.0	0.14318518340587616	5.570705522904289E-5	2	2	4	3	3	3.61	0	6	4	28.0	12.0	60.0	20.0	40.0	80.0	425.75424	23.333332	9934.265	551.90356	0.14191808	107.3061752319336	0	0	0	1	1	0	0	1	2	1	1	Roel Spilker	0	3283	04/06/18-08/06/09	0	0	0	0	0	0	0	0	1359.json	Good
3280	6,6,6,6	7,7,7,7	6,6,6,6	0.0,0.0,0.0,0.0	0.0013523625675588846,0.0012943483889102936,8.490869658999145E-4,3.7325097946450114E-4	0.0033776077291615076,0.003953207173265917,0.00934748265303974,0.0013665475313138387	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	2,2,2,2	3.77,3.77,3.77,3.77	0,0,0,0	7,6,7,7	6,5,5,5	21.0,20.0,16.0,17.0	8.0,9.0,9.0,13.0	46.0,44.0,41.0,45.0	13.0,14.0,14.0,18.0	29.0,29.0,25.0,30.0	59.0,58.0,55.0,63.0	286.62088,281.7629,255.41208,309.1341	17.0625,15.555555,12.444445,11.769231	4890.4688,4382.9785,3178.4614,3638.2705	271.69272,243.49881,176.58119,202.12614	0.09554029,0.09392097,0.08513736,0.103044696	112.091064453125,112.1799545288086,112.6905288696289,111.69786834716797	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,1	0,0,0,1	Reinier Zwitserloot,Roel Spilker,Roel Spilker,Reinier Zwitserloot	0,0,0,14	770,770,770,784	18/07/11-08/06/09,18/07/11-08/06/09,18/07/11-08/06/09,01/08/11-08/06/09	0,1,1,1	0,2,2,2	0,2,12,55	0,4,3,1	0,4,3,1	0,0,0,0	0,0,0,0	0,1,1,1	2080.json	Ugly
3478	3,3	4,4	3,3	0.0,0.0	0.8063393235206604,0.7608826160430908	0.8092571878274613,0.8006615036337522	0,0	0,0	0,0	1,1	1,1	3.77,3.77	0,0	1,1	1,1	11.0,10.0	3.0,3.0	13.0,13.0	4.0,3.0	14.0,13.0	17.0,16.0	64.72504,59.207035	7.3333335,5.0	474.65027,296.0352	26.36946,16.4464	0.021575011,0.019735679	131.28770446777344,131.75106811523438	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	Reinier Zwitserloot,Roel Spilker	0,10	571,581	31/12/10-08/06/09,10/01/11-08/06/09	0,3	0,6	0,23	0,40	0,40	0,0	0,0	0,0	1589.json	Bad
