Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
1920	6	4	4	0.5	0.5482996106147766	0.8439059950865934	0	0	0	1	1	1.89	0	3	3	12.0	3.0	20.0	3.0	15.0	23.0	89.85848	6.0	539.1509	29.952827	0.029952828	124.92120361328125	0	0	0	1	0	0	0	0	0	0	0	Rodrigo Turini	0	53	24/06/13-02/05/13	0	0	0	0	0	0	0	0	1182.json	Good
1373	16	13	13	0.0	0.03992825374007225	3.210575765935058E-5	0	0	0	1	1	2.89	0	10	9	30.0	16.0	75.0	26.0	46.0	101.0	557.87976	24.375	13598.319	755.46216	0.18595992	96.332275390625	0	0	0	1	0	0	0	0	5	0	0	Francisco Sokol	0	599	22/12/14-02/05/13	0	0	0	0	0	0	0	0	801.json	Good
1904	3	3	3	0.0	0.8481255173683167	0.8782483412493923	0	0	0	1	1	3.77	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	0	0	0	0	0	Rodrigo Turini	0	69	10/07/13-02/05/13	0	0	0	0	0	0	0	0	1139.json	Good
1849	11,11,11,11	10,10,10,10	11,11,11,11	0.0,0.0,0.0,0.0	0.07225149124860764,0.053313542157411575,0.053313542157411575,0.03116612136363983	0.020012477220918767,0.007651800265853819,0.007624544145300277,0.005410099399645167	1,1,1,1	1,1,1,1	2,2,2,2	3,3,3,3	3,3,3,3	11.22,11.22,11.22,11.22	2,2,2,2	4,4,4,4	4,4,4,4	26.0,29.0,29.0,29.0	9.0,9.0,9.0,9.0	44.0,48.0,48.0,49.0	13.0,13.0,13.0,14.0	35.0,38.0,38.0,38.0	57.0,61.0,61.0,63.0	292.36914,320.1236,320.1236,330.61945	18.777777,20.944445,20.944445,22.555555	5490.0425,6704.811,6704.811,7457.305	305.00235,372.4895,372.4895,414.29474	0.09745638,0.10670786,0.10670786,0.110206485	101.93840789794922,101.4668197631836,101.4668197631836,101.29906463623047	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	Rodrigo Turini,Otávio Garcia,Otávio Garcia,Christian Ivan	0,24,168,822	124,148,292,946	03/09/13-02/05/13,27/09/13-02/05/13,18/02/14-02/05/13,04/12/15-02/05/13	0,1,1,1	0,2,2,2	0,15,4,3	0,2,2,11	0,2,2,11	0,0,0,0	0,0,0,0	0,0,0,0	711.json	Ugly
1920	6,3,7,7,7	5,3,6,6,4	5,3,6,6,7	0.0,0.0,0.0,0.0,0.0	0.39032602310180664,0.5656160712242126,0.1008596420288086,0.10600675642490387,0.02959289215505123	0.10729775634433243,0.48479627242640966,0.01391366858401907,0.011640924558561666,0.25987214268969316	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	3.92,3.77,2.98,2.98,10.35	0,0,0,0,0	4,3,7,8,3	4,3,7,8,3	20.0,15.0,23.0,24.0,18.0	6.0,2.0,8.0,7.0,7.0	30.0,20.0,43.0,45.0,27.0	10.0,3.0,13.0,12.0,10.0	26.0,17.0,31.0,31.0,25.0	40.0,23.0,56.0,57.0,37.0	188.0176,94.01165,277.435,282.3892,171.82268	16.666666,11.25,18.6875,20.571428,12.857143	3133.6265,1057.6311,5184.5664,5809.149,2209.149	174.09036,58.757282,288.03146,322.7305,122.7305	0.06267253,0.031337216,0.092478335,0.094129734,0.057274226	117.46711730957031,129.34671020507812,112.49044799804688,112.39840698242188,112.48464965820312	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	2,0,1,1,1	0,0,1,1,0	0,0,1,1,0	Rodrigo Turini,Rodrigo Turini,Otávio Garcia,Rafael Ponte,Rafael Ponte	0,1,89,98,98	53,54,142,151,151	24/06/13-02/05/13,25/06/13-02/05/13,21/09/13-02/05/13,30/09/13-02/05/13,30/09/13-02/05/13	0,1,5,1,5	0,5,6,2,10	0,122,197,6,171	0,23,5,12,11	0,16,5,12,11	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1170.json	Ugly
1849	3	3	3	0.0	0.7601003050804138	0.6281050947621124	0	0	0	1	1	3.77	0	3	3	13.0	2.0	17.0	3.0	15.0	20.0	78.13781	9.75	761.8436	42.324646	0.026045937	130.30841064453125	0	0	0	1	0	0	0	1	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	1058.json	Good
1731	3	3	3	0.0	0.47116780281066895	0.7572122070124507	0	0	0	1	1	3.77	0	1	1	11.0	3.0	14.0	3.0	14.0	17.0	64.72504	5.5	355.9877	19.777094	0.021575011	131.28770446777344	0	0	0	1	0	0	1	0	0	0	0	Otávio Garcia	0	241	29/12/13-02/05/13	0	0	0	0	0	0	0	0	213.json	Good
1849	3	3	3	0.0	0.538912296295166	0.5103063618953411	0	0	0	1	1	3.77	0	2	2	13.0	3.0	18.0	6.0	16.0	24.0	96.0	13.0	1248.0	69.333336	0.032	129.2378692626953	0	0	0	1	0	0	0	1	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	944.json	Good
1849	3	3	3	0.0	0.5837270617485046	0.8421055137332182	0	0	0	1	1	3.77	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	0	1	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	391.json	Good
1775	34,34,36,35,36,30,30,30,30,35	24,24,25,24,24,23,23,23,23,27	23,23,24,24,24,23,23,23,23,27	0.13043478260869565,0.13043478260869565,0.125,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0	0.0011727417586371303,0.0011727417586371303,5.2728655282408E-4,3.512635885272175E-4,1.4479963283520192E-4,2.976132382173091E-4,3.0095214606262743E-4,3.677353379316628E-4,3.1109919655136764E-4,0.0	2.0031068484089626E-10,2.0031068484089626E-10,1.751684196045934E-11,1.2700955086853815E-11,9.844590654014087E-12,1.0094737551709846E-11,6.679426833062748E-12,6.6906349363540464E-12,6.777767008812527E-12,1.1403737459913513E-12	7,7,7,7,7,7,7,7,7,8	6,6,6,6,6,6,6,6,6,7	13,13,13,13,13,13,13,13,13,15	6,6,6,6,6,6,6,6,6,7	6,6,6,6,6,6,6,6,6,7	5.11,5.11,5.03,5.15,5.68,5.5,5.5,5.5,5.5,5.33	2,2,2,2,2,2,2,2,2,2	17,17,20,17,18,17,17,17,17,19	17,17,18,17,18,17,17,17,17,18	49.0,49.0,51.0,52.0,54.0,52.0,52.0,52.0,52.0,53.0	19.0,19.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0	139.0,139.0,151.0,147.0,149.0,141.0,142.0,142.0,142.0,156.0	47.0,47.0,49.0,52.0,52.0,50.0,51.0,51.0,51.0,55.0	68.0,68.0,71.0,72.0,74.0,71.0,71.0,71.0,71.0,72.0	186.0,186.0,200.0,199.0,201.0,191.0,193.0,193.0,193.0,211.0	1132.2681,1132.2681,1229.9493,1227.8151,1248.1002,1174.6017,1186.9011,1186.9011,1186.9011,1301.8542	60.605267,60.605267,62.475002,67.6,70.2,68.42105,69.789474,69.789474,69.789474,76.710526	68621.41,68621.41,76841.086,83000.3,87616.63,80367.484,82833.2,82833.2,82833.2,99865.92	3812.3003,3812.3003,4268.949,4611.1274,4867.591,4464.8604,4601.8447,4601.8447,4601.8447,5548.107	0.3774227,0.3774227,0.40998313,0.4092717,0.41603342,0.39153388,0.3956337,0.3956337,0.3956337,0.4339514	82.25870513916016,82.25870513916016,81.1389389038086,81.1479721069336,81.06275939941406,82.06783294677734,82.01366424560547,82.01366424560547,82.01366424560547,78.70540618896484	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,4,4,4,4,4,4,4	7,7,8,7,7,6,6,6,6,6	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	Rodrigo Turini,Rodrigo Turini,Rodrigo Turini,Rodrigo Turini,Otávio Garcia,Otávio Garcia,Otávio Garcia,Rodrigo Turini,Lucas Cavalcanti,Nykolas Lima	0,0,4,4,43,44,44,112,126,332	197,197,201,201,240,241,241,309,324,530	15/11/13-02/05/13,15/11/13-02/05/13,19/11/13-02/05/13,19/11/13-02/05/13,28/12/13-02/05/13,29/12/13-02/05/13,29/12/13-02/05/13,07/03/14-02/05/13,22/03/14-02/05/13,14/10/14-02/05/13	0,0,5,7,3,1,1,1,1,5	0,0,8,15,5,8,2,2,2,5	0,0,81,166,130,353,3,17,13,153	0,3,2,2,1,2,1,1,24,1	0,0,2,2,1,2,1,1,15,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,1,0,0,0	847.json	Ugly
