Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
349	3	3	3	0.0	0.16520652174949646	0.860151632777843	0	0	0	1	1	1.89	0	0	0	12.0	3.0	13.0	3.0	15.0	16.0	62.51025	6.0	375.0615	20.83675	0.02083675	131.46876525878906	0	0	0	0	0	0	0	0	0	0	0	M.P. Korstanje	0	3825	21/07/19-28/01/09	0	0	0	0	0	0	0	0	1182.json	Undecided
518	15,15,15,4	13,13,13,4	13,13,13,4	0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0	0.04449949786067009,0.04449949786067009,0.04449949786067009,0.7389006018638611	2.4768415675155615E-4,2.4768415675155615E-4,2.4768415675155615E-4,0.5906492136497289	1,1,1,0	1,1,1,0	2,2,2,0	3,3,3,1	3,3,3,1	2.8,2.8,2.8,2.0	1,1,1,0	8,8,8,1	6,6,6,1	28.0,28.0,28.0,15.0	9.0,9.0,9.0,4.0	75.0,75.0,75.0,21.0	22.0,22.0,22.0,6.0	37.0,37.0,37.0,19.0	97.0,97.0,97.0,27.0	505.317,505.317,505.317,114.694046	34.22222,34.22222,34.22222,11.25	17293.07,17293.07,17293.07,1290.308	960.72614,960.72614,960.72614,71.68378	0.168439,0.168439,0.168439,0.03823135	96.38685607910156,96.38685607910156,96.38685607910156,123.65223693847656	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	3,3,3,1	0,0,0,0	0,0,0,0	mpkorstanje,mpkorstanje,M.P. Korstanje,M.P. Korstanje	0,0,141,289	3656,3656,3797,3945	01/02/19-28/01/09,01/02/19-28/01/09,23/06/19-28/01/09,17/11/19-28/01/09	0,0,0,1	0,0,0,13	0,0,0,435	0,13,35,106	0,8,0,102	0,0,0,0	0,0,0,1	0,0,0,1	801.json	Undecided
349	6,6,7	3,3,3	6,6,7	0.0,0.0,0.0	0.03900589793920517,0.03585253283381462,0.03620511293411255	0.06881044206130382,0.06832112800913843,0.037624377699423506	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.59,3.59,3.52	0,0,0	6,6,7	5,5,6	22.0,22.0,24.0	6.0,6.0,6.0	38.0,38.0,43.0	8.0,8.0,8.0	28.0,28.0,30.0	46.0,46.0,51.0	221.13832,221.13832,250.2514	14.666667,14.666667,16.0	3243.362,3243.362,4004.0225	180.18678,180.18678,222.4457	0.07371277,0.07371277,0.08341713	113.6697998046875,113.6697998046875,110.52943420410156	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	M.P. Korstanje,M.P. Korstanje,Anton Deriabin	0,67,242	3825,3892,4067	21/07/19-28/01/09,26/09/19-28/01/09,19/03/20-28/01/09	0,2,1	0,4,1	0,12,38	0,13,6	0,4,6	0,0,0	0,0,0	0,0,0	1139.json	Undecided
348	3	3	3	0.0	0.0	0.8497340885722718	0	0	0	1	1	1.89	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	1	0	0	0	1	0	0	0	M.P. Korstanje	0	3826	22/07/19-28/01/09	0	0	0	0	0	0	0	0	1170.json	Undecided
1093	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.7572261095046997,0.7572261095046997,0.7572261095046997,0.16848377883434296	0.8302763866310411,0.8302763866310411,0.8302763866310411,0.6742496632188709	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,1	0,0,0,1	12.0,12.0,12.0,13.0	4.0,4.0,4.0,5.0	13.0,13.0,13.0,16.0	5.0,5.0,5.0,6.0	16.0,16.0,16.0,18.0	18.0,18.0,18.0,22.0	72.0,72.0,72.0,91.73836	7.5,7.5,7.5,7.8	540.0,540.0,540.0,715.5592	30.0,30.0,30.0,39.75329	0.024,0.024,0.024,0.030579453	130.7338104248047,130.7338104248047,130.7338104248047,129.47398376464844	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	Björn Rasmusson,M.P. Korstanje,mpkorstanje,Yatharth Zutshi	0,333,420,692	3081,3414,3501,3773	07/07/17-28/01/09,05/06/18-28/01/09,31/08/18-28/01/09,30/05/19-28/01/09	0,0,0,2	0,0,0,4	0,0,0,34	0,53,259,20	0,28,39,20	0,0,0,0	0,0,0,0	0,0,0,0	1058.json	Bad
203	3,4	3,4	3,4	0.0,0.0	0.6885448694229126,0.1263108253479004	0.9181631896613279,0.16272515925482361	0,1	0,1	0,2	1,2	1,2	1.89,2.0	0,0	1,4	1,4	10.0,19.0	2.0,5.0	13.0,29.0	2.0,8.0	12.0,24.0	15.0,37.0	53.77444,169.6436	5.0,15.2	268.8722,2578.5828	14.937344,143.2546	0.017924814,0.056547865	132.25152587890625,121.38679504394531	0,0	0,0	0,0	1,1	0,0	0,0	1,0	0,0	0,1	0,0	0,0	M.P. Korstanje,M.P. Korstanje	0,138	3971,4109	13/12/19-28/01/09,30/04/20-28/01/09	0,3	0,5	0,91	0,70	0,67	0,0	0,0	0,0	213.json	Undecided
729	5,5,5	5,5,5	5,5,5	0.0,0.0,0.0	0.0016888255486264825,0.0016888255486264825,2.1210763952694833E-4	0.01216524028454408,0.01216524028454408,0.009776577101391622	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.96,1.96,1.96	0,0,0	4,4,5	2,2,2	20.0,20.0,19.0	7.0,7.0,7.0	36.0,36.0,38.0	17.0,17.0,17.0	27.0,27.0,26.0	53.0,53.0,55.0	252.00905,252.00905,258.5242	24.285715,24.285715,23.071428	6120.2197,6120.2197,5964.5225	340.0122,340.0122,331.36237	0.08400302,0.08400302,0.086174734	115.94388580322266,115.94388580322266,115.81116485595703	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	4,4,4	0,0,0	0,0,0	0,0,0	Kiel Boatman,mpkorstanje,M.P. Korstanje	0,56,412	3445,3501,3857	06/07/18-28/01/09,31/08/18-28/01/09,22/08/19-28/01/09	0,0,1	0,0,2	0,0,34	0,259,9	0,39,9	0,0,0	0,0,0	0,0,0	966.json	Undecided
107	3	3	3	0.0	0.10429917275905609	0.6194067959589704	0	0	0	1	1	1.89	0	1	1	14.0	3.0	18.0	4.0	17.0	22.0	89.92419	9.333334	839.2925	46.62736	0.029974729	129.57785034179688	0	0	0	1	0	0	0	1	0	0	0	M.P. Korstanje	0	4067	19/03/20-28/01/09	0	0	0	0	0	0	0	0	944.json	Undecided
354	3	3	3	0.0	0.6029340028762817	0.8039161202684693	0	0	0	1	1	1.89	0	0	0	12.0	4.0	13.0	4.0	16.0	17.0	68.0	6.0	408.0	22.666666	0.022666667	131.03103637695312	0	0	0	1	0	0	1	0	0	0	0	M.P. Korstanje	0	3820	16/07/19-28/01/09	0	0	0	0	0	0	0	0	1318.json	Undecided
328	8,8	6,6	6,6	0.3333333333333333,0.3333333333333333	0.908389687538147,0.780815601348877	0.8090374169739178,0.5601859408953196	1,1	1,1	2,2	2,2	2,2	2.4,2.4	1,1	0,1	0,1	14.0,17.0	3.0,4.0	26.0,30.0	6.0,7.0	17.0,21.0	32.0,37.0	130.79881,162.51575	14.0,14.875	1831.1833,2417.4216	101.73241,134.30121	0.043599606,0.054171916	116.17046356201172,115.04146575927734	0,0	0,0	0,0	0,0	1,1	0,0	0,0	1,1	0,0	0,0	0,0	M.P. Korstanje,M.P. Korstanje	0,221	3846,4067	11/08/19-28/01/09,19/03/20-28/01/09	0,1	0,2	0,19	0,56	0,43	0,0	0,0	0,0	1198.json	Undecided
