Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
995	3	3	3	0.0	0.3875032663345337	0.762352517904233	0	0	0	1	1	0.94	0	0	0	15.0	2.0	16.0	4.0	17.0	20.0	81.74926	15.0	1226.2389	68.12438	0.027249753	130.07347106933594	0	0	0	1	0	0	1	1	0	0	0	Todd Nine	0	1000	06/11/12-10/02/10	0	0	0	0	0	0	0	0	1182.json	Good
1856	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.9275093078613281,0.9275093078613281,0.28876277804374695	0.8006502860342426,0.8006502860342426,0.7734703753298329	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0.94,0.94,0.94	0,0,0	1,1,1	1,1,1	11.0,11.0,11.0	3.0,3.0,3.0	14.0,14.0,13.0	5.0,5.0,5.0	14.0,14.0,14.0	19.0,19.0,18.0	72.339745,72.339745,68.53239	9.166666,9.166666,9.166666	663.11426,663.11426,628.2135	36.83968,36.83968,34.90075	0.024113249,0.024113249,0.022844128	130.70933532714844,130.70933532714844,130.99049377441406	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	Ran Tavory,Ran Tavory,Ran Tavory	0,83,158	139,222,298	30/06/10-10/02/10,21/09/10-10/02/10,05/12/10-10/02/10	0,0,0	0,0,0	0,0,33	0,2,771	0,1,0	0,0,0	0,0,0	0,0,0	1781.json	Good
860	5	3	3	0.3333333333333333	0.9991223216056824	0.950744318315381	0	0	0	1	1	4.0	0	1	1	9.0	2.0	11.0	2.0	11.0	13.0	44.97261	4.5	202.37674	11.243153	0.01499087	133.18099975585938	0	0	0	1	0	0	0	0	0	0	0	Vinay Chella	0	1135	22/03/13-10/02/10	0	0	0	0	0	0	0	0	2809.json	Good
1581	3	3	3	0.0	0.6909599900245667	0.885657586982938	0	0	0	1	1	0.94	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	Ed Anuff	0	414	01/04/11-10/02/10	0	0	0	0	0	0	0	0	1139.json	Good
1070	22,17	17,14	17,14	0.23529411764705882,0.07142857142857142	0.0015431438805535436,0.026322215795516968	8.189718945574607E-6,8.486174784690096E-4	6,7	5,9	11,16	5,5	5,5	8.39,6.49	4,2	17,14	11,10	30.0,27.0	12.0,5.0	101.0,84.0	24.0,11.0	42.0,32.0	125.0,95.0	674.0397,475.0	30.0,29.7	20221.19,14107.5	1123.3994,783.75	0.22467989,0.15833333	90.08283996582031,95.04803466796875	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	2,0	0,0	0,0	Shane Perry,Shane Perry	0,139	925,1065	24/08/12-10/02/10,10/01/13-10/02/10	0,8	0,21	0,454	0,6	0,6	0,0	0,0	0,0	2838.json	Bad
999	4	4	4	0.0	0.5795608758926392	0.7943135888149147	0	0	0	1	1	1.0	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	Edward Capriolo	0	996	03/11/12-10/02/10	0	0	0	0	0	0	0	0	1421.json	Good
1928	4,3,3,3	3,3,3,3	4,3,3,3	0.0,0.0,0.0,0.0	0.009931056760251522,0.31270354986190796,0.31270354986190796,0.31270354986190796	0.5212941708555172,0.7554333014888288,0.7554333014888288,0.7554333014888288	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.66,0.94,0.94,0.94	0,0,0,0	2,2,2,2	2,2,2,2	17.0,13.0,13.0,13.0	2.0,2.0,2.0,2.0	23.0,17.0,17.0,17.0	3.0,3.0,3.0,3.0	19.0,15.0,15.0,15.0	26.0,20.0,20.0,20.0	110.44612,78.13781,78.13781,78.13781	12.75,9.75,9.75,9.75	1408.188,761.8436,761.8436,761.8436	78.232666,42.324646,42.324646,42.324646	0.036815375,0.026045937,0.026045937,0.026045937	123.8484878540039,130.30841064453125,130.30841064453125,130.30841064453125	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	zznate,Ran Tavory,Ran Tavory,Ran Tavory	0,57,155,230	67,124,222,298	19/04/10-10/02/10,15/06/10-10/02/10,21/09/10-10/02/10,05/12/10-10/02/10	0,1,0,0	0,3,0,0	0,73,0,0	0,44,85,771	0,44,44,0	0,0,0,0	0,0,0,0	0,0,0,0	2286.json	Bad
1632	8,8	8,8	8,8	0.0,0.0	0.7957940101623535,0.7962571382522583	0.5331220091204377,0.24764051527812259	4,4	3,3	7,7	3,3	3,3	3.87,1.94	2,2	1,1	1,1	21.0,22.0	5.0,6.0	33.0,34.0	7.0,8.0	26.0,28.0	40.0,42.0	188.0176,201.9089	14.7,14.666667	2763.8586,2961.3306	153.5477,164.51837	0.06267253,0.067302965	109.39305877685547,109.02239990234375	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	norman,lucclaes	0,220	363,583	08/02/11-10/02/10,17/09/11-10/02/10	0,1	0,2	0,42	0,1	0,1	0,0	0,1	0,1	1170.json	Bad
1577	13,13	10,10	12,12	0.08333333333333333,0.08333333333333333	0.006891561672091484,0.004499136935919523	8.013698519017598E-4,5.079394376674277E-4	0,0	0,0	0,0	1,1	1,1	3.72,3.72	1,1	4,4	4,4	29.0,29.0	12.0,13.0	62.0,63.0	19.0,20.0	41.0,42.0	81.0,83.0	433.96173,447.56235	22.958334,22.307693	9963.038,9984.084	553.50214,554.6713	0.14465392,0.14918745	98.93514251708984,98.77467346191406	0,0	0,0	0,0	1,1	0,0	0,0	0,0	4,4	0,0	0,0	0,0	patricioe,horschi	0,1261	418,1679	05/04/11-10/02/10,17/09/14-10/02/10	0,1	0,2	0,13	0,43	0,43	0,0	0,0	0,0	1359.json	Bad
1674	3	3	3	0.0	0.023737872019410133	0.45023628629596635	0	0	0	1	1	0.94	0	0	0	12.0	6.0	19.0	7.0	18.0	26.0	108.41805	7.0	758.9264	42.16258	0.03613935	128.60531616210938	0	0	0	1	0	0	1	0	0	0	0	zznate	0	321	28/12/10-10/02/10	0	0	0	0	0	0	0	0	2100.json	Good
