Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file
673	10	10	10	0.0	0.45807892084121704	0.04258020251824021	3	3	6	3	3	5.06	1	3	2	21.0	7.0	45.0	11.0	28.0	56.0	269.21188	16.5	4441.996	246.77756	0.089737296	103.91152954101562	0	0	0	1	0	0	0	1	1	0	0	Sam Brannen	0	1156	03/08/18-04/06/15	0	0	0	0	0	0	0	0	1182.json
1630	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.7502588033676147,0.7956896424293518,0.7956896424293518,0.7956896424293518,0.5408180952072144	0.79787660221631,0.6579438451577684,0.6579438451577684,0.6579438451577684,0.6224689824137415	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	11.0,13.0,13.0,13.0,13.0	2.0,2.0,2.0,2.0,4.0	16.0,18.0,18.0,18.0,16.0	2.0,2.0,2.0,2.0,5.0	13.0,15.0,15.0,15.0,17.0	18.0,20.0,20.0,20.0,21.0	66.60792,78.13781,78.13781,78.13781,85.83672	5.5,6.5,6.5,6.5,8.125	366.34354,507.89575,507.89575,507.89575,697.4234	20.352419,28.21643,28.21643,28.21643,38.745743	0.022202639,0.026045937,0.026045937,0.026045937,0.028612241	131.1385955810547,130.30841064453125,130.30841064453125,130.30841064453125,129.81976318359375	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	Sam Brannen,Sam Brannen,JUnit Team,JUnit Team,Andrii Karaivanskyi	0,34,181,183,770	198,232,380,382,968	19/12/15-04/06/15,22/01/16-04/06/15,18/06/16-04/06/15,20/06/16-04/06/15,27/01/18-04/06/15	0,1,0,0,1	0,2,0,0,2	0,28,0,0,26	0,13,250,596,133	0,13,0,0,133	0,0,0,0,0	0,0,0,0,1	0,1,0,1,1	1781.json
239	7	6	7	0.0	7.771607488393784E-4	0.004811611703299264	0	0	0	1	1	5.11	0	3	2	22.0	7.0	45.0	18.0	29.0	63.0	306.05283	28.285713	8656.923	480.94016	0.10201761	109.48271179199219	0	0	0	1	1	0	0	3	0	0	0	Juliette de Rancourt	0	1590	11/10/19-04/06/15	0	0	0	0	0	0	0	0	1139.json
864	3	3	3	0.0	0.7213577032089233	0.6272985553712688	0	0	0	1	1	3.77	0	1	1	14.0	2.0	18.0	3.0	16.0	21.0	84.0	10.5	882.0	49.0	0.028	129.93223571777344	0	0	0	0	1	0	0	1	0	0	0	Thomas Heilbronner	0	964	23/01/18-04/06/15	0	0	0	0	0	0	0	0	1421.json
860	3,3	3,3	3,3	0.0,0.0	0.0,0.0	0.0884220225387737,0.10672765787822824	0,0	0,0	0,0	1,1	1,1	3.77,3.77	0,0	3,3	3,3	18.0,17.0	4.0,4.0	28.0,27.0	9.0,9.0	22.0,21.0	37.0,36.0	164.99898,158.12343	20.25,19.125	3341.2292,3024.1106	185.62384,168.00615	0.05499966,0.05270781	126.42160034179688,126.64292907714844	1,0	0,0	0,0	0,0	1,1	0,0	0,0	3,3	0,0	0,0	0,0	Andrii Karaivanskyi,Sam Brannen	0,443	968,1412	27/01/18-04/06/15,16/04/19-04/06/15	0,1	0,2	0,8	0,3	0,3	0,0	0,0	0,0	2286.json
673	3,3	3,3	3,3	0.0,0.0	0.19767826795578003,0.03130226209759712	0.767032722805686,0.5620346016671752	0,0	0,0	0,0	1,1	1,1	3.77,3.77	0,0	1,1	1,1	11.0,13.0	2.0,4.0	15.0,18.0	2.0,4.0	13.0,17.0	17.0,22.0	62.907475,89.92419	5.5,6.5	345.99112,584.5072	19.22173,32.472622	0.020969158,0.029974729	131.43582153320312,129.57785034179688	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	Sam Brannen,Tim te Beek	0,658	1156,1814	03/08/18-04/06/15,22/05/20-04/06/15	0,1	0,2	0,25	0,22	0,22	0,0	0,1	0,0	1170.json
864	3	3	3	0.0	0.6840895414352417	0.8422548420127243	0	0	0	1	1	3.77	0	1	1	11.0	3.0	13.0	4.0	14.0	17.0	64.72504	7.3333335	474.65027	26.36946	0.021575011	131.28770446777344	0	0	0	0	0	0	0	1	0	0	0	Thomas Heilbronner	0	964	23/01/18-04/06/15	0	0	0	0	0	0	0	0	1359.json
504	3	3	3	0.0	0.001905381097458303	0.1980030487248445	0	0	0	1	1	3.77	0	1	1	16.0	5.0	23.0	8.0	21.0	31.0	136.16183	12.8	1742.8715	96.826195	0.04538728	127.42049407958984	0	0	0	1	1	0	0	3	0	0	0	Matthias Merdes	0	1324	18/01/19-04/06/15	0	0	0	0	0	0	0	0	2100.json
504	3	3	3	0.0	0.08204178512096405	0.5623031998700028	0	0	0	1	1	3.77	0	1	1	12.0	4.0	17.0	6.0	16.0	23.0	92.0	9.0	828.0	46.0	0.030666666	129.4591827392578	0	0	0	1	1	0	0	2	0	0	0	Matthias Merdes	0	1324	18/01/19-04/06/15	0	0	0	0	0	0	0	0	2080.json
1684	5,5,5,3,4,4,4,5,5,5,5,5,5	5,5,5,3,4,4,4,5,5,5,5,5,5	5,5,5,3,4,4,4,5,5,5,5,5,5	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0016399469459429383,0.0019866004586219788,0.003941574599593878,0.008698123507201672,0.037975333631038666,0.037975333631038666,0.02768491767346859,0.011254942044615746,0.012885806150734425,0.01241521816700697,0.01241521816700697,0.01241521816700697,0.012580147944390774	0.05017791151716846,0.06219210844739845,0.10210695530075994,0.25489526174084576,0.38097906332554077,0.38097906332554077,0.3682332345850826,0.029418871610135185,0.02935123759112842,0.02881172679572387,0.02881172679572387,0.02881172679572387,0.032518514805077156	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1	3.92,0.98,0.98,3.77,4.0,4.0,4.0,3.92,3.92,3.92,3.92,3.92,3.92	0,0,0,0,0,0,0,0,0,0,0,0,0	5,5,4,2,2,2,2,6,6,6,6,6,5	5,5,4,2,2,2,2,6,6,6,6,6,5	19.0,19.0,18.0,14.0,13.0,13.0,13.0,20.0,20.0,20.0,20.0,20.0,19.0	6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0	31.0,31.0,28.0,20.0,20.0,20.0,20.0,34.0,34.0,34.0,34.0,34.0,32.0	10.0,10.0,10.0,8.0,9.0,9.0,9.0,13.0,13.0,13.0,13.0,13.0,14.0	25.0,25.0,24.0,20.0,19.0,19.0,19.0,27.0,27.0,27.0,27.0,27.0,27.0	41.0,41.0,38.0,28.0,29.0,29.0,29.0,47.0,47.0,47.0,47.0,47.0,46.0	190.3981,190.3981,174.22858,121.013985,123.1899,123.1899,123.1899,223.47972,223.47972,223.47972,223.47972,223.47972,218.72482	15.833333,15.833333,15.0,9.333334,9.75,9.75,9.75,18.571428,18.571428,18.571428,18.571428,18.571428,16.625	3014.6365,3014.6365,2613.4287,1129.464,1201.1016,1201.1016,1201.1016,4150.3374,4150.3374,4150.3374,4150.3374,4150.3374,3636.3003	167.4798,167.4798,145.19049,62.748,66.72787,66.72787,66.72787,230.5743,230.5743,230.5743,230.5743,230.5743,202.01668	0.063466035,0.063466035,0.05807619,0.040337995,0.0410633,0.0410633,0.0410633,0.07449324,0.07449324,0.07449324,0.07449324,0.07449324,0.072908275	117.40169525146484,117.40169525146484,117.86318969726562,128.0337677001953,123.28064727783203,123.28064727783203,123.28064727783203,116.56864166259766,116.56864166259766,116.56864166259766,116.56864166259766,116.56864166259766,116.68047332763672	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,2,2,2	0,0,0,0,0,0,0,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	Marc Philipp,Stefan Bechtold,Sam Brannen,Marc Philipp,Marc Philipp,Marc Philipp,Marc Philipp,Marc Philipp,Marc Philipp,Marc Philipp,JUnit Team,JUnit Team,Christian Stein	0,1,1,2,2,38,42,45,45,45,236,237,449	145,146,146,147,147,183,187,190,190,190,381,382,594	27/10/15-04/06/15,28/10/15-04/06/15,28/10/15-04/06/15,29/10/15-04/06/15,29/10/15-04/06/15,04/12/15-04/06/15,08/12/15-04/06/15,11/12/15-04/06/15,11/12/15-04/06/15,11/12/15-04/06/15,19/06/16-04/06/15,20/06/16-04/06/15,18/01/17-04/06/15	0,5,1,1,2,0,2,4,1,1,0,0,1	0,10,2,4,3,0,4,7,2,2,0,0,2	0,40,11,64,65,0,24,168,7,6,0,0,25	0,11,3,5,5,13,20,9,15,4,317,596,41	0,11,3,5,5,3,20,9,15,4,1,0,35	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,1,1,1,1,1	1589.json
