Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file
3928	4,4,4,4,3,3,3,3,3,4,4	4,4,4,4,3,3,3,3,3,4,4	4,4,4,4,3,3,3,3,3,4,4	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.5286485552787781,0.5286485552787781,0.3406820297241211,0.3406820297241211,0.193184956908226,0.18539825081825256,0.1890624314546585,0.2479012906551361,0.2479012906551361,0.3379407525062561,0.23918560147285461	0.8871618549712724,0.8871618549712724,0.811241108772818,0.811241108772818,0.6668112411001744,0.6269578968596239,0.606835648441771,0.4974829499797861,0.4974829499797861,0.6656754420073846,0.7227926070493192	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1	2.0,2.0,2.0,2.0,1.89,1.89,1.89,1.89,1.89,2.0,2.0	0,0,0,0,0,0,0,0,0,0,0	1,1,2,2,3,3,3,3,3,2,3	1,1,2,2,3,3,3,3,3,2,3	12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0	4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0	16.0,16.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0	4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0	16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0	20.0,20.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0	80.0,80.0,94.01165,94.01165,98.099106,98.099106,98.099106,98.099106,98.099106,94.01165,98.099106	6.0,6.0,6.5,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0	480.0,480.0,611.07574,611.07574,686.6937,686.6937,686.6937,686.6937,686.6937,611.07574,686.6937	26.666666,26.666666,33.948654,33.948654,38.14965,38.14965,38.14965,38.14965,38.14965,33.948654,38.14965	0.026666667,0.026666667,0.031337216,0.031337216,0.0326997,0.0326997,0.0326997,0.0326997,0.0326997,0.031337216,0.0326997	125.5254898071289,125.5254898071289,124.6862564086914,124.6862564086914,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,124.6862564086914,124.4649429321289	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Christian Schwarz,Christian Schwarz	0,1,1,29,54,408,408,2338,2790,3135,3157	1,2,2,30,55,409,409,2339,2791,3136,3158	16/11/07-15/11/07,17/11/07-15/11/07,17/11/07-15/11/07,15/12/07-15/11/07,09/01/08-15/11/07,28/12/08-15/11/07,28/12/08-15/11/07,12/04/14-15/11/07,08/07/15-15/11/07,17/06/16-15/11/07,09/07/16-15/11/07	0,0,1,0,1,1,1,1,0,2,1	0,0,2,0,3,2,2,2,0,3,2	0,0,11,0,23,26,18,15,0,23,17	0,92,107,72,106,32,41,64,1138,133,49	0,14,104,4,106,32,33,64,0,133,49	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,1,0,0,0	1781.json
3904	5,5,5,5,5,5,5,9,9	5,5,5,5,5,5,5,8,8	5,5,5,5,5,5,5,8,8	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.7867825031280518,0.6382516026496887,0.6382516026496887,0.6382516026496887,0.6957866549491882,0.6529688835144043,0.6957866549491882,0.5815206170082092,0.5815206170082092	0.9073966786792212,0.9037040822637473,0.9037040822637473,0.9037040822637473,0.9071069174806915,0.8951209530360535,0.9071069174806915,0.8867264965589791,0.8867264965589791	0,0,0,0,0,0,0,1,1	0,0,0,0,0,0,0,1,1	0,0,0,0,0,0,0,2,2	1,1,1,1,1,1,1,2,2	1,1,1,1,1,1,1,2,2	1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.4,2.4	0,0,0,0,0,0,0,1,1	0,0,0,0,0,0,0,1,1	0,0,0,0,0,0,0,1,1	10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0	4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0	15.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,25.0	6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0	14.0,14.0,14.0,14.0,14.0,14.0,14.0,18.0,18.0	21.0,21.0,21.0,21.0,21.0,21.0,21.0,33.0,33.0	79.95445,79.95445,79.95445,79.95445,79.95445,79.95445,79.95445,137.60753,137.60753	7.5,7.5,7.5,7.5,7.5,7.5,7.5,14.0,14.0	599.6584,599.6584,599.6584,599.6584,599.6584,599.6584,599.6584,1926.5054,1926.5054	33.314354,33.314354,33.314354,33.314354,33.314354,33.314354,33.314354,107.028076,107.028076	0.026651485,0.026651485,0.026651485,0.026651485,0.026651485,0.026651485,0.026651485,0.045869175,0.045869175	121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,111.24613952636719,111.24613952636719	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber	0,1,1,1,4,7,303,431,2766	25,26,26,26,29,32,328,456,2791	10/12/07-15/11/07,11/12/07-15/11/07,11/12/07-15/11/07,11/12/07-15/11/07,14/12/07-15/11/07,17/12/07-15/11/07,09/10/08-15/11/07,13/02/09-15/11/07,08/07/15-15/11/07	0,3,0,0,3,2,2,5,0	0,6,0,0,6,4,4,6,0	0,30,0,0,58,8,8,96,0	0,47,15,15,10,10,10,8,1138	0,13,6,0,10,10,10,8,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,1,0	1139.json
3079	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.7469804286956787,0.7469804286956787,0.7469804286956787	0.9489908626492137,0.9489908626492137,0.9489908626492137	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	1,1,1	10.0,10.0,10.0	3.0,3.0,3.0	13.0,13.0,13.0	4.0,4.0,4.0	13.0,13.0,13.0	17.0,17.0,17.0	62.907475,62.907475,62.907475	6.666667,6.666667,6.666667	419.38318,419.38318,419.38318	23.299065,23.299065,23.299065	0.020969158,0.020969158,0.020969158	131.43582153320312,131.43582153320312,131.43582153320312	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	Szczepan Faber,Brice Dutheil,Szczepan Faber	0,727,1941	850,1577,2791	14/03/10-15/11/07,10/03/12-15/11/07,08/07/15-15/11/07	0,0,0	0,0,0	0,0,0	0,38,1138	0,35,0	0,0,0	0,0,0	0,1,0	1421.json
3686	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.9154468178749084,0.9154468178749084,0.9154468178749084,0.9154468178749084,0.9154468178749084,0.8744056820869446	0.850687057924843,0.850687057924843,0.850687057924843,0.850687057924843,0.850687057924843,0.9071531528177955	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	12.0,12.0,12.0,12.0,12.0,10.0	3.0,3.0,3.0,3.0,3.0,3.0	13.0,13.0,13.0,13.0,13.0,11.0	3.0,3.0,3.0,3.0,3.0,3.0	15.0,15.0,15.0,15.0,15.0,13.0	16.0,16.0,16.0,16.0,16.0,14.0	62.51025,62.51025,62.51025,62.51025,62.51025,51.806156	6.0,6.0,6.0,6.0,6.0,5.0	375.0615,375.0615,375.0615,375.0615,375.0615,259.0308	20.83675,20.83675,20.83675,20.83675,20.83675,14.390599	0.02083675,0.02083675,0.02083675,0.02083675,0.02083675,0.01726872	131.46876525878906,131.46876525878906,131.46876525878906,131.46876525878906,131.46876525878906,132.4454345703125	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Christian Schwarz	0,1,4,292,2548,3128	243,244,247,535,2791,3372	16/07/08-15/11/07,17/07/08-15/11/07,20/07/08-15/11/07,04/05/09-15/11/07,08/07/15-15/11/07,07/02/17-15/11/07	0,0,0,0,0,1	0,0,0,0,0,2	0,0,0,0,0,18	0,2,7,20,1138,4	0,0,5,1,0,4	0,0,0,0,0,0	0,1,1,0,0,1	0,1,1,0,0,1	711.json
606	5	5	5	0.0	0.34728002548217773	0.46045423754817955	0	0	0	1	1	1.96	0	1	1	15.0	4.0	28.0	5.0	19.0	33.0	140.18161	9.375	1314.2026	73.01126	0.046727203	118.99382781982422	1	0	0	0	0	0	0	0	1	0	0	Christian Schwarz	0	3323	20/12/16-15/11/07	0	0	0	0	0	0	0	0	1170.json
692	3	3	3	0.0	0.2411552518606186	0.9078850079250749	0	0	0	1	1	1.89	0	1	1	9.0	2.0	12.0	2.0	11.0	14.0	48.432045	4.5	217.9442	12.108011	0.016144015	132.79563903808594	0	0	0	1	0	0	0	0	0	0	0	Brice Dutheil	0	3237	26/09/16-15/11/07	0	0	0	0	0	0	0	0	1359.json
3397	6,3,3,3	4,3,3,3	4,3,3,3	0.25,0.0,0.0,0.0	0.9249652028083801,0.5892819166183472,0.5892819166183472,0.5904884338378906	0.767905518837045,0.9155458024732881,0.9155458024732881,0.9075160998561225	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.96,1.89,1.89,1.89	0,0,0,0	2,1,1,1	2,1,1,1	15.0,11.0,11.0,12.0	2.0,3.0,3.0,2.0	23.0,14.0,14.0,15.0	5.0,4.0,4.0,3.0	17.0,14.0,14.0,14.0	28.0,18.0,18.0,18.0	114.44896,68.53239,68.53239,68.53239	18.75,7.3333335,7.3333335,9.0	2145.918,502.57086,502.57086,616.7915	119.21767,27.920603,27.920603,34.266193	0.038149655,0.022844128,0.022844128,0.022844128	123.66336059570312,130.99049377441406,130.99049377441406,130.99049377441406	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	Szczepan Faber,Szczepan Faber,Szczepan Faber,Brice Dutheil	0,1,2259,2757	532,533,2791,3290	01/05/09-15/11/07,02/05/09-15/11/07,08/07/15-15/11/07,17/11/16-15/11/07	0,2,0,1	0,7,0,2	0,145,0,3	0,9,1138,7	0,6,0,7	0,0,0,0	0,1,0,0	0,1,0,0	1589.json
3905	9,9,9,9,8,9,9,9,6,6,6,6,6,6,6,6,6,6	5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4	8,8,8,8,7,8,8,8,6,6,6,6,6,6,6,6,6,6	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.23884284496307373,0.25174325704574585,0.24064306914806366,0.21925976872444153,0.48097971081733704,0.29200008511543274,0.29338786005973816,0.2767167389392853,0.066324882209301,0.06689633429050446,0.060711219906806946,0.06284182518720627,0.060711219906806946,0.0640842616558075,0.06262942403554916,0.07894226163625717,0.07894226163625717,0.04387448728084564	0.007616498508939873,0.009765783996165027,0.009494266169010165,0.009726250275906713,0.07989535279325058,0.03953044312582553,0.03941624620852036,0.038989998109338564,0.07447660145736996,0.07456890692279122,0.07846264341339719,0.07582069575150674,0.07846264341339719,0.07808401182271045,0.07338236752627791,0.05911684950120534,0.05911684950120534,0.030003342099790633	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	4.36,4.36,4.36,4.36,4.64,4.9,4.9,4.9,4.99,4.99,4.99,4.99,4.99,4.99,4.0,4.0,4.0,4.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,5,5,5,3,4,4,4,2,2,2,2,2,2,2,2,2,2	5,5,5,5,3,4,4,4,2,2,2,2,2,2,2,2,2,2	24.0,23.0,23.0,23.0,21.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,24.0	8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0	47.0,46.0,46.0,46.0,35.0,39.0,39.0,39.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,36.0	18.0,18.0,18.0,18.0,15.0,17.0,17.0,17.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0	32.0,31.0,31.0,31.0,29.0,31.0,31.0,31.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,32.0	65.0,64.0,64.0,64.0,50.0,56.0,56.0,56.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,49.0	325.0,317.06857,317.06857,317.06857,242.89906,277.435,277.435,277.435,216.33098,216.33098,216.33098,216.33098,216.33098,216.33098,216.33098,223.46713,223.46713,245.0	27.0,25.875,25.875,25.875,19.6875,24.4375,24.4375,24.4375,16.25,16.25,16.25,16.25,16.25,16.25,16.25,17.0625,17.0625,19.5	8775.0,8204.149,8204.149,8204.149,4782.075,6779.818,6779.818,6779.818,3515.3784,3515.3784,3515.3784,3515.3784,3515.3784,3515.3784,3515.3784,3812.908,3812.908,4777.5	487.5,455.78607,455.78607,455.78607,265.67084,376.65656,376.65656,376.65656,195.2988,195.2988,195.2988,195.2988,195.2988,195.2988,195.2988,211.82822,211.82822,265.41666	0.108333334,0.105689526,0.105689526,0.105689526,0.08096635,0.092478335,0.092478335,0.092478335,0.072110325,0.072110325,0.072110325,0.072110325,0.072110325,0.072110325,0.072110325,0.07448904,0.07448904,0.08166666	107.00715637207031,107.13563537597656,107.13563537597656,107.13563537597656,110.68449401855469,107.82999420166016,107.82999420166016,107.82999420166016,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.61531829833984,113.61531829833984,113.13695526123047	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Szczepan Faber,Christian Schwarz,Brice Dutheil,Serge Bishyr	0,5,15,15,20,44,44,84,480,480,484,1573,1573,1574,2767,3106,3137,3758	24,29,39,39,44,68,68,108,504,504,508,1597,1597,1598,2791,3130,3161,3782	09/12/07-15/11/07,14/12/07-15/11/07,24/12/07-15/11/07,24/12/07-15/11/07,29/12/07-15/11/07,22/01/08-15/11/07,22/01/08-15/11/07,02/03/08-15/11/07,03/04/09-15/11/07,03/04/09-15/11/07,07/04/09-15/11/07,31/03/12-15/11/07,31/03/12-15/11/07,01/04/12-15/11/07,08/07/15-15/11/07,11/06/16-15/11/07,12/07/16-15/11/07,25/03/18-15/11/07	0,1,1,1,1,4,2,1,3,1,1,1,1,1,0,2,0,2	0,2,2,2,3,7,4,2,9,2,2,2,2,2,0,4,0,4	0,7,25,5,73,90,6,10,172,1,12,4,4,8,8,31,0,30	0,20,11,8,5,8,4,13,3,4,18,31,22,14,1138,135,77,14	0,20,11,8,5,8,4,13,3,4,18,30,22,14,0,135,0,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1	1058.json
315	3	3	3	0.0	0.12178610265254974	0.8861986434744339	0	0	0	1	1	1.89	0	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	1	0	0	1	0	0	0	0	Szczepan Faber	0	3614	08/10/17-15/11/07	0	0	0	0	0	0	0	0	213.json
791	3,3	3,3	3,3	0.0,0.0	0.07235956192016602,0.07235956192016602	0.7549186141371257,0.7549186141371257	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	1,1	1,1	13.0,13.0	3.0,3.0	16.0,16.0	4.0,4.0	16.0,16.0	20.0,20.0	80.0,80.0	8.666667,8.666667	693.3334,693.3334	38.51852,38.51852	0.026666667,0.026666667	130.18594360351562,130.18594360351562	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	0,0	0,0	0,0	Jazzepi,Tim van der Lippe	0,57	3138,3195	19/06/16-15/11/07,15/08/16-15/11/07	0,0	0,0	0,0	0,19	0,0	0,0	0,0	0,0	966.json
